timestamps,TP9,AF7,AF8,TP10,Right AUX
1678023417.860,-60.547,-41.992,-46.875,-43.457,115.723
1678023417.864,-56.641,-39.551,-50.293,-54.688,-166.504
1678023417.868,-50.781,-37.109,-44.922,-51.758,-86.426
1678023417.872,-47.363,-37.598,-41.504,-40.039,45.898
1678023417.876,-50.293,-37.109,-41.504,-39.062,-92.285
1678023417.880,-50.293,-34.180,-38.574,-44.434,-137.207
1678023417.884,-47.852,-33.691,-38.086,-40.527,-17.090
1678023417.887,-38.086,-34.180,-39.551,-31.250,239.258
1678023417.891,-34.180,-32.227,-41.016,-40.039,164.551
1678023417.895,-39.062,-33.691,-41.504,-49.316,-117.676
1678023417.899,-39.062,-34.180,-37.598,-49.316,-99.609
1678023417.903,-42.480,-35.156,-34.668,-54.199,-92.773
1678023417.907,-44.434,-35.156,-37.598,-49.316,-28.809
1678023417.911,-48.828,-35.645,-33.691,-48.828,181.641
1678023417.914,-38.574,-34.180,-35.156,-38.574,129.395
1678023417.918,-45.898,-35.156,-40.527,-47.363,-63.965
1678023417.922,-61.523,-38.086,-39.551,-56.152,-155.273
1678023417.926,-41.016,-35.645,-40.527,-53.223,3.418
1678023417.930,-28.809,-31.738,-36.133,-37.598,257.812
1678023417.950,-39.062,-30.273,-34.668,-42.969,-16.602
1678023417.954,-41.504,-29.785,-34.668,-46.387,-228.027
1678023417.958,-40.039,-34.668,-31.738,-37.109,-109.375
1678023417.962,-33.691,-38.574,-35.645,-32.715,-108.398
1678023417.966,-25.391,-38.086,-36.133,-19.531,-228.516
1678023417.970,-24.902,-41.016,-37.598,-7.324,-44.434
1678023417.974,-26.855,-37.598,-39.062,-4.883,180.664
1678023417.977,-33.691,-29.297,-37.109,-19.043,40.527
1678023417.981,-29.297,-29.785,-36.621,-29.297,-147.461
1678023417.985,-32.227,-28.809,-34.668,-11.719,-26.855
1678023417.989,-34.668,-22.949,-33.203,-8.789,132.812
1678023417.993,-30.273,-20.508,-30.762,-20.020,-84.961
1678023417.977,-33.691,-20.508,-28.809,-19.043,-127.441
1678023417.981,-38.574,-20.020,-28.320,-10.742,-49.316
1678023417.985,-32.227,-21.484,-25.879,-18.066,-75.684
1678023417.989,-23.926,-25.879,-26.855,-20.996,-116.699
1678023417.993,-35.645,-26.855,-31.738,-18.066,-44.434
1678023417.997,-41.016,-28.809,-35.156,-21.973,124.023
1678023418.001,-34.668,-29.785,-34.668,-20.996,23.926
1678023418.004,-29.297,-32.715,-36.621,-25.879,-118.652
1678023418.008,-20.508,-29.297,-36.133,-22.461,-92.285
1678023418.012,-29.785,-28.320,-34.180,-16.113,144.531
1678023418.016,-41.992,-31.738,-38.574,-17.578,466.309
1678023418.020,-46.387,-28.320,-41.016,-36.621,205.566
1678023418.039,-47.363,-27.832,-40.039,-49.316,-145.996
1678023418.043,-40.527,-33.203,-37.598,-48.340,-115.723
1678023418.047,-37.598,-32.715,-31.250,-45.898,-88.379
1678023418.051,-40.527,-35.645,-29.785,-42.969,-172.363
1678023418.055,-35.645,-31.738,-31.738,-36.133,-163.086
1678023418.059,-16.602,-26.367,-33.691,-25.391,-20.996
1678023418.063,-4.883,-33.203,-37.109,-31.250,-42.969
1678023418.066,-15.625,-35.156,-36.621,-39.551,-98.145
1678023418.070,-26.367,-35.156,-39.551,-31.250,-49.805
1678023418.074,-32.227,-34.180,-37.109,-30.762,71.777
1678023418.078,-37.109,-37.109,-40.039,-46.387,-23.926
1678023418.082,-44.434,-42.480,-38.086,-44.922,-73.242
1678023418.082,-43.945,-41.992,-32.715,-40.527,38.574
1678023418.086,-42.480,-41.504,-32.715,-36.621,3.906
1678023418.090,-50.293,-38.574,-29.785,-44.922,-152.344
1678023418.094,-46.875,-38.574,-29.785,-57.617,-187.500
1678023418.098,-44.434,-32.715,-31.250,-46.387,-62.500
1678023418.102,-54.688,-34.180,-30.273,-38.086,31.250
1678023418.106,-65.918,-39.551,-34.180,-53.223,30.273
1678023418.109,-50.293,-30.762,-38.574,-60.059,-148.926
1678023418.113,-29.785,-32.715,-37.109,-38.086,-84.961
