timestamps,TP9,AF7,AF8,TP10,Right AUX
1678021049.668,-29.785,-20.508,-18.066,-32.227,-41.504
1678021049.672,-32.715,-20.996,-12.695,-24.902,-99.121
1678021049.676,-34.668,-20.508,-11.230,-21.973,-112.793
1678021049.680,-26.855,-19.043,-12.207,-38.086,-108.887
1678021049.684,-23.926,-23.926,-13.184,-34.180,17.578
1678021049.688,-20.508,-25.879,-12.207,-20.508,59.570
1678021049.692,-20.020,-22.461,-8.789,-12.695,-41.992
1678021049.695,-23.438,-21.484,-13.184,-15.137,-8.301
1678021049.699,-17.578,-29.297,-18.066,-20.996,196.289
1678021049.703,-19.531,-23.926,-13.184,-16.113,111.328
1678021049.707,-29.297,-21.484,-14.648,-29.297,-122.559
1678021049.711,-29.297,-34.668,-9.277,-29.297,-56.641
1678021049.713,-30.762,-40.039,-3.418,-22.461,131.836
1678021049.717,-33.203,-28.320,-11.719,-27.832,-20.996
1678021049.721,-44.922,-30.762,-12.695,-31.250,-114.746
1678021049.725,-54.199,-32.715,-17.578,-33.691,25.391
1678021049.729,-37.598,-27.344,-20.996,-21.484,22.461
1678021049.733,-27.832,-28.809,-17.090,-20.508,1.465
1678021049.737,-31.250,-25.391,-12.695,-28.320,-38.574
1678021049.740,-33.203,-22.949,-11.230,-34.180,-35.156
1678021049.744,-38.574,-28.320,-15.137,-30.762,210.449
1678021049.748,-39.551,-34.668,-11.719,-31.250,50.781
1678021049.752,-40.039,-29.297,-6.348,-39.062,-164.551
1678021049.756,-45.410,-24.902,-8.301,-43.945,-141.113
1678021049.758,-43.945,-28.320,-12.207,-45.410,-140.625
1678021049.762,-43.457,-36.133,-12.207,-35.645,-146.484
1678021049.766,-37.598,-32.715,-13.672,-23.438,-116.211
1678021049.770,-31.250,-28.320,-16.113,-28.320,-69.336
1678021049.774,-29.785,-28.809,-15.137,-49.316,-103.516
1678021049.778,-29.785,-28.809,-14.160,-50.293,-90.332
1678021049.782,-29.297,-30.762,-16.113,-48.828,-24.414
1678021049.785,-21.973,-33.203,-12.207,-34.180,253.418
1678021049.789,-28.809,-33.691,-7.812,-21.973,279.785
1678021049.793,-37.598,-29.297,-13.184,-37.598,-101.074
1678021049.797,-37.598,-30.273,-15.625,-36.621,-123.047
1678021049.801,-39.062,-31.250,-16.602,-24.902,69.824
1678021049.803,-35.156,-30.762,-16.113,-31.738,-85.938
1678021049.807,-29.785,-34.668,-14.648,-35.156,-207.031
1678021049.811,-22.461,-30.762,-13.184,-19.043,-118.164
1678021049.815,-30.762,-28.809,-10.254,-17.578,-150.879
1678021049.819,-36.621,-33.691,-9.277,-31.738,-196.289
1678021049.823,-33.691,-29.297,-9.277,-28.809,-120.117
1678021049.827,-35.645,-27.344,-14.160,-20.996,-17.578
1678021049.830,-30.273,-25.391,-16.113,-15.137,210.938
1678021049.834,-29.785,-25.391,-11.230,-35.645,66.406
1678021049.838,-31.738,-27.832,-14.160,-52.246,-122.070
1678021049.842,-31.738,-25.879,-16.113,-38.086,-77.148
1678021049.846,-30.273,-25.879,-20.508,-30.273,-20.508
1678021049.849,-33.203,-23.926,-22.461,-38.086,-73.242
1678021049.853,-44.434,-28.809,-19.043,-43.457,-136.719
1678021049.857,-37.109,-28.809,-18.555,-38.574,-83.496
1678021049.861,-36.621,-30.762,-28.809,-42.480,-81.543
1678021049.865,-44.922,-36.621,-30.273,-52.246,-117.188
1678021049.869,-42.969,-34.668,-24.902,-38.086,-33.203
1678021049.873,-38.086,-25.879,-33.203,-34.668,240.723
1678021049.876,-40.039,-27.832,-35.645,-58.105,148.926
1678021049.880,-38.574,-32.227,-32.227,-57.617,-103.027
1678021049.884,-27.344,-27.344,-22.949,-41.992,27.344
1678021049.888,-26.367,-29.297,-19.043,-37.109,116.699
1678021049.892,-30.762,-35.645,-22.461,-41.016,13.184
1678021049.893,-36.621,-33.203,-24.902,-48.828,-107.422
1678021049.897,-42.480,-31.738,-21.484,-34.180,-98.633
1678021049.901,-37.598,-36.133,-18.066,-19.043,40.039
1678021049.905,-25.391,-38.086,-24.902,-26.367,-71.777
1678021049.909,-31.250,-41.504,-29.297,-42.969,-185.059
1678021049.913,-41.992,-45.898,-28.320,-46.387,-23.926
1678021049.917,-39.062,-44.434,-29.297,-21.484,373.047
1678021049.920,-43.945,-42.969,-29.785,-17.578,223.633
1678021049.924,-39.551,-45.898,-24.414,-29.785,-173.828
1678021049.928,-31.250,-43.945,-18.555,-19.531,-121.094
1678021049.932,-36.621,-41.016,-23.438,-22.949,-151.367
1678021049.936,-38.086,-41.992,-24.902,-38.574,-201.172
1678021049.954,-35.645,-38.574,-15.625,-26.367,-114.258
1678021049.958,-35.645,-34.668,-23.926,-17.578,4.883
1678021049.962,-38.574,-39.551,-27.832,-33.691,-18.555
1678021049.966,-45.410,-47.363,-20.508,-41.504,-139.648
1678021049.970,-53.711,-46.387,-22.949,-44.922,-58.105
1678021049.974,-50.293,-39.062,-18.555,-39.062,79.590
1678021049.978,-38.086,-37.598,-15.625,-28.320,10.742
1678021049.981,-41.992,-40.527,-19.043,-41.992,-155.762
1678021049.985,-48.340,-41.504,-20.508,-54.199,-156.738
1678021049.989,-47.363,-44.922,-20.020,-48.340,120.117
1678021049.993,-45.410,-48.828,-17.578,-42.480,125.000
1678021049.997,-36.133,-44.922,-22.949,-43.457,-95.703
1678021050.013,-36.133,-41.016,-22.949,-46.875,-109.863
1678021050.017,-42.969,-48.340,-21.484,-41.016,-10.254
1678021050.021,-47.852,-46.387,-27.344,-54.199,-96.191
1678021050.025,-40.527,-40.039,-28.320,-53.711,-108.887
1678021050.029,-36.621,-41.992,-24.902,-33.691,-14.160
1678021050.033,-42.480,-44.922,-20.996,-30.762,121.582
1678021050.037,-48.828,-44.434,-19.043,-40.039,-38.574
1678021050.040,-43.945,-42.969,-20.020,-45.898,-191.895
1678021050.044,-37.109,-45.410,-22.949,-43.945,-84.961
1678021050.048,-34.180,-44.922,-20.020,-33.203,248.535
1678021050.052,-20.996,-40.039,-20.020,-27.344,118.652
1678021050.056,-26.367,-47.852,-26.855,-36.133,-139.160
1678021050.043,-39.062,-47.852,-25.391,-35.645,-88.379
1678021050.047,-39.551,-42.969,-22.949,-36.133,-128.418
1678021050.051,-32.227,-45.410,-22.949,-35.156,-195.801
1678021050.055,-26.367,-43.945,-23.438,-33.203,-158.203
1678021050.059,-34.668,-44.434,-26.367,-29.785,-66.406
1678021050.063,-51.758,-43.945,-33.691,-41.504,-41.504
1678021050.067,-52.734,-45.898,-30.273,-53.223,-104.492
1678021050.070,-45.410,-46.875,-27.344,-42.969,-23.926
1678021050.074,-42.480,-41.016,-27.344,-31.738,83.008
1678021050.078,-36.621,-41.504,-31.250,-41.504,-60.059
1678021050.082,-40.527,-43.945,-36.133,-39.551,-99.609
1678021050.086,-45.898,-43.945,-37.109,-32.715,-122.070
1678021050.088,-35.156,-42.480,-34.668,-32.715,128.418
1678021050.092,-31.250,-40.527,-30.273,-21.973,337.891
1678021050.096,-39.551,-41.992,-30.273,-29.785,8.301
1678021050.100,-39.551,-42.480,-32.227,-37.109,-122.070
1678021050.104,-38.086,-51.270,-37.109,-31.738,-114.258
1678021050.108,-42.969,-60.059,-39.062,-38.574,-62.988
1678021050.112,-38.574,-50.293,-27.832,-35.645,-82.520
1678021050.115,-32.715,-45.898,-22.949,-21.973,-57.129
1678021050.119,-35.645,-50.781,-37.598,-17.090,254.883
1678021050.123,-36.133,-44.434,-38.574,-33.203,78.125
1678021050.127,-34.668,-39.062,-32.715,-42.480,-180.176
1678021050.131,-34.668,-48.340,-31.738,-33.203,-117.188
1678021050.134,-41.504,-54.688,-37.109,-26.855,-57.129
1678021050.138,-37.109,-54.688,-42.480,-37.109,-107.422
1678021050.142,-37.598,-59.570,-34.668,-34.668,-187.012
1678021050.146,-31.250,-51.758,-36.621,-11.719,-111.328
1678021050.150,-29.785,-37.109,-41.992,-25.879,-85.938
1678021050.154,-47.852,-35.645,-41.504,-62.500,-98.145
1678021050.158,-51.758,-39.551,-41.992,-65.430,16.113
1678021050.161,-50.781,-43.945,-39.062,-52.734,199.219
1678021050.165,-58.594,-44.434,-39.551,-51.270,164.551
1678021050.169,-52.246,-45.410,-37.598,-49.316,-37.598
1678021050.173,-42.480,-40.527,-31.250,-43.945,28.809
1678021050.177,-46.875,-41.504,-30.762,-37.109,214.844
1678021050.178,-52.734,-46.875,-34.180,-30.762,9.277
1678021050.182,-50.781,-42.480,-35.156,-41.504,-185.547
1678021050.186,-36.621,-43.945,-40.039,-46.875,-76.660
1678021050.190,-34.180,-45.410,-41.504,-40.039,-60.059
1678021050.194,-39.062,-39.062,-39.062,-50.293,-138.672
1678021050.198,-41.016,-42.969,-36.133,-47.852,-70.801
1678021050.202,-40.039,-48.340,-34.668,-35.156,73.730
1678021050.205,-31.738,-41.504,-38.574,-27.832,212.402
1678021050.209,-29.785,-41.016,-36.621,-26.855,12.207
1678021050.213,-36.133,-46.387,-30.273,-38.086,-160.156
1678021050.217,-41.016,-44.922,-28.320,-34.668,-0.488
1678021050.221,-41.504,-46.387,-31.250,-28.320,145.508
1678021050.224,-41.016,-56.152,-39.551,-37.598,-7.812
1678021050.228,-35.645,-51.758,-37.109,-39.551,-143.555
1678021050.232,-37.109,-48.340,-29.785,-25.879,-33.691
1678021050.236,-46.387,-49.805,-35.645,-29.785,-41.992
1678021050.240,-43.945,-45.410,-38.574,-42.969,-199.219
1678021050.244,-37.109,-46.387,-35.645,-36.621,-142.578
1678021050.248,-27.344,-50.293,-36.133,-27.344,200.684
1678021050.251,-23.926,-42.969,-34.668,-32.227,199.707
1678021050.255,-30.273,-41.992,-32.715,-42.969,-98.145
1678021050.259,-38.086,-57.617,-33.691,-44.434,-104.980
1678021050.263,-30.762,-52.246,-33.691,-38.574,15.137
1678021050.267,-21.484,-44.922,-34.668,-37.598,-31.250
1678021050.283,-28.809,-49.805,-38.574,-50.293,-112.793
1678021050.287,-34.180,-48.340,-39.551,-56.152,-83.984
1678021050.291,-31.250,-51.758,-44.922,-39.551,180.664
1678021050.295,-32.227,-52.734,-44.434,-34.180,-2.930
1678021050.299,-36.621,-49.805,-38.574,-39.062,-207.520
1678021050.303,-44.922,-55.176,-38.574,-42.480,6.836
1678021050.307,-50.781,-62.500,-37.109,-30.273,300.293
1678021050.310,-52.246,-58.105,-38.574,-25.879,65.918
1678021050.314,-47.852,-51.270,-33.691,-39.062,-187.988
1678021050.318,-44.434,-47.852,-31.250,-44.922,-124.512
1678021050.322,-44.434,-53.223,-41.992,-45.898,-133.301
1678021050.326,-43.457,-54.688,-45.898,-50.293,-189.453
1678021050.328,-47.363,-56.152,-47.363,-58.594,-182.129
1678021050.332,-43.457,-60.547,-51.758,-57.129,-98.633
1678021050.336,-49.316,-67.383,-48.340,-53.711,-114.258
1678021050.340,-51.270,-67.871,-41.016,-48.828,-146.973
1678021050.344,-47.363,-56.152,-41.016,-48.828,-131.348
1678021050.348,-54.688,-53.711,-43.945,-55.664,81.055
1678021050.352,-53.711,-55.664,-42.480,-53.711,92.285
1678021050.355,-47.852,-53.711,-40.039,-45.410,-76.660
1678021050.359,-53.711,-45.898,-42.969,-41.992,-100.098
1678021050.363,-55.176,-48.828,-41.504,-35.156,153.320
1678021050.367,-51.758,-61.523,-37.598,-41.504,251.953
1678021050.371,-51.758,-62.012,-40.527,-53.711,-94.238
1678021050.373,-48.828,-62.500,-42.480,-47.363,-152.832
1678021050.377,-41.504,-59.082,-40.039,-41.992,-53.711
1678021050.381,-41.504,-58.594,-39.062,-52.246,-167.480
1678021050.385,-57.129,-60.059,-39.062,-62.988,-206.055
1678021050.389,-61.035,-52.246,-37.109,-66.895,-158.691
1678021050.393,-45.898,-54.199,-31.250,-53.711,-51.758
1678021050.397,-47.852,-52.734,-39.062,-40.039,41.504
1678021050.400,-47.363,-50.293,-41.992,-48.340,-25.391
1678021050.404,-42.480,-57.617,-40.527,-52.246,-41.016
1678021050.408,-56.152,-62.500,-35.645,-37.109,231.445
1678021050.412,-56.152,-55.664,-37.109,-43.457,48.340
1678021050.416,-42.480,-49.805,-39.062,-48.828,-229.980
1678021050.418,-45.410,-51.270,-32.715,-43.945,-131.348
1678021050.422,-52.734,-53.223,-35.645,-49.805,-110.840
1678021050.426,-49.316,-54.688,-30.273,-49.805,-159.180
1678021050.430,-48.340,-56.152,-34.668,-42.480,-128.418
1678021050.434,-51.758,-54.688,-41.016,-46.387,-64.941
1678021050.438,-53.223,-57.617,-38.086,-51.758,-20.508
1678021050.442,-52.734,-63.965,-39.062,-55.176,-48.340
1678021050.445,-49.805,-53.223,-36.133,-55.176,-63.965
1678021050.449,-44.434,-55.664,-35.645,-42.480,105.957
1678021050.453,-46.387,-62.500,-38.086,-42.480,144.531
1678021050.457,-46.387,-57.617,-38.086,-55.176,31.738
1678021050.461,-45.898,-51.758,-34.668,-51.270,-21.973
1678021050.463,-48.828,-49.316,-35.645,-39.062,120.117
1678021050.467,-44.434,-45.410,-42.480,-38.574,18.066
1678021050.471,-34.668,-56.152,-43.457,-48.340,-120.605
1678021050.475,-21.973,-62.500,-40.527,-38.086,-84.961
1678021050.479,-29.297,-53.223,-33.691,-22.461,-105.957
1678021050.483,-44.434,-49.805,-24.414,-35.156,-33.203
1678021050.487,-44.434,-53.223,-18.066,-49.316,-99.121
1678021050.490,-45.898,-53.711,-21.484,-39.551,-24.902
1678021050.494,-49.805,-57.129,-23.926,-33.203,247.070
1678021050.498,-54.688,-58.594,-23.438,-42.969,23.438
1678021050.502,-59.570,-58.594,-28.809,-57.129,-167.480
1678021050.506,-44.434,-53.223,-28.320,-52.246,-23.926
1678021050.510,-31.250,-48.828,-24.414,-28.809,5.371
1678021050.514,-36.621,-52.734,-21.973,-16.602,-122.070
1678021050.518,-34.668,-54.199,-29.297,-22.949,-149.414
1678021050.522,-35.156,-56.152,-30.762,-20.508,19.531
1678021050.526,-33.203,-49.316,-29.297,-23.926,60.059
1678021050.530,-25.879,-48.828,-26.367,-14.160,29.785
1678021050.534,-21.484,-53.711,-20.996,-5.859,70.312
1678021050.537,-28.809,-53.223,-28.809,-16.113,205.566
1678021050.541,-38.574,-57.129,-36.133,-27.832,155.273
1678021050.545,-39.551,-52.734,-30.273,-37.598,-162.109
1678021050.549,-31.250,-46.387,-25.879,-19.531,-105.957
1678021050.553,-33.203,-59.082,-25.879,-17.090,-20.996
1678021050.554,-34.668,-64.941,-29.785,-30.762,-75.195
1678021050.558,-36.133,-56.641,-37.109,-30.762,-62.988
1678021050.562,-44.922,-52.734,-33.203,-35.156,-37.109
1678021050.566,-50.293,-58.105,-32.715,-44.434,26.367
1678021050.570,-49.316,-60.547,-34.668,-46.387,-80.078
1678021050.574,-47.363,-52.734,-37.109,-36.133,-107.910
1678021050.578,-46.875,-51.758,-41.992,-36.621,-32.715
1678021050.581,-47.852,-59.570,-44.922,-41.504,227.539
1678021050.585,-45.898,-60.059,-47.852,-31.738,195.801
1678021050.589,-42.969,-62.500,-43.457,-27.344,-103.027
1678021050.593,-37.109,-61.523,-36.621,-28.809,-115.234
1678021050.597,-30.273,-52.734,-34.180,-40.039,-104.004
1678021050.598,-41.504,-52.246,-38.086,-52.734,-166.992
1678021050.602,-45.410,-57.617,-42.969,-46.387,-125.488
1678021050.606,-38.086,-55.176,-38.574,-37.598,-57.129
1678021050.610,-43.457,-54.199,-32.715,-34.180,-110.840
1678021050.614,-46.875,-56.152,-34.180,-33.203,-121.582
1678021050.618,-55.176,-58.594,-37.109,-38.086,-158.203
1678021050.622,-58.594,-61.523,-27.344,-31.738,148.926
1678021050.625,-49.805,-59.082,-29.785,-22.949,295.898
1678021050.629,-48.340,-56.152,-42.480,-33.203,-104.492
1678021050.633,-52.734,-58.594,-39.551,-43.945,-106.934
1678021050.637,-46.387,-57.129,-44.434,-54.688,110.840
1678021050.641,-41.016,-55.176,-46.875,-50.293,-39.062
1678021050.643,-39.551,-60.547,-42.480,-40.039,-166.016
1678021050.647,-41.504,-58.594,-37.109,-44.434,-81.543
1678021050.651,-45.410,-50.293,-32.227,-41.016,7.324
1678021050.655,-42.480,-49.316,-32.715,-45.898,-92.285
1678021050.659,-46.387,-59.082,-32.715,-50.781,-162.598
1678021050.663,-47.363,-58.594,-35.645,-47.363,-11.719
1678021050.667,-34.180,-47.363,-34.180,-31.738,143.066
1678021050.670,-24.902,-47.363,-33.691,-37.109,-35.156
1678021050.674,-28.809,-53.711,-33.203,-39.551,-241.211
1678021050.678,-44.434,-56.152,-29.785,-32.715,-93.262
1678021050.682,-51.270,-57.617,-32.715,-41.992,136.230
1678021050.686,-45.898,-57.129,-34.180,-45.410,-14.160
1678021050.703,-47.852,-54.688,-32.227,-53.223,-123.535
1678021050.707,-53.223,-54.199,-32.227,-57.617,-47.852
1678021050.711,-53.711,-49.805,-34.668,-44.922,-25.391
1678021050.715,-47.852,-48.340,-34.180,-42.480,-70.312
1678021050.719,-45.898,-61.035,-29.785,-41.992,-69.824
1678021050.723,-52.246,-67.383,-31.738,-41.016,87.891
1678021050.727,-51.270,-60.547,-38.086,-41.504,62.988
1678021050.730,-42.480,-55.664,-43.457,-35.156,-154.785
1678021050.734,-34.180,-50.293,-41.016,-29.297,-146.484
1678021050.738,-42.480,-51.270,-38.086,-26.855,176.270
1678021050.742,-47.852,-57.129,-35.645,-29.297,81.055
1678021050.746,-45.410,-56.641,-35.156,-43.457,-185.547
1678021050.748,-47.363,-53.223,-40.039,-47.852,-174.316
1678021050.752,-48.828,-51.758,-40.039,-27.344,152.344
1678021050.756,-48.340,-56.641,-40.527,-21.484,221.680
1678021050.760,-45.410,-60.059,-34.668,-32.227,-87.402
1678021050.764,-40.527,-53.223,-29.297,-39.062,-105.469
1678021050.768,-43.945,-53.223,-41.992,-48.340,-24.414
1678021050.772,-47.363,-57.129,-42.480,-42.480,-37.109
1678021050.775,-36.621,-48.340,-40.039,-36.621,-151.855
1678021050.779,-25.879,-45.410,-46.387,-32.715,-97.168
1678021050.783,-39.062,-47.363,-44.922,-34.668,145.508
1678021050.787,-41.016,-45.898,-35.156,-43.457,-79.102
1678021050.791,-32.715,-43.945,-31.250,-31.250,-103.027
1678021050.793,-26.855,-42.969,-32.715,-24.902,57.617
1678021050.797,-33.691,-45.410,-28.809,-27.832,-25.391
1678021050.801,-37.109,-51.270,-30.273,-34.668,-113.281
1678021050.805,-35.645,-55.664,-33.691,-44.922,-109.375
1678021050.809,-35.645,-54.688,-33.691,-42.480,-73.730
1678021050.813,-31.250,-52.734,-29.785,-38.086,-26.855
1678021050.817,-32.715,-53.223,-35.156,-32.715,-28.809
1678021050.820,-41.504,-54.688,-41.016,-34.668,-99.121
1678021050.824,-49.316,-52.246,-33.691,-37.109,78.125
1678021050.828,-49.316,-49.805,-37.109,-38.086,201.660
1678021050.832,-51.270,-54.199,-41.504,-48.340,37.109
1678021050.836,-59.570,-58.594,-37.109,-41.504,-93.262
1678021050.839,-59.082,-53.711,-33.691,-33.691,34.668
1678021050.843,-60.547,-48.828,-43.945,-44.922,-42.480
1678021050.847,-56.641,-45.898,-44.434,-53.223,-147.461
1678021050.851,-41.992,-51.758,-37.109,-40.039,-68.359
1678021050.855,-49.316,-53.711,-41.992,-31.250,-15.137
1678021050.859,-51.270,-43.457,-44.434,-46.387,-97.168
1678021050.863,-41.992,-43.945,-41.504,-57.129,-188.477
1678021050.866,-52.246,-55.176,-39.062,-44.922,-76.660
1678021050.870,-57.129,-54.199,-41.504,-34.180,70.801
1678021050.874,-45.898,-51.758,-44.434,-46.875,-115.234
1678021050.878,-43.945,-56.152,-42.969,-64.453,-169.434
1678021050.882,-55.664,-57.129,-41.504,-62.500,-103.516
1678021050.883,-55.176,-63.965,-44.434,-66.895,-139.160
1678021050.887,-47.852,-62.012,-46.387,-64.453,-115.234
1678021050.891,-43.945,-55.664,-45.898,-52.734,-90.820
1678021050.895,-48.828,-56.641,-44.434,-55.176,-53.711
1678021050.899,-54.199,-60.059,-40.039,-56.152,30.273
1678021050.903,-48.340,-48.340,-37.598,-53.223,-22.949
1678021050.907,-43.945,-40.039,-36.133,-37.109,-17.090
1678021050.910,-43.457,-49.805,-39.062,-31.738,208.984
1678021050.914,-40.527,-49.805,-38.574,-32.227,212.402
1678021050.918,-38.574,-42.969,-39.062,-48.828,-121.094
1678021050.922,-37.109,-46.387,-41.016,-58.594,-77.637
1678021050.926,-43.457,-52.246,-44.434,-39.551,141.113
1678021050.928,-44.922,-56.152,-47.363,-33.203,-17.090
1678021050.932,-26.367,-54.199,-46.387,-31.738,-128.418
1678021050.936,-30.273,-49.805,-43.945,-31.738,-126.953
1678021050.940,-53.223,-47.363,-39.551,-49.316,-183.105
1678021050.944,-50.293,-44.922,-35.156,-53.711,-132.812
1678021050.948,-37.598,-40.039,-31.738,-50.781,-15.625
1678021050.952,-37.109,-44.434,-32.715,-47.363,133.789
1678021050.955,-40.039,-48.340,-34.668,-39.551,359.863
1678021050.959,-48.340,-47.363,-36.133,-42.480,42.969
1678021050.963,-45.410,-47.852,-35.156,-28.809,-213.379
1678021050.967,-42.480,-46.387,-31.738,-27.832,-36.621
1678021050.971,-45.410,-57.617,-38.574,-35.156,75.684
1678021050.973,-45.410,-57.129,-40.527,-37.109,-39.062
1678021050.977,-51.758,-53.711,-41.016,-45.410,-122.070
1678021050.981,-43.457,-60.059,-35.645,-40.527,-99.609
1678021050.985,-40.527,-56.152,-32.715,-33.691,-131.836
1678021050.989,-45.898,-52.246,-37.598,-37.109,-193.848
1678021050.993,-46.387,-54.688,-38.086,-43.457,-67.383
1678021050.997,-46.387,-54.688,-38.574,-52.246,117.676
