timestamps,TP9,AF7,AF8,TP10,Right AUX
1678020562.418,-45.410,-30.273,-33.203,-53.711,-156.250
1678020562.422,-46.875,-35.156,-33.203,-50.781,-132.324
1678020562.426,-34.668,-34.180,-32.715,-50.781,-140.137
1678020562.430,-29.297,-25.879,-39.062,-52.734,-174.316
1678020562.434,-30.762,-26.367,-48.340,-52.734,-70.801
1678020562.438,-25.391,-28.809,-47.363,-48.340,-5.859
1678020562.442,-32.715,-27.832,-41.016,-45.898,-91.309
1678020562.445,-63.965,-31.250,-42.480,-50.781,-88.867
1678020562.449,-65.918,-32.715,-46.387,-48.828,108.887
1678020562.453,-61.035,-28.809,-41.992,-32.715,329.102
1678020562.457,-76.660,-41.992,-37.598,-35.645,101.074
1678020562.461,-76.660,-39.551,-41.016,-49.805,-113.281
1678020562.463,-61.523,-28.809,-41.504,-25.879,-0.977
1678020562.467,-61.035,-27.832,-32.715,12.695,-8.301
1678020562.471,-73.730,-26.367,-33.691,-11.719,-157.227
1678020562.475,-76.172,-30.762,-41.992,-76.660,-168.945
1678020562.479,-74.219,-38.086,-42.480,-79.590,-126.953
1678020562.483,-73.242,-43.945,-40.039,-63.965,-68.848
1678020562.487,-78.613,-43.457,-41.504,-55.176,28.320
1678020562.490,-73.730,-39.551,-44.434,-54.199,-45.898
1678020562.494,-71.777,-32.715,-43.457,-61.035,92.773
1678020562.498,-65.918,-31.738,-43.457,-55.664,109.863
1678020562.502,-48.828,-33.691,-46.387,-40.527,-104.492
1678020562.506,-48.828,-28.809,-37.109,-36.621,-50.293
1678020562.509,-62.012,-33.691,-31.250,-43.945,10.742
1678020562.513,-58.105,-39.551,-35.156,-41.504,21.973
1678020562.517,-53.711,-41.016,-34.668,-38.574,-21.484
1678020562.521,-54.199,-46.387,-31.738,-39.062,58.105
1678020562.525,-51.758,-40.527,-33.203,-35.645,130.371
1678020562.529,-52.734,-37.109,-38.086,-30.273,49.805
1678020562.533,-60.059,-39.062,-39.062,-5.859,82.031
1678020562.536,-65.430,-38.574,-38.086,-27.832,253.418
1678020562.540,-61.523,-41.992,-31.250,-51.270,457.520
1678020562.544,-69.824,-30.762,-29.785,-25.879,263.184
1678020562.548,-62.988,-23.926,-30.273,-33.691,14.648
1678020562.552,-57.617,-26.855,-27.344,-29.297,52.734
1678020562.568,-40.039,-27.832,-32.715,-14.648,29.297
1678020562.572,-43.457,-32.227,-30.762,-39.551,-8.301
1678020562.576,-70.312,-32.227,-27.344,-60.547,11.230
1678020562.580,-60.059,-32.227,-30.762,-55.664,65.918
1678020562.584,-54.688,-33.203,-31.738,-56.152,104.980
1678020562.588,-50.293,-32.227,-26.855,-54.688,41.504
1678020562.592,-45.898,-30.273,-22.949,-48.340,-23.926
1678020562.595,-46.875,-25.879,-33.203,-36.133,249.023
1678020562.599,-43.457,-39.062,-36.621,-29.785,361.328
1678020562.603,-45.898,-40.527,-32.715,-29.297,35.645
1678020562.607,-48.340,-23.438,-30.762,-31.250,16.113
1678020562.611,-39.062,-26.855,-28.809,-34.180,108.887
1678020562.600,-40.527,-31.738,-24.414,-26.367,91.797
1678020562.604,-51.758,-33.203,-21.973,-43.945,58.594
1678020562.608,-42.480,-33.203,-23.438,-66.406,118.652
1678020562.612,-44.922,-33.691,-18.066,-59.570,155.762
1678020562.616,-60.547,-37.109,-17.578,-39.062,77.148
1678020562.620,-57.129,-39.062,-19.531,-22.949,80.566
1678020562.624,-54.688,-44.922,-23.926,-27.832,284.180
1678020562.627,-54.199,-47.363,-32.227,-45.410,284.668
1678020562.631,-52.734,-44.434,-28.809,-42.969,111.816
1678020562.635,-61.523,-43.457,-21.484,-45.410,34.668
1678020562.639,-60.059,-46.875,-28.320,-60.547,73.242
1678020562.643,-51.758,-52.734,-36.621,-46.387,317.383
1678020562.643,-47.852,-50.293,-30.762,-43.945,165.039
1678020562.647,-52.246,-50.781,-23.926,-24.902,-27.832
1678020562.651,-55.176,-47.363,-26.367,-46.875,170.898
1678020562.655,-41.504,-30.273,-29.297,-86.914,99.609
1678020562.659,-37.598,-23.926,-37.109,-80.078,-146.973
1678020562.663,-29.297,-30.273,-40.039,-64.453,-18.066
1678020562.667,-22.949,-28.320,-36.133,-49.805,256.348
1678020562.670,-32.715,-22.949,-29.785,-66.895,273.926
1678020562.674,-37.109,-27.344,-26.855,-67.383,37.109
1678020562.678,-30.762,-34.180,-40.527,-66.895,-15.137
1678020562.682,-27.344,-33.203,-47.852,-66.406,41.504
1678020562.686,-25.879,-36.133,-41.992,-54.199,5.371
1678020562.688,-30.273,-45.898,-46.387,-68.359,-80.566
1678020562.692,-38.086,-34.180,-44.434,-70.312,-20.020
1678020562.696,-43.945,-15.137,-41.504,-58.105,29.785
1678020562.700,-44.434,-15.625,-45.410,-58.594,-140.625
1678020562.704,-43.457,-18.066,-43.457,-60.059,-167.969
1678020562.708,-44.922,-29.297,-41.504,-46.875,108.398
1678020562.712,-39.062,-29.297,-37.109,-39.062,138.184
1678020562.715,-38.086,-20.996,-28.320,-53.223,-38.086
1678020562.719,-28.809,-23.926,-24.414,-58.594,-32.715
1678020562.723,-35.156,-31.250,-30.762,-20.996,167.969
1678020562.727,-48.828,-32.715,-33.203,-19.043,215.820
1678020562.731,-48.828,-34.180,-40.527,-58.105,-12.695
1678020562.748,-59.570,-35.645,-46.875,-59.570,-173.828
1678020562.752,-45.898,-30.762,-42.480,-53.711,19.043
1678020562.756,-34.668,-26.855,-41.992,-39.551,185.547
1678020562.760,-37.598,-27.344,-43.945,-35.156,-45.410
1678020562.764,-41.504,-23.926,-41.504,-43.457,-81.543
1678020562.768,-38.574,-22.461,-47.852,-55.176,29.785
1678020562.772,-28.809,-29.785,-54.199,-51.270,29.297
1678020562.775,-21.973,-24.414,-54.199,-34.668,-55.176
1678020562.779,-18.555,-18.555,-55.664,-39.062,-93.262
1678020562.783,-26.367,-18.066,-47.852,-60.547,55.176
1678020562.787,-29.297,-11.230,-42.969,-48.828,39.551
1678020562.791,-18.555,-12.695,-49.316,-27.832,-143.066
1678020562.793,-13.672,-15.137,-51.758,-29.297,-53.711
1678020562.797,-13.184,-16.602,-48.828,-26.855,63.477
1678020562.801,-20.996,-16.602,-41.992,-10.742,-38.086
1678020562.805,-36.621,-22.949,-30.762,-40.039,-98.145
1678020562.809,-48.340,-26.855,-28.320,-72.754,0.488
1678020562.813,-50.781,-25.391,-32.227,-51.758,100.586
1678020562.817,-51.758,-29.297,-33.691,-29.785,48.340
1678020562.820,-56.152,-28.320,-27.832,-56.641,-107.422
1678020562.824,-60.547,-26.367,-24.902,-58.105,-26.855
1678020562.828,-50.781,-25.879,-26.367,-29.297,334.961
1678020562.832,-36.133,-26.855,-26.855,-39.551,102.051
1678020562.836,-35.645,-28.809,-28.320,-37.598,-197.754
1678020562.838,-36.133,-28.809,-28.320,-24.902,-139.160
1678020562.842,-31.250,-27.344,-30.762,-37.598,-118.164
1678020562.846,-34.180,-25.879,-33.203,-30.273,-62.988
1678020562.850,-20.020,-38.574,-32.715,-16.602,-38.574
1678020562.854,-24.414,-47.852,-32.227,-24.902,3.418
1678020562.858,-45.410,-44.434,-30.273,-21.973,38.086
1678020562.862,-42.480,-39.062,-30.762,-33.691,-10.742
1678020562.865,-39.551,-35.645,-30.762,-47.363,-129.883
1678020562.869,-49.805,-29.297,-33.203,-10.742,84.961
1678020562.873,-51.270,-25.391,-33.691,4.883,76.172
1678020562.877,-41.016,-26.367,-28.809,-32.715,-215.820
1678020562.881,-41.016,-24.902,-27.344,-62.988,-131.348
1678020562.883,-29.785,-27.832,-33.691,-54.688,-115.234
1678020562.887,-20.996,-33.691,-38.574,-28.809,-153.320
1678020562.891,-28.809,-40.039,-37.109,-25.391,-115.234
1678020562.895,-31.738,-51.270,-37.598,-43.457,-79.590
1678020562.899,-35.156,-50.781,-32.715,-45.410,-75.684
1678020562.903,-32.715,-37.598,-29.297,-28.320,12.695
1678020562.907,-43.945,-28.809,-29.785,-29.785,32.227
1678020562.910,-47.852,-30.273,-23.926,-28.809,120.117
1678020562.914,-47.852,-32.227,-23.926,-21.973,479.492
1678020562.918,-57.129,-30.273,-27.832,-35.156,335.449
1678020562.922,-62.012,-21.973,-25.391,-31.738,-104.492
1678020562.926,-33.691,-34.668,-13.672,-22.461,-126.465
1678020562.928,-8.789,-46.875,-10.254,-29.297,-43.457
1678020562.932,-48.828,-4.395,-9.277,-55.664,-63.477
1678020562.936,-105.957,28.320,0.977,-84.961,-130.371
1678020562.940,-120.605,32.715,-4.883,-110.352,-115.234
1678020562.944,-130.371,21.973,-2.441,-125.000,-140.625
1678020562.948,-160.156,3.906,10.742,-152.832,-76.660
1678020562.952,-185.059,26.855,31.250,-200.684,48.340
1678020562.955,-244.141,48.828,51.758,-237.305,229.004
1678020562.959,-261.719,50.781,62.988,-245.605,242.188
1678020562.963,-269.531,54.199,76.172,-266.113,-99.609
1678020562.967,-308.594,74.707,87.891,-300.781,-71.289
1678020562.971,-315.430,58.594,96.191,-311.035,8.789
1678020562.973,-324.707,48.828,97.656,-330.566,-84.961
1678020562.977,-332.031,99.609,101.074,-335.938,-134.277
1678020562.981,-305.176,89.844,97.168,-321.289,-63.965
1678020562.985,-274.902,49.805,82.520,-318.359,-34.180
1678020562.989,-265.137,69.824,70.801,-304.688,-76.660
1678020562.993,-253.906,105.469,72.266,-271.973,-34.668
1678020562.997,-223.145,66.895,69.336,-239.258,46.387
1678020563.000,-192.871,42.969,45.410,-198.242,278.809
1678020563.004,-161.621,63.965,35.645,-156.738,72.754
1678020563.008,-123.047,44.922,33.203,-150.879,-231.934
1678020563.012,-102.539,20.020,13.672,-138.672,10.254
1678020563.016,-90.332,6.348,-7.812,-111.816,113.281
1678020563.018,-67.871,-9.766,-14.648,-74.707,-139.648
1678020563.022,-37.598,-21.973,-14.160,-59.082,-193.359
1678020563.026,-20.508,-30.273,-19.531,-76.660,-159.180
1678020563.030,-15.625,-36.621,-37.109,-55.664,-103.516
1678020563.034,-10.742,-47.363,-52.246,-32.227,-103.027
1678020563.038,20.996,-55.176,-43.945,-42.480,-90.820
1678020563.042,51.758,-54.688,-49.316,-29.297,143.066
1678020563.045,49.805,-54.199,-62.988,-11.230,140.137
1678020563.049,29.785,-53.711,-61.035,-4.883,-99.609
1678020563.053,33.691,-63.477,-58.594,11.719,-71.777
1678020563.057,56.152,-78.125,-62.988,34.180,-92.285
