timestamps,TP9,AF7,AF8,TP10,Right AUX
1678025767.566,19.531,-29.297,-39.062,21.973,-105.469
1678025767.570,1.953,-25.879,-9.277,18.555,17.090
1678025767.574,-30.762,-33.203,-5.859,-7.324,-36.133
1678025767.578,-32.227,-45.410,-18.555,-13.184,-101.562
1678025767.582,-15.137,-24.902,-15.625,-0.488,-107.422
1678025767.586,11.719,-13.184,-5.371,23.438,67.383
1678025767.590,7.324,-12.207,-16.602,23.926,175.293
1678025767.593,-15.625,-7.812,-22.949,-14.648,-67.871
1678025767.597,-39.551,-17.090,-20.508,-31.738,-205.078
1678025767.601,-35.156,-34.180,-25.391,-19.531,-118.652
1678025767.605,1.953,-25.391,-22.461,15.137,314.453
1678025767.609,9.766,-15.625,-23.926,19.043,372.559
1678025767.613,-17.578,-33.203,-37.598,-41.992,-55.664
1678025767.617,-43.457,-23.438,-39.551,-85.938,-230.957
1678025767.621,-34.180,-17.090,-20.996,-58.105,-188.965
1678025767.625,-18.555,-33.203,-31.250,-28.809,-102.051
1678025767.629,-13.184,-26.367,-36.133,-21.484,-18.066
1678025767.633,-22.949,-20.996,-30.762,-39.551,64.453
1678025767.637,-41.016,-25.879,-28.809,-53.711,7.324
1678025767.640,-28.320,-27.832,-8.789,-41.504,-40.039
1678025767.644,-8.789,-30.762,-7.324,-17.578,-45.410
1678025767.648,-6.348,-36.621,-18.066,4.395,66.406
1678025767.652,-14.648,-28.809,-15.137,-5.859,40.039
1678025767.656,-30.762,-23.926,-19.531,-34.180,-249.023
1678025767.671,-17.578,-20.996,-22.949,-35.156,-295.898
1678025767.675,3.906,-8.789,-17.090,2.441,75.684
1678025767.679,-11.719,-18.066,-19.531,20.020,185.059
1678025767.683,-24.902,-31.738,-33.691,-3.418,-112.305
1678025767.687,-16.113,-22.949,-38.574,-21.973,-211.426
1678025767.691,-21.484,-1.953,-24.414,-21.484,34.668
1678025767.695,-8.301,-4.395,-12.695,3.906,60.547
1678025767.698,11.230,-15.137,-7.324,21.973,-39.551
1678025767.702,-24.902,-20.020,-20.020,-8.789,122.559
1678025767.706,-57.129,-19.043,-34.668,-18.555,287.109
1678025767.710,-50.293,-13.672,-22.949,-17.578,36.621
1678025767.714,-31.250,-27.832,-6.836,-4.883,-226.562
1678025767.716,-18.555,-21.973,-7.812,18.555,-69.824
1678025767.720,-24.902,-0.488,-15.625,5.859,-52.734
1678025767.724,-39.551,-7.324,-15.137,-9.277,-225.098
1678025767.728,-47.363,-23.926,-21.484,-5.371,-305.176
1678025767.732,-31.738,-31.250,-20.996,30.762,-213.867
1678025767.736,-10.254,-30.762,-14.648,62.500,-58.594
1678025767.740,-9.766,-19.531,-25.879,46.387,59.570
1678025767.743,-33.691,-14.160,-21.973,10.742,-63.965
1678025767.747,-49.805,-17.090,-8.301,2.441,0.488
1678025767.751,-28.320,-7.812,-5.371,28.320,163.086
1678025767.755,-8.789,-15.137,-7.324,48.828,50.781
1678025767.759,-5.371,-20.020,-13.184,56.152,-37.598
1678025767.761,-36.621,-15.625,-16.602,38.574,-101.562
1678025767.765,-35.156,-22.949,-14.648,36.133,-184.570
1678025767.769,-2.930,-19.043,-20.020,55.176,-236.328
1678025767.773,-2.930,-14.160,-21.973,57.129,-29.785
1678025767.777,-13.672,-20.020,-18.066,52.734,105.957
1678025767.781,-36.621,-22.461,-18.066,15.137,-19.531
1678025767.785,-40.527,-26.855,-18.555,1.953,-85.938
1678025767.788,-30.273,-24.414,-15.625,31.250,-50.293
1678025767.792,-19.531,-25.391,-15.625,46.875,341.797
1678025767.796,-0.488,-20.996,-17.090,62.988,275.879
1678025767.800,-26.855,-15.137,-22.461,42.480,-167.969
1678025767.804,-58.105,-10.254,-18.066,19.043,-277.344
1678025767.807,-46.387,-5.371,-12.695,34.180,-193.848
1678025767.811,-19.531,-14.648,-24.414,50.781,-100.586
1678025767.815,-2.930,-14.648,-20.996,56.152,-92.285
1678025767.819,-19.531,-20.996,-13.672,45.898,26.855
1678025767.823,-38.086,-22.949,-16.602,34.668,-86.914
1678025767.827,-32.227,-6.348,-20.508,31.250,-150.879
1678025767.831,-14.160,-11.230,-22.949,32.715,-57.129
1678025767.834,-9.766,-21.484,-27.832,45.410,209.473
1678025767.838,-24.902,-23.926,-32.715,32.715,244.629
1678025767.842,-44.922,-22.461,-25.391,2.441,-178.223
1678025767.846,-53.711,-21.973,-18.066,7.324,-198.730
1678025767.850,-39.062,-31.250,-11.719,30.762,-83.984
1678025767.853,-11.719,-27.832,-15.137,50.293,-47.363
1678025767.857,-17.090,-10.742,-23.438,47.363,-81.055
1678025767.861,-35.645,-21.973,-17.578,37.598,-119.629
1678025767.865,-34.180,-40.039,-24.902,21.973,-109.863
1678025767.869,-34.668,-39.062,-41.504,0.977,-105.957
1678025767.873,-22.949,-32.227,-36.133,19.531,-6.836
1678025767.877,-24.902,-30.273,-37.598,11.719,-12.695
1678025767.880,-55.664,-45.410,-45.898,-12.695,207.520
1678025767.884,-52.246,-40.039,-43.945,3.418,183.105
1678025767.888,-31.250,-12.695,-43.457,24.414,-98.633
1678025767.892,-41.016,-20.020,-36.133,20.508,-18.555
1678025767.896,-57.617,-33.691,-21.973,9.277,7.324
1678025767.897,-72.266,-26.855,-20.020,-8.301,-152.344
1678025767.901,-72.266,-23.926,-30.762,-18.555,-224.609
1678025767.905,-62.012,-29.297,-31.738,-2.441,-112.793
1678025767.909,-58.105,-42.969,-30.273,4.395,-36.621
1678025767.913,-55.176,-45.898,-33.691,-4.883,-21.484
1678025767.917,-64.941,-37.109,-37.109,-24.902,-102.051
1678025767.921,-64.941,-34.180,-45.410,-39.062,52.246
1678025767.924,-47.363,-37.109,-38.574,-12.695,299.805
