timestamps,TP9,AF7,AF8,TP10,Right AUX
1678025462.374,-57.617,112.305,40.039,-81.055,10.742
1678025462.378,-230.957,113.770,30.273,-152.832,-110.352
1678025462.382,-203.613,100.586,16.602,-152.344,-239.746
1678025462.386,-93.262,102.051,24.414,-85.938,-39.062
1678025462.390,-5.859,91.309,39.062,-52.734,87.402
1678025462.394,-1.465,77.637,44.434,-32.715,57.617
1678025462.398,-133.301,68.848,32.227,-57.617,9.766
1678025462.401,-143.066,56.641,17.090,-66.406,103.516
1678025462.405,-24.902,52.734,14.648,-7.324,101.562
1678025462.409,96.680,22.949,9.277,61.523,-137.207
1678025462.413,77.637,21.973,2.441,60.547,-26.367
1678025462.417,-59.570,36.621,13.672,12.695,-20.996
1678025462.419,-95.703,31.250,33.691,17.578,-215.820
1678025462.423,51.758,34.668,38.574,101.562,-229.004
1678025462.427,233.887,50.293,34.180,176.270,-78.125
1678025462.431,235.352,57.617,15.137,166.992,48.828
1678025462.435,85.938,60.059,-9.277,84.961,-62.500
1678025462.439,-8.789,48.828,-1.465,41.016,-220.703
1678025462.443,79.102,42.480,10.254,62.988,-10.742
1678025462.446,223.633,56.641,5.859,123.535,365.234
1678025462.450,252.930,59.082,-3.418,167.480,135.742
1678025462.454,143.066,63.477,-5.371,123.535,-160.156
1678025462.458,35.156,65.918,-26.855,60.059,-131.348
1678025462.462,88.867,71.777,-21.973,64.941,-164.551
1678025462.464,226.074,84.961,1.953,111.816,-165.039
1678025462.468,293.945,90.332,11.719,160.156,-13.672
1678025462.472,197.754,104.004,22.461,136.230,138.184
1678025462.476,65.430,116.211,10.254,67.383,-22.461
1678025462.480,80.566,126.953,-17.578,35.645,-296.387
1678025462.484,194.824,124.512,-8.789,78.613,-62.012
1678025462.488,242.188,113.281,-4.883,103.516,221.680
1678025462.491,110.840,110.352,-7.812,43.457,11.719
1678025462.495,-17.090,108.398,-10.254,-21.973,-282.715
1678025462.499,10.742,102.539,-31.250,-31.250,-249.512
1678025462.503,113.770,126.465,-30.273,28.320,115.234
1678025462.507,185.059,148.926,-26.367,74.707,213.867
1678025462.524,128.906,152.344,-57.129,25.879,-4.395
1678025462.528,-25.879,170.410,-46.875,-42.969,-192.383
1678025462.532,-51.758,188.477,-1.953,-61.523,-289.551
1678025462.536,69.824,187.988,16.113,-44.922,-235.352
1678025462.540,155.273,189.941,19.043,-12.207,-120.117
1678025462.544,93.750,194.824,8.301,-28.320,67.871
1678025462.548,-61.523,196.777,-11.230,-92.285,125.977
1678025462.551,-69.824,202.148,-25.879,-108.887,-146.484
1678025462.555,49.805,201.172,-23.438,-62.988,-247.070
1678025462.559,149.414,198.242,-10.254,-9.766,30.273
1678025462.563,99.121,197.754,-14.160,-21.973,104.004
1678025462.567,-41.504,207.520,-7.324,-98.633,-192.383
1678025462.569,-65.918,207.031,4.883,-113.770,-236.816
1678025462.573,17.090,207.520,5.371,-55.176,83.008
1678025462.577,115.234,232.910,17.578,-3.418,165.527
1678025462.581,107.422,241.699,22.949,-26.367,-41.016
1678025462.585,-8.301,235.840,25.879,-86.426,-145.020
1678025462.589,-83.008,227.539,28.320,-110.352,-116.211
1678025462.593,-7.324,236.328,18.555,-75.195,-137.207
1678025462.596,95.703,247.559,14.160,-17.090,-94.238
1678025462.600,92.285,245.605,32.227,-13.672,-25.391
1678025462.604,-21.973,251.953,59.082,-69.336,76.660
1678025462.608,-102.539,251.953,28.809,-133.789,-124.023
