timestamps,TP9,AF7,AF8,TP10,Right AUX
1678025311.023,-34.180,-24.414,-72.266,-212.891,-112.305
1678025311.027,-101.562,-30.273,-71.777,-221.680,-175.293
1678025311.031,-112.793,-36.621,-71.777,-214.844,-230.957
1678025311.035,-62.988,-40.039,-73.242,-209.961,-134.766
1678025311.039,-7.324,-32.715,-73.242,-189.453,-37.598
1678025311.043,-41.992,-30.273,-72.754,-180.664,7.324
1678025311.047,-95.703,-32.227,-74.219,-190.430,163.574
1678025311.050,-85.449,-23.438,-75.195,-195.801,-60.059
1678025311.054,-49.805,-23.438,-81.055,-189.941,-188.477
1678025311.058,-11.719,-31.250,-83.008,-170.410,-64.941
1678025311.062,-22.949,-28.320,-78.125,-166.016,-49.805
1678025311.066,-79.590,-24.414,-76.172,-185.547,-186.035
1678025311.070,-53.711,-30.762,-78.613,-137.695,-83.008
1678025311.074,-77.637,-28.320,-77.637,-142.090,49.316
1678025311.078,-33.691,-27.832,-73.730,-141.602,35.156
1678025311.081,26.367,-25.879,-77.637,-136.230,-0.977
1678025311.085,17.578,-28.809,-79.590,-142.578,-1.953
1678025311.089,-51.270,-27.832,-76.660,-151.367,76.660
1678025311.093,-73.730,-19.043,-73.730,-152.832,35.156
1678025311.097,-42.480,-21.973,-72.754,-151.855,-154.785
1678025311.114,-0.488,-27.344,-72.754,-151.855,-47.363
1678025311.118,11.230,-29.297,-80.078,-157.715,120.605
1678025311.122,-50.293,-27.344,-80.078,-169.922,-49.805
1678025311.126,-89.355,-22.949,-74.219,-173.828,-230.469
1678025311.130,-62.988,-24.414,-72.266,-160.645,-99.609
1678025311.134,-13.672,-26.855,-70.312,-139.648,219.727
1678025311.138,8.301,-26.367,-74.219,-131.348,213.379
1678025311.141,-55.176,-27.832,-73.242,-139.648,-46.875
1678025311.145,-100.098,-29.297,-71.289,-141.602,-115.234
1678025311.149,-74.707,-27.344,-71.777,-125.488,37.109
1678025311.153,-15.137,-23.438,-69.824,-105.469,-31.738
1678025311.157,11.719,-24.902,-71.777,-97.168,-31.738
1678025311.158,-42.480,-23.926,-72.266,-114.746,-58.594
1678025311.162,-95.703,-23.438,-63.965,-125.977,-165.039
1678025311.166,-75.684,-27.344,-63.965,-126.953,-166.504
1678025311.170,-22.949,-27.832,-70.312,-132.812,-65.430
1678025311.174,11.230,-28.809,-72.754,-139.648,227.051
1678025311.178,-25.879,-27.832,-72.754,-155.273,134.277
1678025311.182,-89.844,-26.367,-72.754,-181.641,-112.793
1678025311.185,-77.637,-26.367,-76.172,-192.871,-75.195
1678025311.189,-26.855,-29.297,-72.266,-190.918,114.746
1678025311.193,10.742,-26.367,-69.336,-186.523,291.504
1678025311.197,-30.273,-22.949,-75.195,-209.473,-6.836
1678025311.201,-86.426,-32.715,-75.684,-244.629,-218.262
1678025311.205,-65.918,-32.715,-71.289,-240.723,-161.133
1678025311.209,-28.320,-28.809,-73.242,-220.703,-104.980
1678025311.213,5.859,-28.320,-73.242,-222.656,-54.688
1678025311.217,-15.625,-27.832,-75.684,-247.559,-77.148
1678025311.221,-68.359,-30.762,-76.660,-267.090,-106.445
1678025311.225,-72.266,-27.832,-76.172,-272.949,-90.820
1678025311.229,-45.410,-25.879,-76.660,-250.977,-54.688
1678025311.232,-4.395,-30.762,-76.172,-218.262,68.359
1678025311.236,-2.930,-31.738,-77.637,-211.914,359.863
1678025311.240,-69.824,-31.250,-78.613,-229.492,132.812
1678025311.244,-88.379,-33.691,-74.707,-241.699,-241.211
1678025311.248,-41.504,-33.691,-72.266,-257.324,-153.809
1678025311.248,1.953,-31.738,-72.266,-268.066,-64.941
1678025311.252,-8.789,-37.598,-73.242,-284.668,-23.438
1678025311.256,-59.570,-37.109,-70.312,-294.922,-104.980
1678025311.260,-83.008,-31.738,-69.824,-294.922,-199.219
1678025311.264,-50.781,-30.762,-66.895,-297.852,-137.207
1678025311.268,11.719,-30.273,-60.059,-277.344,6.836
1678025311.272,17.578,-32.227,-60.547,-274.414,67.383
1678025311.275,-44.922,-31.250,-62.012,-287.598,193.848
1678025311.279,-77.148,-30.273,-59.082,-279.785,308.594
1678025311.283,-54.199,-32.227,-56.641,-275.391,8.789
1678025311.287,-2.441,-35.645,-59.082,-280.273,-104.980
1678025311.291,11.719,-39.551,-59.082,-298.340,-64.453
1678025311.295,-50.293,-40.527,-54.688,-311.523,-193.848
1678025311.299,-95.703,-37.109,-54.688,-306.152,-253.418
1678025311.303,-66.406,-39.062,-64.453,-308.594,-147.949
1678025311.307,-6.348,-38.574,-67.383,-294.922,22.949
1678025311.311,8.301,-35.645,-63.965,-283.691,35.156
1678025311.315,-43.457,-37.598,-62.988,-302.734,-77.148
1678025311.319,-72.266,-37.109,-67.871,-326.660,-105.957
1678025311.322,-65.918,-39.551,-74.219,-313.477,138.672
1678025311.326,-25.391,-39.062,-70.312,-289.551,56.641
1678025311.330,1.465,-38.086,-69.336,-270.020,-74.707
1678025311.334,-42.480,-40.039,-66.406,-268.555,-40.527
1678025311.338,-87.402,-37.109,-66.406,-280.273,-168.945
1678025311.338,-69.336,-36.133,-68.359,-272.461,-247.559
1678025311.342,-9.766,-36.133,-72.754,-247.559,-145.996
1678025311.346,32.715,-35.156,-76.172,-231.445,20.020
1678025311.350,-11.230,-35.645,-70.312,-239.258,6.836
1678025311.354,-88.867,-38.086,-68.848,-246.094,-109.375
1678025311.358,-91.309,-42.480,-72.266,-237.305,-95.215
1678025311.362,-37.598,-46.387,-77.637,-218.262,144.531
1678025311.365,4.395,-44.434,-77.148,-195.312,402.832
1678025311.369,-22.461,-40.527,-75.684,-206.055,60.059
1678025311.373,-79.590,-40.527,-80.078,-217.285,-190.430
1678025311.377,-75.195,-42.480,-81.543,-232.422,-101.074
1678025311.381,-28.320,-48.828,-82.031,-261.230,-119.141
1678025311.386,13.184,-47.852,-80.566,-279.785,-53.223
1678025311.390,-16.602,-42.480,-80.078,-295.410,18.066
1678025311.394,-84.473,-41.016,-80.566,-322.266,-11.230
1678025311.398,-85.938,-42.969,-80.566,-345.215,-182.617
1678025311.402,-41.992,-40.527,-81.055,-354.492,-214.355
1678025311.406,-5.371,-36.133,-79.590,-343.750,73.730
1678025311.410,-23.438,-34.668,-75.684,-336.426,261.719
1678025311.413,-82.031,-33.691,-77.637,-360.352,-31.738
1678025311.417,-95.703,-35.156,-83.496,-375.000,-215.332
1678025311.421,-50.293,-35.156,-85.449,-374.512,-116.211
1678025311.425,6.348,-35.645,-87.891,-374.512,16.113
1678025311.429,-7.324,-35.156,-88.867,-399.902,-25.391
1678025311.458,-85.449,-38.574,-89.355,-454.590,-182.617
1678025311.462,-102.051,-42.969,-86.426,-489.258,-140.625
1678025311.466,-51.758,-39.551,-86.914,-486.816,-15.137
1678025311.470,-4.883,-32.715,-84.473,-477.539,36.133
1678025311.474,-10.742,-32.715,-88.867,-492.188,38.086
1678025311.478,-76.660,-34.668,-95.215,-512.207,182.617
1678025311.482,-100.586,-34.180,-94.238,-494.629,268.066
1678025311.485,-58.594,-32.715,-90.332,-469.727,-18.555
1678025311.489,-8.301,-34.180,-87.402,-441.895,-92.285
1678025311.493,1.465,-38.086,-86.426,-419.922,170.898
1678025311.497,-53.711,-36.621,-85.449,-415.527,85.449
1678025311.501,-102.051,-35.156,-89.355,-434.570,-154.785
1678025311.490,-67.871,-32.227,-94.727,-438.477,-189.941
1678025311.494,-1.953,-37.109,-95.703,-430.176,-145.508
1678025311.498,11.719,-39.551,-95.215,-428.711,-95.703
1678025311.502,-53.711,-33.203,-97.656,-450.195,-150.879
1678025311.506,-95.215,-31.738,-99.121,-478.516,-225.098
1678025311.510,-69.336,-32.715,-97.168,-475.586,-144.043
1678025311.514,-20.996,-32.227,-98.633,-457.520,30.273
1678025311.517,0.488,-35.156,-99.121,-436.035,111.816
1678025311.521,-48.340,-37.598,-96.191,-443.359,53.223
1678025311.525,-105.957,-36.621,-99.609,-465.820,-80.566
1678025311.529,-93.262,-37.109,-98.633,-467.285,-169.922
1678025311.533,-32.715,-36.133,-94.727,-443.359,-140.137
1678025311.533,14.160,-32.227,-94.727,-423.340,57.617
1678025311.537,-16.602,-31.738,-95.703,-428.223,361.328
1678025311.541,-78.125,-29.297,-97.656,-462.891,34.668
1678025311.545,-73.242,-30.762,-96.191,-472.656,-287.109
1678025311.549,-21.484,-33.203,-92.773,-452.637,-39.551
1678025311.553,18.555,-30.762,-94.238,-449.707,97.656
1678025311.557,-3.906,-29.785,-91.797,-464.355,-71.289
1678025311.560,-55.664,-24.414,-84.961,-486.816,-161.133
1678025311.564,-67.383,-19.043,-81.543,-473.145,100.098
1678025311.568,-30.762,-21.484,-84.473,-432.129,354.004
1678025311.572,16.602,-27.344,-89.355,-415.039,140.625
1678025311.576,-15.137,-27.832,-92.773,-414.551,-34.180
1678025311.581,-81.055,-23.438,-94.238,-399.902,-99.609
1678025311.585,-88.379,-22.461,-96.191,-394.043,-252.930
1678025311.589,-47.363,-24.414,-97.656,-393.555,-233.887
1678025311.593,9.277,-23.926,-93.750,-372.070,-105.957
1678025311.597,-2.930,-27.832,-94.238,-357.422,-56.152
1678025311.601,-85.938,-32.715,-94.727,-354.980,-118.652
1678025311.605,-98.633,-37.109,-96.680,-344.727,-175.293
1678025311.608,-41.016,-39.551,-97.656,-333.496,-95.703
1678025311.612,13.672,-38.574,-98.145,-306.641,194.336
1678025311.616,3.906,-39.551,-101.562,-304.199,86.426
1678025311.620,-61.523,-42.480,-100.098,-318.848,-113.281
1678025311.624,-86.914,-38.574,-100.098,-305.176,-145.508
1678025311.623,-50.293,-34.180,-101.074,-306.641,-142.090
1678025311.627,14.160,-32.715,-97.168,-316.406,-88.379
1678025311.631,23.926,-28.320,-98.633,-317.383,-24.414
1678025311.635,-53.223,-31.738,-105.957,-331.055,6.348
1678025311.639,-95.703,-34.180,-111.816,-351.562,-114.258
1678025311.643,-58.594,-31.250,-115.723,-341.309,-145.996
1678025311.647,-9.277,-34.180,-111.816,-307.617,-21.484
1678025311.650,-0.977,-36.621,-110.352,-303.223,176.270
1678025311.654,-59.082,-33.691,-113.770,-322.266,360.352
1678025311.658,-101.074,-29.785,-108.398,-336.914,-33.203
1678025311.662,-69.824,-28.809,-112.305,-327.148,-251.953
1678025311.666,-22.461,-32.227,-119.629,-301.270,-13.184
1678025311.685,-11.230,-33.691,-120.117,-293.457,62.012
1678025311.689,-62.500,-34.668,-120.117,-316.895,-98.633
1678025311.693,-111.328,-36.621,-119.629,-333.008,-209.473
1678025311.697,-88.867,-32.227,-112.305,-318.848,-30.762
1678025311.701,-35.645,-37.109,-111.328,-304.199,-89.844
1678025311.705,-16.602,-37.109,-126.465,-309.082,-86.426
1678025311.709,-62.012,-38.086,-130.371,-330.566,41.504
1678025311.712,-124.512,-32.227,-122.559,-340.820,170.898
1678025311.716,-128.418,-24.414,-124.512,-351.074,-22.461
1678025311.720,-89.355,-22.461,-127.930,-342.285,-185.059
1678025311.724,-63.965,-24.902,-139.160,-324.219,-48.340
1678025311.728,-111.816,-30.273,-154.785,-348.145,-32.715
1678025311.714,-198.730,-35.156,-161.621,-381.348,-200.684
1678025311.718,-208.984,-32.715,-168.457,-395.020,-251.953
1678025311.722,-162.109,-25.879,-174.805,-420.410,-5.371
1678025311.726,-137.207,-22.949,-186.035,-442.871,96.680
1678025311.730,-185.547,-22.949,-192.383,-467.773,-109.863
1678025311.734,-274.902,-26.367,-195.801,-503.906,-202.637
1678025311.738,-296.387,-29.297,-200.195,-509.766,-2.930
1678025311.741,-249.512,-24.414,-209.473,-497.559,-12.695
1678025311.745,-191.406,-21.973,-211.914,-484.863,-150.879
