timestamps,TP9,AF7,AF8,TP10,Right AUX
1678024808.549,-52.246,-25.879,4.395,1.953,-204.590
1678024808.553,-65.918,-24.902,3.906,7.812,-251.953
1678024808.557,-73.242,-26.367,4.395,43.457,-183.594
1678024808.561,-49.316,-28.320,6.836,67.383,-114.746
1678024808.565,-38.086,-25.391,3.906,46.387,-83.984
1678024808.569,-51.758,-20.508,-1.953,12.695,-181.641
1678024808.573,-62.500,-20.020,-2.930,12.207,54.199
1678024808.576,-55.176,-20.996,-6.348,39.062,207.520
1678024808.580,-21.973,-19.531,-3.418,40.527,-75.195
1678024808.584,-9.277,-22.461,-7.812,16.602,-143.066
1678024808.588,-23.438,-21.973,-12.695,-12.207,-148.438
1678024808.592,-36.133,-22.461,-9.766,-11.719,-245.117
1678024808.594,-34.668,-24.902,-10.742,-4.883,-213.379
1678024808.598,-13.672,-25.391,-14.648,-0.977,-132.812
1678024808.602,-11.719,-27.832,-18.066,-12.695,-182.129
1678024808.606,-21.973,-27.344,-11.719,-44.922,-257.812
1678024808.610,-27.344,-27.344,-9.277,-51.758,-360.352
1678024808.614,-41.504,-31.738,-14.160,-21.973,-203.613
1678024808.618,-57.129,-34.180,-16.113,0.488,45.898
1678024808.621,-51.758,-38.086,-16.602,-13.672,-76.660
1678024808.625,-62.012,-38.086,-12.695,-44.434,-203.613
1678024808.629,-74.219,-29.297,-15.137,-46.387,-154.785
1678024808.633,-66.895,-30.762,-17.578,-6.348,160.156
1678024808.637,-63.965,-35.645,-16.602,-2.930,76.660
1678024808.654,-46.875,-29.297,-13.672,-33.203,-235.352
1678024808.658,-54.688,-31.738,-9.766,-49.805,-256.836
1678024808.662,-76.660,-33.691,-7.812,-58.105,-378.418
1678024808.666,-68.848,-30.762,-5.859,-51.758,-417.969
1678024808.670,-55.664,-30.273,-5.371,-50.293,-289.551
1678024808.674,-45.898,-28.809,-7.812,-75.195,-166.992
1678024808.678,-39.062,-26.367,-11.719,-92.773,-181.641
1678024808.681,-61.523,-30.273,-10.254,-101.562,-284.668
1678024808.685,-84.961,-33.691,-10.254,-95.703,-286.133
1678024808.689,-69.824,-31.738,-7.812,-41.992,59.082
1678024808.693,-48.828,-28.809,2.441,-16.113,119.629
1678024808.697,-57.129,-29.297,2.930,-46.387,-296.387
1678024808.699,-82.520,-38.574,1.465,-58.594,-291.992
1678024808.703,-90.820,-42.480,5.859,-28.320,-132.324
1678024808.707,-76.660,-40.039,9.277,13.672,-110.840
1678024808.711,-79.102,-38.574,14.648,31.738,-193.359
1678024808.715,-84.473,-32.227,13.672,5.371,-219.727
1678024808.719,-93.262,-31.250,8.301,-31.250,-180.664
1678024808.723,-95.215,-36.133,8.301,4.883,-193.359
1678024808.726,-74.219,-43.945,9.766,85.449,-151.855
1678024808.730,-64.941,-48.340,2.441,96.680,17.090
1678024808.734,-82.520,-45.410,0.977,72.754,297.363
1678024808.738,-106.934,-47.363,0.000,45.410,169.922
1678024808.742,-97.168,-46.875,-11.230,26.367,-194.336
1678024808.744,-69.824,-46.387,-15.625,68.359,-31.738
1678024808.748,-68.848,-50.293,-18.555,89.355,62.988
1678024808.752,-65.430,-47.363,-18.555,65.918,-145.508
1678024808.756,-55.176,-42.480,-13.184,53.223,-200.684
1678024808.760,-64.941,-40.527,-17.090,60.547,-197.266
1678024808.764,-51.758,-36.621,-19.531,104.492,26.367
1678024808.768,-32.227,-33.203,-16.113,134.766,162.109
1678024808.771,-37.598,-29.785,-10.742,107.422,8.789
1678024808.775,-58.594,-33.203,-11.719,85.449,109.375
1678024808.779,-73.242,-32.227,-11.719,100.586,126.465
1678024808.783,-64.941,-28.809,-12.207,133.301,-78.125
1678024808.787,-42.480,-28.320,-14.160,157.227,-10.742
1678024808.789,-45.410,-25.879,-14.648,138.184,98.145
1678024808.793,-47.363,-22.949,-13.184,100.098,92.773
1678024808.797,-47.852,-22.949,-12.695,81.055,-111.816
1678024808.801,-42.480,-23.926,-16.113,112.305,30.273
1678024808.805,-21.973,-24.902,-15.137,133.301,264.648
1678024808.809,-11.719,-26.855,-15.625,82.031,186.035
1678024808.813,-14.160,-20.996,-15.625,31.250,41.504
1678024808.816,-27.832,-20.020,-12.695,27.832,-53.711
1678024808.820,-36.621,-22.949,-17.578,63.477,318.359
1678024808.824,-8.789,-16.602,-21.484,62.500,290.039
1678024808.828,6.836,-12.207,-14.648,10.742,-78.125
1678024808.832,-8.789,-14.160,-6.348,-39.551,-162.109
1678024808.834,-19.043,-13.184,-5.859,-69.336,-298.340
1678024808.838,-16.113,-12.695,-8.789,-61.523,-279.785
1678024808.842,-6.836,-16.602,-8.301,-38.574,-136.230
1678024808.846,-1.465,-12.695,-7.324,-50.293,20.996
1678024808.850,-9.766,-8.789,-4.395,-93.262,-31.738
1678024808.854,-34.180,-10.254,-0.488,-90.820,-141.602
1678024808.858,-34.180,-12.207,-1.953,-48.828,-138.184
1678024808.861,-21.973,-13.184,-0.977,-1.953,148.926
1678024808.865,-33.203,-15.625,-1.953,-8.301,355.469
1678024808.869,-47.363,-9.766,-2.930,-49.805,14.648
1678024808.873,-44.434,-10.742,-4.883,-62.500,-188.965
1678024808.877,-41.504,-17.578,-15.137,-45.410,-130.371
1678024808.879,-30.273,-13.672,-17.578,-7.812,-21.484
1678024808.883,-17.090,-12.695,-9.766,-17.090,10.254
1678024808.887,-21.973,-11.230,-5.859,-62.988,-22.461
1678024808.891,-27.344,-7.324,-7.324,-96.191,-126.465
1678024808.895,-39.551,-11.719,-7.812,-69.824,-187.988
