timestamps,TP9,AF7,AF8,TP10,Right AUX
1678024450.003,-49.805,-33.203,-26.367,-72.754,105.469
1678024450.007,-52.246,-36.133,-31.250,14.160,349.121
1678024450.011,-43.457,-34.180,-27.344,38.086,31.250
1678024450.015,-36.133,-29.785,-24.902,-27.832,-153.320
1678024450.019,-24.414,-26.367,-25.879,-90.820,-142.578
1678024450.023,-30.762,-31.250,-24.902,-60.547,-114.258
1678024450.027,-49.805,-33.691,-25.391,2.930,-140.137
1678024450.030,-42.969,-33.691,-32.227,20.996,-55.176
1678024450.034,-37.109,-33.203,-38.574,-23.926,157.715
1678024450.038,-38.574,-31.250,-31.738,-105.957,44.922
1678024450.042,-42.480,-35.156,-32.715,-107.422,-166.016
1678024450.046,-50.293,-34.668,-34.180,-20.020,-66.406
1678024450.046,-43.945,-33.691,-27.832,45.410,-17.578
1678024450.050,-32.715,-32.227,-31.250,1.953,-161.621
1678024450.054,-26.367,-28.320,-31.738,-83.496,-208.008
1678024450.058,-27.832,-33.203,-27.832,-109.863,-199.707
1678024450.062,-41.016,-39.551,-34.180,-47.852,-62.988
1678024450.066,-44.434,-32.715,-37.598,25.391,54.199
1678024450.070,-33.203,-29.297,-29.785,-3.906,5.371
1678024450.073,-26.367,-33.203,-32.227,-93.262,97.656
1678024450.077,-32.227,-29.785,-36.133,-110.840,201.660
1678024450.081,-40.527,-33.203,-34.668,-41.504,-60.547
1678024450.085,-33.691,-37.109,-33.203,34.668,-116.211
1678024450.089,-18.555,-33.691,-30.273,25.879,-11.719
1678024450.094,-12.207,-31.738,-32.227,-59.570,-89.844
1678024450.098,-15.137,-40.039,-33.203,-106.445,-143.066
1678024450.102,-25.879,-41.504,-32.715,-48.828,-71.777
1678024450.106,-35.645,-36.133,-36.621,33.203,92.773
1678024450.110,-36.133,-35.645,-35.156,20.508,61.523
1678024450.114,-31.250,-40.527,-34.180,-69.824,-80.566
1678024450.118,-33.203,-39.551,-35.156,-121.094,-94.238
1678024450.121,-40.039,-36.133,-32.227,-67.383,79.102
1678024450.125,-38.086,-37.598,-32.227,14.160,-0.977
1678024450.129,-33.203,-38.086,-33.203,20.508,-134.277
1678024450.133,-26.367,-36.621,-34.180,-53.223,-107.910
1678024450.137,-20.996,-30.762,-29.785,-103.027,-127.930
1678024450.136,-19.043,-26.367,-28.809,-64.941,-190.918
1678024450.140,-25.879,-30.273,-30.273,14.160,-125.000
1678024450.144,-25.879,-28.809,-27.832,33.203,9.277
1678024450.148,-18.555,-29.785,-27.832,-39.062,-19.043
1678024450.152,-18.555,-31.738,-24.902,-96.191,-72.754
1678024450.156,-22.949,-31.250,-27.344,-58.105,-97.656
1678024450.160,-25.879,-29.785,-30.273,41.016,190.918
1678024450.163,-27.344,-29.297,-26.367,80.078,535.156
1678024450.167,-17.578,-27.344,-32.227,9.277,191.406
1678024450.171,-10.742,-29.785,-34.668,-63.477,-193.848
1678024450.175,-25.391,-33.691,-30.762,-52.734,-176.270
1678024450.179,-34.668,-30.273,-34.180,26.367,-95.703
1678024450.183,-37.109,-31.250,-35.645,61.523,-119.629
1678024450.187,-31.738,-29.297,-31.738,-2.930,-142.090
1678024450.191,-18.066,-20.996,-32.715,-83.496,-151.855
1678024450.195,-21.484,-23.438,-34.180,-85.938,-230.469
1678024450.199,-26.855,-24.414,-30.762,-9.766,-204.102
1678024450.203,-33.691,-27.344,-29.297,36.621,29.297
1678024450.207,-35.645,-33.691,-31.738,-1.953,168.945
1678024450.210,-27.832,-28.809,-32.715,-83.008,-10.742
1678024450.214,-29.297,-26.855,-35.645,-103.027,-177.734
1678024450.218,-37.109,-30.762,-34.668,-13.672,-69.824
1678024450.222,-38.086,-35.156,-32.227,62.988,184.082
1678024450.226,-39.062,-37.109,-30.273,22.949,1.465
1678024450.256,-34.180,-32.227,-24.902,-61.523,-208.496
1678024450.260,-29.297,-30.273,-24.902,-77.148,-145.020
1678024450.264,-37.109,-33.691,-26.855,-12.207,-67.871
1678024450.268,-39.551,-37.109,-28.320,57.129,-64.453
1678024450.272,-37.598,-33.203,-27.832,32.715,-87.402
1678024450.276,-39.062,-29.785,-21.973,-58.594,159.180
1678024450.280,-40.527,-30.762,-20.996,-82.520,214.844
1678024450.283,-40.039,-28.320,-25.879,-20.996,-101.562
1678024450.287,-31.250,-27.344,-30.762,38.574,-103.027
1678024450.291,-26.367,-31.250,-31.738,20.508,180.664
1678024450.295,-26.855,-32.715,-34.180,-64.941,131.836
1678024450.299,-21.484,-30.762,-35.156,-107.910,-212.891
1678024450.287,-21.973,-31.250,-33.203,-47.363,-194.824
1678024450.291,-27.344,-33.691,-33.691,34.180,-84.961
1678024450.295,-26.367,-31.250,-34.668,30.762,-60.059
1678024450.299,-15.137,-25.879,-33.203,-47.852,-138.184
1678024450.303,-11.230,-24.414,-32.715,-86.914,-131.836
1678024450.307,-26.367,-26.367,-34.180,-39.062,8.789
1678024450.311,-35.645,-28.809,-35.156,40.527,18.066
1678024450.314,-27.344,-30.762,-33.691,56.641,-28.320
1678024450.318,-26.855,-32.227,-32.715,-12.207,-7.812
1678024450.322,-37.598,-29.785,-35.645,-70.312,-58.594
1678024450.326,-38.086,-31.250,-37.598,-49.316,-121.582
1678024450.330,-36.133,-33.203,-38.574,25.879,-99.121
1678024450.331,-36.133,-33.203,-34.668,47.852,-14.160
1678024450.335,-34.668,-35.645,-36.133,-28.809,186.035
1678024450.339,-34.668,-39.062,-40.039,-98.633,-27.832
1678024450.343,-33.203,-37.109,-35.156,-57.129,-205.078
1678024450.347,-26.367,-29.297,-37.598,26.855,-87.402
1678024450.351,-26.367,-26.855,-39.551,41.504,61.035
1678024450.355,-37.598,-32.715,-33.691,-26.367,43.945
1678024450.358,-40.039,-34.668,-37.109,-78.613,-146.484
1678024450.362,-34.668,-29.297,-41.992,-50.781,47.852
1678024450.366,-40.527,-26.367,-41.992,17.578,254.395
1678024450.370,-42.480,-25.879,-36.133,52.734,-25.391
1678024450.374,-35.156,-23.438,-29.785,0.488,-180.664
1678024450.379,-32.715,-28.809,-34.180,-84.961,-105.469
1678024450.383,-39.551,-34.180,-34.668,-78.613,-126.465
1678024450.387,-47.852,-35.645,-35.156,2.441,-224.121
1678024450.391,-38.086,-37.109,-39.551,52.734,-130.371
1678024450.395,-29.297,-32.715,-38.574,14.648,-22.461
1678024450.399,-29.297,-28.320,-37.109,-68.359,-69.336
1678024450.403,-28.320,-24.414,-33.691,-84.473,-145.508
1678024450.406,-32.227,-29.785,-32.227,-11.230,-54.199
1678024450.410,-37.109,-34.668,-35.156,48.828,168.457
1678024450.414,-36.133,-29.297,-36.621,8.301,-4.883
1678024450.418,-25.879,-28.809,-39.062,-84.961,-215.332
1678024450.422,-19.043,-26.367,-34.668,-97.656,-220.703
1678024450.421,-24.902,-27.832,-29.785,-18.555,-131.836
1678024450.425,-32.227,-34.180,-31.250,47.363,-27.832
1678024450.429,-30.273,-31.250,-29.297,19.531,-86.426
1678024450.433,-25.391,-27.832,-30.273,-69.824,-79.102
1678024450.437,-25.879,-32.715,-37.598,-104.980,-32.715
1678024450.441,-33.691,-35.156,-41.504,-35.645,-5.859
1678024450.445,-38.574,-34.180,-41.992,39.062,32.227
1678024450.448,-35.156,-31.250,-38.574,31.250,179.199
1678024450.452,-29.297,-30.273,-38.086,-41.992,312.500
1678024450.456,-31.250,-31.738,-40.527,-92.773,-47.852
1678024450.460,-35.156,-30.762,-39.062,-43.457,-187.988
1678024450.464,-40.039,-33.203,-35.156,35.156,-5.371
1678024450.468,-35.156,-32.715,-30.273,34.668,-28.320
1678024450.472,-20.508,-27.832,-30.762,-43.457,-159.668
1678024450.476,-22.461,-29.297,-35.156,-87.402,-154.785
1678024450.480,-33.691,-34.180,-33.691,-54.688,-104.004
1678024450.484,-38.086,-37.598,-34.180,10.742,-65.918
1678024450.488,-34.180,-30.762,-33.203,38.574,-28.320
1678024450.492,-20.020,-25.879,-22.949,-20.996,46.387
1678024450.495,-25.391,-34.180,-21.973,-78.613,301.758
1678024450.499,-47.363,-35.645,-27.832,-63.965,119.629
1678024450.503,-52.734,-31.738,-31.250,0.977,-120.117
1678024450.507,-39.551,-29.297,-30.762,33.691,42.969
1678024450.511,-29.785,-26.855,-30.273,-35.645,26.367
1678024450.511,-32.715,-25.391,-32.227,-109.375,-143.555
1678024450.515,-41.992,-29.297,-33.203,-87.402,-207.520
1678024450.519,-47.852,-34.180,-37.109,-9.277,-114.258
1678024450.523,-43.457,-29.297,-38.086,31.738,-38.574
1678024450.527,-39.062,-26.367,-36.133,-27.344,-13.184
1678024450.531,-42.969,-25.879,-39.062,-115.234,-94.727
1678024450.535,-43.945,-25.879,-38.574,-103.027,52.734
1678024450.538,-49.316,-29.297,-34.668,-10.254,356.445
1678024450.542,-40.527,-25.391,-22.949,33.203,83.984
1678024450.546,-31.738,-18.555,-18.066,-19.531,-151.367
1678024450.550,-34.668,-28.809,-22.461,-113.281,-87.402
1678024450.554,-41.504,-32.227,-17.578,-128.418,-110.840
1678024450.558,-75.684,-26.367,-14.160,-66.895,-190.430
1678024450.562,-92.773,-25.391,-6.836,-20.020,-140.625
1678024450.566,-100.586,-27.344,0.000,-58.594,-60.547
1678024450.570,-115.234,-27.344,12.207,-153.809,-132.812
1678024450.574,-136.719,-25.391,13.184,-202.148,-209.961
1678024450.578,-180.664,-18.066,14.648,-160.156,-16.602
1678024450.582,-214.844,-8.301,29.785,-114.258,218.750
1678024450.585,-234.863,-16.113,32.715,-178.711,39.551
1678024450.589,-259.277,-9.766,27.832,-300.781,-169.922
1678024450.593,-292.480,-2.441,27.832,-347.168,-84.473
1678024450.597,-311.035,-6.348,32.715,-291.016,57.129
1678024450.601,-299.316,2.441,39.551,-218.262,-33.691
1678024450.616,-298.828,8.301,44.434,-230.469,-122.070
1678024450.620,-302.246,8.789,45.898,-312.012,-78.613
1678024450.624,-282.715,6.348,39.062,-343.262,-108.398
1678024450.628,-265.137,0.488,33.691,-281.250,-134.277
1678024450.632,-266.602,-2.441,33.691,-202.637,-33.203
1678024450.636,-256.836,-4.883,31.738,-190.430,242.188
1678024450.640,-234.375,-13.184,28.809,-252.930,340.820
1678024450.643,-215.820,-20.996,28.320,-295.898,-87.402
1678024450.647,-203.613,-22.949,20.020,-228.516,-242.676
