timestamps,TP9,AF7,AF8,TP10,Right AUX
1678023907.686,-58.594,-22.461,6.836,-8.789,-105.469
1678023907.690,-42.969,-26.855,0.000,-24.902,6.348
1678023907.694,45.898,-25.879,3.906,-22.949,-13.184
1678023907.698,71.777,-20.508,7.324,-27.344,-157.227
1678023907.702,7.812,-25.391,3.418,-49.805,-72.754
1678023907.706,-80.078,-33.203,0.977,-58.594,149.902
1678023907.710,-65.918,-33.203,-2.441,-67.383,145.996
1678023907.713,34.180,-29.785,2.441,-80.078,-105.957
1678023907.717,67.871,-25.879,2.441,-76.660,-77.148
1678023907.721,15.137,-30.273,-9.766,-83.008,67.383
1678023907.725,-61.523,-28.320,-10.742,-99.121,-42.969
1678023907.729,-68.848,-23.438,-4.395,-109.863,-131.836
1678023907.732,13.184,-25.879,-3.906,-113.770,-110.352
1678023907.736,59.570,-22.461,-7.324,-101.562,-91.309
1678023907.740,21.484,-24.414,-8.301,-102.051,-157.715
1678023907.744,-67.871,-29.785,-10.254,-118.652,-155.762
1678023907.748,-92.773,-32.227,-12.207,-117.676,-34.668
1678023907.752,-0.977,-31.738,-13.672,-110.840,65.430
1678023907.756,61.035,-29.785,-11.230,-109.375,-12.695
1678023907.759,27.832,-28.809,-14.160,-93.750,-13.184
1678023907.763,-54.688,-29.297,-6.348,-82.031,187.500
1678023907.767,-88.867,-30.762,-0.488,-68.848,230.469
1678023907.771,-1.465,-29.297,-5.859,-61.035,5.371
1678023907.775,72.754,-26.367,-6.348,-64.453,-81.055
1678023907.777,49.316,-23.438,-3.418,-67.383,64.941
1678023907.781,-22.461,-20.020,-0.488,-77.148,5.859
1678023907.785,-75.195,-25.879,-0.977,-89.355,-134.766
1678023907.789,-22.461,-34.668,-4.883,-108.398,-26.855
1678023907.793,43.945,-33.203,-7.812,-122.070,3.418
1678023907.797,28.320,-27.832,-7.324,-120.605,24.902
1678023907.801,-44.922,-30.762,-4.395,-125.977,41.016
1678023907.804,-95.215,-27.344,-0.488,-113.281,6.836
1678023907.808,-27.832,-23.926,-1.953,-98.633,201.660
1678023907.812,64.941,-25.879,0.977,-110.352,63.965
1678023907.816,62.012,-18.555,2.930,-112.793,-209.473
1678023907.820,-25.879,-13.184,6.348,-112.793,-61.523
1678023907.821,-101.562,-15.625,9.766,-110.840,-13.672
1678023907.825,-55.664,-18.066,7.324,-123.535,-174.805
1678023907.829,21.484,-21.484,0.488,-131.348,-147.949
1678023907.833,26.367,-25.391,-1.465,-113.770,-75.195
1678023907.837,-41.992,-13.672,-1.465,-126.953,-79.590
1678023907.841,-141.113,7.812,-1.953,-173.828,-34.180
1678023907.845,-137.207,16.113,7.812,-205.078,-38.086
1678023907.848,-83.984,14.160,6.836,-236.816,111.328
1678023907.852,-95.215,19.531,4.395,-263.184,162.109
1678023907.856,-181.152,29.297,6.836,-299.805,-150.391
1678023907.860,-281.738,37.109,7.812,-330.566,-176.270
1678023907.864,-295.410,37.598,-1.465,-360.840,109.863
1678023907.866,-219.238,37.598,-7.324,-376.465,66.895
1678023907.870,-198.730,39.551,-7.324,-379.883,-177.734
1678023907.874,-261.230,39.062,-13.672,-395.996,-133.789
1678023907.878,-333.984,38.574,-22.949,-390.625,-118.164
1678023907.882,-324.219,38.086,-22.949,-385.254,-187.012
1678023907.886,-217.285,37.109,-25.391,-377.441,-161.621
1678023907.890,-145.996,33.203,-28.320,-334.961,35.645
1678023907.893,-172.852,30.762,-27.344,-303.711,214.844
1678023907.897,-248.535,28.320,-35.156,-286.133,25.879
1678023907.901,-242.676,19.531,-43.945,-273.926,-211.426
1678023907.905,-145.508,10.254,-49.805,-274.902,-174.316
1678023907.909,-86.914,7.812,-52.734,-234.863,-143.555
1678023907.913,-99.121,3.906,-53.223,-179.688,-159.180
1678023907.917,-160.645,-2.930,-60.059,-150.879,-139.160
1678023907.921,-164.551,-0.488,-70.312,-119.629,57.617
1678023907.925,-59.570,-2.441,-70.801,-89.844,61.035
1678023907.929,15.137,-1.953,-68.359,-48.340,-71.777
1678023907.933,8.301,-1.953,-61.523,-9.277,-99.121
1678023907.937,-61.523,-9.766,-52.734,7.812,61.035
1678023907.940,-102.051,-14.160,-57.617,3.418,180.176
1678023907.944,-5.859,-13.672,-58.105,8.789,-137.695
1678023907.948,77.148,-6.836,-47.852,40.527,-197.754
1678023907.952,63.965,-11.719,-49.316,59.570,-89.355
1678023907.956,-6.836,-20.020,-55.176,57.617,-140.137
1678023907.956,-58.594,-18.555,-54.688,71.777,-205.566
1678023907.960,6.836,-17.090,-51.758,85.449,-181.152
1678023907.964,88.379,-19.531,-50.781,80.078,-143.555
1678023907.968,77.148,-21.973,-53.711,71.289,-185.059
1678023907.972,6.836,-23.438,-53.711,68.848,-193.359
1678023907.976,-42.480,-26.367,-51.758,77.637,-119.629
1678023907.980,6.348,-22.461,-46.875,88.867,300.781
1678023907.983,90.332,-21.484,-44.434,91.309,241.211
1678023907.987,94.238,-24.414,-40.527,83.984,-197.266
1678023907.991,19.531,-26.855,-32.227,82.031,-188.477
1678023907.995,-43.945,-27.832,-31.738,89.355,-150.391
1678023907.999,-3.906,-34.180,-40.039,74.707,-189.453
1678023908.018,84.961,-37.109,-43.945,64.941,-203.613
1678023908.022,99.609,-32.715,-37.598,84.961,-110.840
1678023908.026,13.672,-32.715,-34.668,88.379,-103.027
1678023908.030,-69.336,-33.691,-39.551,75.684,-178.223
1678023908.034,-37.598,-33.691,-44.434,55.664,-168.945
1678023908.038,62.012,-33.691,-40.039,50.781,-39.062
1678023908.042,90.820,-34.180,-35.156,64.453,-40.039
1678023908.045,33.203,-38.086,-40.527,58.594,-64.453
1678023908.049,-42.480,-39.551,-39.551,49.805,-115.723
1678023908.053,-24.414,-36.133,-35.156,47.363,-3.906
1678023908.057,58.594,-38.574,-37.109,35.645,202.148
1678023908.061,74.707,-34.180,-34.180,38.574,4.883
1678023908.061,29.297,-32.227,-29.297,43.457,-112.793
1678023908.065,-61.523,-31.738,-26.855,32.715,-49.316
1678023908.069,-71.289,-32.227,-24.902,26.855,-125.000
1678023908.073,35.156,-33.203,-25.879,31.738,-232.910
1678023908.077,85.938,-34.668,-21.973,49.805,-135.742
1678023908.081,32.715,-37.598,-18.066,50.781,83.984
1678023908.085,-51.270,-29.785,-18.066,42.969,-35.156
1678023908.088,-66.895,-29.297,-14.160,40.527,-191.406
1678023908.092,15.137,-32.227,-12.695,37.109,-59.570
1678023908.096,78.125,-24.414,-9.277,60.547,284.180
1678023908.100,59.570,-21.973,-4.883,67.383,186.523
1678023908.104,-16.602,-19.531,-1.953,53.223,-193.359
1678023908.106,-56.641,-14.648,-6.836,51.270,-206.055
1678023908.110,27.344,-13.672,-14.160,39.551,-149.414
1678023908.114,100.586,-17.578,-15.137,27.344,-223.145
1678023908.118,64.941,-21.484,-14.648,20.020,-214.355
1678023908.122,-27.832,-20.508,-16.113,8.301,-137.207
1678023908.126,-68.359,-18.066,-17.578,4.883,-118.652
1678023908.130,5.859,-14.648,-13.184,-0.488,-123.535
1678023908.133,74.707,-16.113,-9.277,-8.789,-140.137
1678023908.137,62.012,-20.508,-12.207,-5.371,73.730
1678023908.141,-19.043,-22.949,-13.184,-9.277,174.316
1678023908.145,-78.613,-20.996,-18.066,-15.137,-87.402
1678023908.149,-18.066,-21.484,-20.020,-17.578,-140.625
1678023908.151,62.988,-20.996,-15.625,-14.160,131.348
1678023908.155,53.711,-18.555,-21.484,-19.531,104.980
1678023908.159,-23.438,-24.414,-20.996,-34.668,-184.570
1678023908.163,-84.473,-26.367,-18.555,-35.156,-150.879
1678023908.167,-37.598,-25.879,-19.043,-33.691,-54.199
1678023908.171,41.016,-27.832,-22.949,-32.227,-42.969
1678023908.175,41.992,-32.227,-22.461,-29.785,-103.027
1678023908.178,-20.508,-34.668,-25.391,-39.551,-119.629
1678023908.182,-87.402,-32.715,-29.297,-39.551,11.230
1678023908.186,-61.523,-34.180,-23.438,-43.945,-77.637
1678023908.190,20.508,-30.762,-19.043,-36.133,-168.945
1678023908.194,33.691,-26.367,-21.973,-14.648,-5.371
1678023908.198,-21.484,-22.461,-20.996,-15.137,96.191
1678023908.202,-79.102,-26.855,-18.555,-15.625,-71.289
1678023908.206,-45.898,-32.227,-16.602,2.930,-201.172
1678023908.210,43.457,-21.973,-21.484,9.766,-94.727
1678023908.214,53.711,-14.648,-31.250,1.465,-33.691
1678023908.218,-4.883,-12.695,-34.180,-2.930,-77.148
