timestamps,TP9,AF7,AF8,TP10,Right AUX
1688814549.162,32.227,-50.293,-30.762,-22.461,-156.250
1688814549.166,5.859,-46.387,-23.438,-11.719,-178.711
1688814549.170,-6.348,-41.504,-25.391,-1.953,-150.391
1688814549.174,25.879,-40.527,-32.227,-41.992,-148.438
1688814549.178,59.570,-41.016,-29.297,-44.922,-88.867
1688814549.182,57.617,-43.457,-23.438,-27.344,-62.988
1688814549.186,29.785,-46.387,-30.273,-20.996,-20.020
1688814549.189,8.301,-45.410,-31.250,-7.324,266.602
1688814549.193,28.809,-42.480,-21.973,-31.738,301.270
1688814549.197,56.152,-40.039,-18.066,-44.434,-49.805
1688814549.201,67.383,-38.086,-16.602,-32.715,-157.227
1688814549.205,49.316,-42.480,-21.484,-28.320,-66.895
1688814549.222,8.301,-44.434,-28.320,-18.555,-75.684
1688814549.226,14.648,-42.480,-27.832,-47.363,-168.457
1688814549.230,47.852,-41.992,-23.926,-50.293,-138.184
1688814549.234,46.387,-44.922,-27.344,-25.879,-53.711
1688814549.238,22.461,-45.410,-33.691,-18.066,-102.539
1688814549.242,-6.348,-43.457,-32.227,-0.488,-21.484
1688814549.246,5.859,-45.898,-28.809,-28.320,109.375
1688814549.249,46.387,-41.992,-28.320,-43.457,257.812
1688814549.253,56.641,-41.016,-23.926,-28.320,121.582
1688814549.257,35.156,-45.410,-24.414,-29.785,-76.660
1688814549.261,-8.789,-48.828,-27.344,-19.043,66.406
1688814549.265,-20.508,-54.199,-30.273,-41.992,150.391
1688814549.252,12.695,-51.270,-36.133,-71.777,-144.531
1688814549.256,31.738,-48.340,-34.180,-54.199,-223.145
1688814549.260,20.508,-54.199,-35.156,-49.805,-97.168
1688814549.264,-14.648,-55.664,-38.086,-36.621,-130.371
1688814549.268,-21.484,-56.152,-37.109,-50.293,-163.574
1688814549.272,23.438,-52.246,-37.109,-77.148,-142.578
1688814549.276,48.828,-48.340,-36.133,-54.199,-84.961
1688814549.279,33.203,-46.875,-38.574,-46.875,-89.844
1688814549.283,-3.418,-43.457,-36.133,-33.691,-163.574
1688814549.287,-12.695,-46.387,-34.668,-38.574,-173.828
1688814549.291,26.367,-46.875,-34.668,-61.523,85.449
1688814549.295,44.434,-51.758,-40.039,-45.410,165.039
1688814549.297,33.691,-53.223,-40.527,-41.016,-140.625
1688814549.301,7.324,-45.410,-36.133,-20.508,-155.762
1688814549.305,-11.719,-44.922,-35.645,-17.090,-106.445
1688814549.309,6.836,-49.805,-40.527,-64.453,-167.480
1688814549.313,22.461,-53.711,-37.109,-63.477,-215.820
1688814549.317,16.602,-56.152,-35.645,-47.363,-60.547
1688814549.321,-10.254,-55.176,-40.527,-33.203,120.605
1688814549.324,-29.297,-51.270,-34.668,-24.902,103.027
1688814549.328,-2.441,-51.270,-37.598,-56.152,-50.781
1688814549.332,31.250,-50.781,-37.598,-50.781,-82.031
1688814549.336,24.902,-55.176,-33.203,-31.250,49.316
1688814549.340,-2.441,-56.152,-33.691,-23.926,-139.648
1688814549.343,-20.508,-54.199,-33.203,-15.137,-136.719
1688814549.347,-2.930,-65.430,-38.086,-46.875,-14.160
1688814549.351,26.367,-75.684,-44.922,-49.805,-57.617
1688814549.355,26.855,-76.172,-45.898,-33.691,-164.062
1688814549.359,-3.418,-81.055,-40.527,-23.438,-146.973
1688814549.363,-44.922,-83.496,-42.480,-5.371,75.684
1688814549.367,-35.645,-80.566,-46.875,-41.016,91.309
1688814549.370,-0.488,-79.102,-43.945,-55.664,-92.773
1688814549.374,-0.977,-77.637,-39.551,-37.109,-187.012
1688814549.378,-37.598,-80.078,-39.551,-13.184,37.598
1688814549.382,-80.078,-76.660,-36.133,7.324,130.859
1688814549.386,-88.379,-73.242,-39.062,-37.598,-150.879
1688814549.403,-65.430,-70.312,-41.504,-55.176,-115.723
1688814549.407,-60.547,-68.848,-36.133,-24.414,-41.992
1688814549.411,-81.543,-69.824,-35.645,-19.531,-45.410
1688814549.415,-112.793,-63.965,-36.621,-5.859,-102.539
1688814549.419,-116.211,-59.570,-38.574,-25.879,-104.980
1688814549.423,-79.590,-62.500,-40.039,-51.270,77.637
1688814549.427,-60.059,-65.430,-39.551,-34.668,7.812
1688814549.430,-82.031,-64.941,-38.574,-42.969,-96.680
1688814549.434,-119.141,-60.547,-41.504,-21.973,45.410
1688814549.438,-121.094,-58.105,-43.457,-15.625,283.691
1688814549.442,-93.262,-61.035,-42.480,-54.688,45.898
1688814549.446,-82.520,-61.523,-40.527,-49.805,-236.816
1688814549.447,-101.074,-58.594,-41.992,-30.273,-194.824
1688814549.451,-134.766,-62.012,-44.434,-13.672,-99.121
1688814549.455,-143.555,-60.059,-42.969,-19.531,-79.102
1688814549.459,-116.699,-54.199,-45.898,-49.316,-179.688
1688814549.463,-99.609,-58.105,-49.805,-39.551,-109.375
1688814549.467,-104.004,-58.594,-47.852,-35.156,15.137
1688814549.471,-122.559,-55.176,-44.922,-23.438,38.086
1688814549.474,-136.230,-58.594,-41.016,-18.066,-43.945
1688814549.478,-109.375,-59.570,-35.156,-47.852,22.949
1688814549.482,-77.637,-58.105,-34.668,-38.574,64.453
1688814549.486,-68.848,-61.523,-39.551,-25.879,-171.875
1688814549.490,-88.867,-61.035,-42.480,-22.949,-129.395
1688814549.492,-121.094,-62.500,-41.504,-19.043,-30.273
