timestamps,TP9,AF7,AF8,TP10,Right AUX
1688815239.257,-115.234,-24.414,-23.926,-56.641,-93.262
1688815239.261,-135.254,-27.344,-28.320,-48.828,-171.875
1688815239.265,-120.117,-25.879,-28.809,-63.965,-110.840
1688815239.269,-79.590,-22.461,-28.809,-62.012,24.902
1688815239.273,-63.965,-24.414,-26.367,-41.016,-2.930
1688815239.277,-78.125,-23.926,-23.926,-37.109,-18.555
1688815239.281,-103.027,-23.926,-28.320,-23.438,145.020
1688815239.284,-96.680,-29.785,-24.414,-38.574,107.422
1688815239.288,-72.266,-33.203,-24.414,-53.223,-144.043
1688815239.292,-62.988,-30.762,-27.344,-33.203,-175.781
1688815239.296,-74.707,-26.367,-22.461,-22.949,-83.008
1688815239.300,-106.934,-22.949,-21.973,-6.836,339.355
1688815239.303,-112.305,-22.949,-25.391,-31.250,380.371
1688815239.307,-94.238,-25.391,-25.391,-71.777,-68.359
1688815239.311,-87.891,-27.832,-23.438,-56.152,-102.539
1688815239.315,-95.215,-32.227,-25.391,-45.410,-68.848
1688815239.319,-118.652,-33.203,-31.250,-49.316,-55.176
1688815239.323,-118.652,-34.668,-31.250,-67.871,-42.480
1688815239.327,-82.520,-38.086,-24.414,-78.613,104.980
1688815239.330,-66.895,-33.691,-23.438,-55.664,264.160
1688815239.334,-90.332,-32.227,-24.414,-51.270,-45.410
1688815239.338,-126.953,-32.227,-23.438,-46.875,-169.434
1688815239.342,-135.254,-32.227,-22.461,-54.688,-62.500
1688815239.346,-108.398,-34.668,-16.602,-87.402,-109.375
1688815239.349,-99.121,-36.133,-15.625,-76.660,-186.523
1688815239.353,-104.004,-32.715,-15.137,-50.293,-214.355
1688815239.357,-127.441,-26.855,-14.160,-28.809,-153.809
1688815239.361,-137.695,-26.855,-15.137,-45.410,-85.449
1688815239.365,-107.910,-28.809,-17.090,-75.684,-163.574
1688815239.369,-92.285,-25.391,-17.090,-59.570,-115.234
1688815239.373,-106.445,-29.297,-20.508,-55.176,240.723
1688815239.376,-142.578,-31.250,-21.973,-53.223,208.496
1688815239.380,-167.480,-27.344,-21.484,-73.242,-115.723
1688815239.384,-138.672,-30.762,-23.926,-112.305,-168.457
1688815239.388,-107.422,-32.227,-21.484,-109.863,-97.656
1688815239.392,-113.770,-29.297,-18.066,-91.797,-14.648
1688815239.407,-139.160,-26.855,-20.020,-81.055,-2.441
1688815239.411,-154.785,-28.809,-27.344,-72.754,-12.207
1688815239.415,-121.582,-30.762,-29.785,-88.867,-54.688
1688815239.419,-89.844,-33.203,-31.738,-91.797,-128.418
1688815239.423,-90.332,-30.762,-27.344,-71.777,-184.570
1688815239.427,-110.840,-30.762,-24.414,-62.988,50.781
1688815239.431,-131.836,-34.668,-31.250,-51.270,427.246
1688815239.434,-105.469,-36.621,-33.691,-75.195,183.594
1688815239.438,-73.730,-36.133,-31.738,-85.449,-143.555
1688815239.442,-82.520,-32.715,-30.762,-62.988,-41.992
1688815239.446,-106.934,-32.227,-28.809,-55.664,5.371
1688815239.450,-132.812,-29.785,-26.855,-47.363,-84.473
1688815239.452,-132.324,-31.738,-31.738,-68.848,-122.559
1688815239.456,-108.398,-35.156,-32.715,-76.172,-125.488
1688815239.460,-104.004,-30.273,-34.180,-54.688,-147.949
1688815239.464,-118.652,-25.391,-36.133,-45.410,-234.375
1688815239.468,-132.812,-27.832,-34.180,-42.969,-140.137
1688815239.472,-117.676,-28.320,-32.715,-67.871,84.961
1688815239.476,-78.613,-31.250,-29.297,-80.078,17.578
1688815239.479,-80.566,-34.180,-30.762,-63.477,-130.859
1688815239.483,-105.957,-37.109,-30.762,-51.270,-124.512
1688815239.487,-125.000,-35.645,-32.227,-28.320,172.852
1688815239.491,-110.840,-30.762,-34.180,-38.574,171.875
1688815239.495,-72.266,-28.809,-26.367,-59.570,-27.832
1688815239.497,-51.270,-27.832,-25.391,-50.293,-53.223
1688815239.501,-58.594,-24.902,-30.762,-32.715,29.297
1688815239.505,-91.797,-23.438,-26.367,-23.926,13.672
1688815239.509,-94.238,-27.344,-25.391,-44.434,-68.359
1688815239.513,-56.152,-31.250,-27.344,-58.105,-132.812
1688815239.517,-30.273,-28.320,-28.809,-36.133,-83.984
1688815239.521,-23.926,-29.297,-29.297,-30.273,-33.691
1688815239.524,-33.691,-32.227,-27.832,-27.832,-93.262
1688815239.528,-41.504,-30.273,-32.227,-27.832,-13.184
1688815239.532,-13.184,-24.902,-31.738,-34.668,135.742
1688815239.536,14.648,-19.043,-26.367,-28.809,-91.309
1688815239.540,14.648,-19.043,-26.367,-20.020,-123.047
1688815239.542,-8.301,-18.066,-24.902,-0.977,35.156
1688815239.546,-33.691,-23.438,-22.949,-7.324,-9.766
1688815239.550,-27.344,-26.855,-24.902,-44.434,-158.203
