timestamps,TP9,AF7,AF8,TP10,Right AUX
1688815546.144,-22.949,-20.020,-31.738,-17.578,-187.012
1688815546.148,-53.711,-25.391,-28.809,-23.438,-90.820
1688815546.152,-44.922,-23.438,-27.832,-38.574,-72.266
1688815546.156,-19.043,-25.391,-28.320,-37.598,-136.230
1688815546.160,-23.926,-32.715,-32.715,-39.551,-124.023
1688815546.164,-55.176,-29.785,-32.715,-40.527,-51.758
1688815546.168,-79.590,-24.902,-30.273,-32.715,-49.805
1688815546.171,-68.359,-25.879,-31.250,-55.176,-7.324
1688815546.175,-41.504,-26.367,-35.645,-62.988,-49.316
1688815546.179,-27.344,-25.879,-34.180,-33.691,71.777
1688815546.183,-36.621,-27.832,-27.832,-27.832,79.102
1688815546.187,-62.988,-29.785,-25.879,-26.367,-94.727
1688815546.189,-55.664,-27.832,-26.367,-36.621,-65.430
1688815546.193,-30.273,-29.297,-27.832,-50.293,-81.543
1688815546.197,-17.578,-29.297,-29.297,-35.156,-90.332
1688815546.201,-26.855,-28.320,-26.855,-22.949,-121.094
1688815546.205,-58.105,-28.320,-26.855,-8.789,-60.059
1688815546.209,-59.570,-27.344,-26.855,-24.414,20.996
1688815546.213,-29.297,-28.809,-27.832,-45.410,-44.434
1688815546.216,-13.672,-25.879,-27.832,-37.109,-86.914
1688815546.220,-15.137,-20.996,-25.391,-29.785,83.008
1688815546.224,-41.016,-27.832,-24.902,-10.742,434.570
1688815546.228,-50.781,-34.180,-25.879,-21.973,181.641
1688815546.232,-21.484,-30.273,-27.832,-48.340,-227.051
1688815546.234,-11.230,-31.250,-33.203,-44.922,-167.480
1688815546.238,-14.160,-35.156,-36.621,-35.156,-76.660
1688815546.242,-26.855,-29.785,-31.738,-19.531,-158.203
1688815546.246,-49.805,-29.297,-34.668,-23.926,-197.754
1688815546.250,-34.668,-30.273,-34.180,-41.992,-157.227
1688815546.254,-21.973,-32.227,-30.762,-34.668,-92.773
1688815546.258,-29.785,-33.203,-28.809,-37.598,-64.941
1688815546.261,-45.898,-30.762,-31.250,-39.062,-29.297
1688815546.265,-59.570,-34.668,-32.227,-41.504,198.730
1688815546.269,-35.645,-33.691,-30.762,-61.035,95.215
1688815546.273,-17.578,-33.203,-34.668,-56.152,-153.809
1688815546.277,-21.973,-36.621,-35.645,-43.945,-32.227
1688815546.279,-40.039,-39.062,-36.133,-31.250,104.004
1688815546.283,-63.965,-37.109,-35.156,-36.621,-40.039
1688815546.287,-48.828,-34.668,-40.039,-62.988,-203.125
1688815546.291,-25.879,-32.227,-37.109,-49.316,-151.855
1688815546.295,-35.156,-33.691,-38.086,-34.180,-139.648
1688815546.299,-47.363,-33.203,-43.457,-27.832,-83.008
1688815546.303,-63.965,-35.156,-40.039,-27.344,26.367
1688815546.306,-60.059,-38.574,-40.039,-51.758,130.859
1688815546.310,-36.621,-39.062,-40.527,-51.270,225.098
1688815546.314,-28.809,-37.109,-38.086,-39.062,-33.691
1688815546.318,-42.969,-33.691,-35.645,-31.738,-141.602
1688815546.322,-61.035,-32.227,-32.227,-20.508,71.777
1688815546.340,-47.363,-29.297,-27.832,-42.480,49.805
1688815546.344,-29.785,-28.809,-28.809,-54.688,-96.191
1688815546.348,-30.273,-34.668,-31.738,-41.992,-136.230
1688815546.352,-53.223,-40.039,-33.691,-37.598,-16.602
1688815546.356,-85.449,-45.898,-37.109,-39.551,-0.977
1688815546.360,-75.684,-44.434,-34.668,-63.965,-185.059
1688815546.364,-46.387,-35.645,-28.320,-72.754,-105.957
1688815546.367,-42.969,-34.180,-26.855,-58.105,153.320
1688815546.371,-52.246,-35.645,-29.297,-56.641,51.270
