timestamps,TP9,AF7,AF8,TP10,Right AUX
1688813963.828,-210.938,-27.832,-33.691,15.625,184.082
1688813963.832,-62.988,-25.879,-29.785,-38.086,149.414
1688813963.836,87.891,-23.438,-31.738,-82.031,29.785
1688813963.840,65.918,-25.879,-35.645,-75.684,-115.723
1688813963.844,-51.758,-29.785,-34.668,-29.297,21.973
1688813963.848,-205.078,-30.273,-28.809,36.133,208.496
1688813963.852,-84.473,-26.855,-25.391,-13.672,102.051
1688813963.855,92.773,-24.902,-30.273,-83.496,-41.016
1688813963.859,87.402,-28.809,-28.809,-65.918,-69.824
1688813963.863,-13.184,-31.738,-21.973,-6.836,190.430
1688813963.867,-178.711,-31.250,-28.320,50.781,211.914
1688813963.871,-109.375,-33.691,-34.668,-0.488,13.184
1688813963.873,84.961,-32.715,-31.738,-65.918,-80.566
1688813963.877,96.191,-30.273,-30.273,-56.641,-163.574
1688813963.881,1.465,-30.762,-29.785,-19.043,-123.047
1688813963.885,-166.992,-33.203,-30.273,43.945,37.598
1688813963.889,-131.836,-37.598,-32.715,14.160,101.074
1688813963.893,70.312,-33.203,-26.367,-51.270,23.926
1688813963.897,101.562,-28.809,-26.367,-42.969,-3.418
1688813963.900,12.695,-31.738,-29.297,-19.043,-1.953
1688813963.904,-164.062,-31.250,-25.391,51.758,209.961
1688813963.908,-144.043,-21.973,-26.367,59.570,421.875
1688813963.912,61.523,-18.066,-28.809,-37.109,25.391
1688813963.916,110.840,-18.555,-23.926,-54.199,-83.984
1688813963.918,45.410,-13.672,-17.578,-10.254,136.719
1688813963.922,-128.906,-15.137,-15.137,49.805,56.641
1688813963.926,-158.691,-10.742,-11.719,44.922,-9.277
1688813963.930,40.039,-11.230,-11.230,-35.156,-29.785
1688813963.934,101.562,-17.090,-18.555,-60.547,-127.441
1688813963.938,40.527,-14.648,-26.367,-40.039,14.648
1688813963.942,-113.770,-18.555,-24.902,27.344,110.352
1688813963.945,-182.617,-21.973,-24.414,38.574,142.578
1688813963.949,0.977,-21.973,-33.691,-46.387,245.117
1688813963.953,100.586,-22.461,-42.969,-78.613,149.414
1688813963.957,53.223,-21.484,-43.457,-58.594,-76.172
1688813963.961,-104.492,-31.738,-43.945,2.930,16.602
1688813963.963,-202.148,-38.574,-49.316,34.668,259.277
1688813963.967,-36.621,-39.062,-48.828,-41.016,46.875
1688813963.971,83.496,-37.109,-44.922,-69.336,-57.129
1688813963.975,60.059,-32.715,-40.527,-47.852,-33.691
1688813963.979,-83.008,-33.691,-41.016,-4.883,-2.441
1688813963.983,-220.703,-37.109,-41.992,24.414,23.438
1688813963.987,-67.871,-38.574,-39.062,-45.898,-30.762
1688813963.990,77.148,-38.574,-36.133,-87.402,109.863
1688813963.994,46.875,-39.551,-32.227,-72.266,185.059
1688813963.998,-75.195,-31.738,-27.344,-23.926,-3.906
1688813964.002,-197.754,-29.297,-19.531,30.273,41.504
1688813964.006,-60.547,-31.250,-16.602,-24.414,52.734
1688813964.009,93.750,-31.738,-20.508,-75.684,-20.508
1688813964.013,77.148,-28.809,-25.879,-63.965,-82.031
1688813964.017,-37.109,-25.879,-21.973,-22.461,-27.344
1688813964.021,-183.105,-21.484,-14.648,38.574,286.133
1688813964.025,-82.520,-18.066,-14.648,-4.395,194.336
1688813964.029,93.262,-22.461,-17.090,-71.777,-75.684
1688813964.033,85.449,-30.273,-28.809,-65.430,51.270
1688813964.036,-21.973,-33.203,-35.156,-19.043,262.695
1688813964.040,-180.176,-31.250,-25.879,41.016,156.738
1688813964.044,-117.676,-29.785,-26.855,2.930,-8.301
1688813964.048,74.219,-29.785,-32.715,-65.430,-51.270
1688813964.052,98.145,-32.715,-30.762,-61.035,-83.008
1688813964.054,-7.324,-37.598,-31.738,-36.133,-48.828
1688813964.058,-185.059,-41.016,-40.039,14.160,16.113
1688813964.062,-138.184,-35.645,-37.598,0.977,73.242
1688813964.066,69.336,-28.809,-28.809,-64.453,4.395
1688813964.070,104.492,-28.320,-31.250,-73.242,-47.852
1688813964.074,20.508,-32.227,-39.062,-48.828,49.316
1688813964.078,-146.484,-33.691,-33.203,24.414,343.750
1688813964.081,-157.227,-30.762,-27.832,26.367,446.289
1688813964.085,41.504,-28.809,-35.156,-62.988,60.059
1688813964.089,107.910,-31.250,-33.691,-71.777,-66.895
1688813964.093,46.875,-29.785,-26.367,-43.457,-6.836
1688813964.097,-128.906,-31.250,-29.785,8.301,90.820
1688813964.098,-175.293,-31.250,-39.551,15.625,66.406
1688813964.102,27.832,-29.785,-42.969,-59.082,-39.062
1688813964.106,100.586,-34.180,-39.551,-74.707,54.199
1688813964.110,44.434,-34.668,-40.039,-48.828,-59.082
1688813964.114,-104.980,-31.250,-38.086,16.113,24.414
1688813964.118,-186.523,-26.367,-40.527,40.527,242.188
1688813964.122,-3.906,-24.414,-49.316,-33.203,346.680
1688813964.125,98.145,-27.344,-55.664,-72.754,168.457
1688813964.129,49.805,-30.762,-58.594,-62.012,-122.559
1688813964.133,-92.773,-34.180,-58.105,-8.301,-47.363
1688813964.137,-204.590,-37.109,-56.152,21.973,41.016
1688813964.141,-35.156,-31.738,-55.176,-42.969,-65.918
1688813964.158,106.934,-31.250,-53.711,-79.590,-170.410
1688813964.162,69.824,-33.203,-48.340,-59.082,-49.316
1688813964.166,-81.055,-37.598,-55.176,-13.184,10.254
1688813964.170,-219.727,-45.898,-59.082,23.438,-12.207
1688813964.174,-71.777,-48.828,-58.594,-39.551,-65.430
1688813964.178,81.543,-46.875,-60.547,-84.961,-20.508
1688813964.182,58.105,-41.504,-58.594,-66.895,58.105
1688813964.185,-63.965,-43.945,-63.965,-25.879,-0.977
1688813964.189,-212.402,-47.363,-64.941,17.578,-24.414
1688813964.193,-98.633,-45.898,-57.617,-22.461,154.297
1688813964.197,75.195,-40.527,-56.641,-69.824,141.113
1688813964.201,64.941,-40.527,-58.105,-77.637,-125.488
1688813964.203,-57.129,-44.922,-59.082,-37.598,-48.340
1688813964.207,-212.891,-48.828,-61.035,30.273,162.598
1688813964.211,-124.023,-49.805,-59.082,-24.414,126.465
1688813964.215,62.012,-47.363,-57.129,-91.797,-82.031
1688813964.219,73.242,-45.898,-51.758,-73.730,-78.613
1688813964.223,-24.902,-44.922,-44.922,-35.156,70.312
1688813964.227,-196.289,-46.387,-41.504,26.367,114.746
1688813964.230,-137.207,-45.898,-37.109,-3.906,-3.418
1688813964.234,63.965,-48.340,-40.039,-80.566,50.781
1688813964.238,79.590,-49.316,-42.480,-73.730,359.375
1688813964.242,-14.648,-46.387,-41.016,-41.992,179.688
1688813964.246,-183.594,-44.434,-40.527,14.160,-28.809
1688813964.248,-166.992,-42.480,-36.133,2.441,88.379
1688813964.252,31.250,-37.598,-38.086,-72.754,41.504
1688813964.256,85.449,-31.250,-45.898,-81.055,-77.148
1688813964.260,16.602,-32.227,-41.016,-44.434,-39.062
1688813964.264,-157.715,-32.715,-30.762,23.926,73.242
1688813964.268,-175.293,-28.320,-29.785,17.090,163.574
1688813964.272,33.203,-25.879,-29.297,-58.105,82.520
1688813964.275,97.168,-24.902,-24.902,-75.195,-18.555
1688813964.279,24.902,-27.344,-26.855,-50.293,184.570
1688813964.283,-144.531,-31.738,-30.273,4.883,272.461
1688813964.287,-196.777,-22.949,-27.344,8.789,10.742
1688813964.291,3.418,-12.207,-25.391,-58.105,-52.734
1688813964.293,97.168,-13.672,-26.367,-65.430,66.895
1688813964.297,50.293,-14.648,-20.508,-37.109,23.926
1688813964.301,-103.027,-12.695,-17.578,10.742,35.156
1688813964.305,-190.430,-17.090,-17.090,34.668,142.090
1688813964.309,-2.441,-19.531,-20.996,-29.785,123.047
1688813964.313,106.445,-18.066,-25.391,-61.523,36.621
1688813964.317,61.523,-19.043,-25.391,-40.527,-10.742
1688813964.320,-82.031,-22.949,-22.949,12.695,74.707
1688813964.324,-198.242,-25.879,-20.996,55.664,312.988
1688813964.328,-39.551,-23.926,-27.832,-26.367,97.168
1688813964.332,99.609,-25.391,-27.344,-83.008,-157.715
1688813964.336,77.148,-24.414,-20.508,-57.617,-112.793
1688813964.339,-57.617,-25.391,-20.020,-9.277,-12.207
1688813964.343,-198.242,-29.785,-23.926,33.203,73.730
1688813964.347,-53.711,-21.973,-19.531,-14.648,-80.566
1688813964.351,112.305,-14.160,-11.230,-48.828,-48.828
1688813964.355,92.285,-10.742,-9.277,-43.457,-22.461
1688813964.359,-36.133,-12.695,-12.207,-8.789,-93.750
1688813964.363,-187.012,-13.184,-11.719,46.387,48.828
1688813964.366,-62.988,-8.789,-7.812,6.836,258.301
1688813964.370,114.258,-1.465,-8.789,-51.270,231.934
1688813964.374,110.352,2.930,-3.418,-47.363,-50.293
1688813964.378,0.488,-0.977,-1.953,5.859,-42.969
1688813964.382,-173.340,-7.324,-4.395,65.430,137.207
1688813964.383,-93.262,-1.953,-3.906,23.438,53.223
1688813964.387,106.445,6.348,-2.441,-46.387,-127.930
1688813964.391,116.211,2.930,-3.418,-41.016,-105.957
1688813964.395,15.137,2.930,-4.395,-0.488,58.105
1688813964.399,-155.762,8.301,1.953,59.570,115.723
1688813964.403,-107.910,18.555,7.324,35.645,101.074
1688813964.407,98.633,27.344,11.719,-31.738,128.906
1688813964.410,130.371,23.926,16.113,-24.902,247.559
1688813964.414,56.641,22.949,16.602,6.348,168.457
1688813964.418,-112.305,21.973,17.090,59.082,30.762
1688813964.422,-115.723,17.090,20.020,52.246,72.266
1688813964.426,86.914,15.137,20.020,-20.996,-45.898
1688813964.429,137.207,10.254,20.020,-35.645,-135.742
1688813964.433,55.176,9.766,16.113,-4.883,-76.660
1688813964.437,-114.746,15.625,14.160,68.359,79.102
1688813964.441,-144.531,14.648,17.578,63.965,62.012
1688813964.445,51.270,6.348,11.719,-20.508,-35.156
1688813964.449,124.023,0.488,7.324,-37.598,7.812
1688813964.453,68.359,0.977,14.160,-9.766,173.828
1688813964.456,-90.332,1.953,19.531,56.152,308.105
1688813964.460,-161.621,8.301,20.996,83.496,77.148
1688813964.464,24.902,11.719,23.438,9.766,-141.113
1688813964.468,123.047,8.789,19.531,-27.344,-78.613
1688813964.472,77.637,4.395,11.230,-11.719,-39.062
1688813964.473,-71.777,6.836,10.742,46.875,-60.547
1688813964.477,-168.457,10.254,14.648,66.895,42.480
1688813964.481,12.207,2.930,14.160,-13.672,90.820
1688813964.485,133.301,2.441,5.371,-44.434,-35.156
1688813964.489,85.938,-0.488,4.395,-21.484,-113.281
1688813964.493,-56.152,-6.348,4.883,30.273,55.664
1688813964.497,-173.828,-5.371,2.930,83.496,458.008
1688813964.500,-15.137,4.883,9.277,23.438,306.641
1688813964.504,128.418,5.371,6.348,-41.992,-101.074
1688813964.508,102.051,0.488,0.488,-22.461,26.855
1688813964.512,-25.391,0.977,0.488,28.809,106.445
1688813964.516,-169.922,-3.906,2.930,63.477,-10.742
1688813964.533,-49.316,0.977,10.742,2.930,-82.520
1688813964.537,112.305,8.789,11.719,-49.805,-139.160
1688813964.541,102.539,6.348,5.859,-30.273,-120.605
1688813964.545,-21.484,1.953,8.301,33.691,-59.082
1688813964.549,-155.273,0.488,8.789,74.219,40.039
1688813964.553,-34.180,0.000,0.977,3.418,73.730
1688813964.557,114.746,-1.953,-1.465,-40.527,-16.602
1688813964.560,106.934,0.000,-2.441,-36.621,-49.316
1688813964.564,9.277,2.930,-8.789,1.465,-51.270
1688813964.568,-168.945,-3.906,-13.184,64.941,232.422
1688813964.572,-104.004,-3.418,-10.742,20.020,255.371
1688813964.576,98.145,-2.441,-11.230,-54.199,-28.809
1688813964.578,109.375,-4.883,-18.066,-57.617,-99.121
1688813964.582,12.695,-0.488,-14.160,-6.348,133.301
1688813964.586,-163.574,-0.977,-4.883,66.895,238.770
1688813964.590,-132.812,-1.953,-3.906,27.344,-8.789
1688813964.594,60.547,-2.441,-1.953,-55.664,-60.547
1688813964.598,92.773,-1.465,-4.883,-73.242,86.914
1688813964.602,25.391,-0.488,-0.488,-48.340,138.184
1688813964.605,-163.086,-5.859,8.301,19.531,67.871
1688813964.609,-188.477,-10.742,9.766,16.113,116.699
1688813964.613,26.855,-9.277,8.789,-53.711,222.168
1688813964.617,109.863,-1.465,4.395,-63.477,25.879
1688813964.621,53.223,-3.418,-2.441,-29.785,-94.238
1688813964.623,-122.070,-11.230,3.418,37.109,92.773
1688813964.627,-174.805,-3.906,18.555,63.477,187.012
1688813964.631,47.852,1.953,16.602,-12.695,62.500
1688813964.635,162.598,-4.395,16.113,-27.344,-69.336
1688813964.639,97.656,-2.930,17.578,4.883,42.480
1688813964.643,-70.801,-1.465,13.184,65.918,254.395
1688813964.647,-130.859,-1.953,4.395,91.797,227.539
1688813964.650,49.316,-7.812,0.000,18.066,-43.945
1688813964.654,154.297,-9.766,7.324,-16.113,39.062
1688813964.658,123.047,0.000,1.953,-1.953,203.613
1688813964.662,-41.992,-1.953,-3.418,57.129,6.836
1688813964.666,-151.855,-12.207,-8.789,75.195,113.281
1688813964.668,21.484,-12.695,-6.348,11.230,280.762
1688813964.672,142.578,-11.719,-1.465,-16.602,103.516
1688813964.676,111.816,-14.648,-7.324,-19.531,-51.758
1688813964.680,-21.973,-18.066,-13.184,31.250,121.582
1688813964.684,-168.457,-23.926,-15.625,91.797,276.855
1688813964.688,-21.973,-20.508,-19.531,20.508,183.105
1688813964.692,145.020,-20.996,-22.949,-45.898,-11.230
1688813964.695,129.395,-22.461,-26.367,-26.855,-76.172
1688813964.699,4.395,-24.414,-29.297,37.109,178.223
1688813964.703,-161.133,-24.414,-28.809,79.102,177.734
1688813964.707,-59.082,-16.113,-20.508,28.320,-72.266
1688813964.711,111.328,-10.254,-9.766,-24.414,-72.266
1688813964.713,97.656,-13.184,-13.184,-41.016,-93.750
1688813964.717,-17.578,-19.043,-20.996,-11.230,-128.906
1688813964.721,-167.969,-17.090,-21.484,50.781,-55.664
1688813964.725,-72.754,-13.672,-18.555,0.000,-73.242
1688813964.729,118.652,-11.719,-20.508,-55.664,-155.762
1688813964.733,134.277,-7.812,-20.020,-31.738,-142.578
1688813964.737,18.555,-13.184,-20.020,-8.301,-91.797
1688813964.740,-184.082,-23.438,-16.602,48.340,254.395
1688813964.744,-124.512,-22.461,-17.578,23.438,397.949
1688813964.748,82.520,-23.926,-28.320,-64.941,-21.484
1688813964.752,85.938,-27.344,-26.855,-63.965,-121.582
1688813964.756,-12.695,-30.273,-26.855,-29.297,-39.551
1688813964.758,-187.988,-34.180,-28.809,30.762,-0.488
1688813964.762,-141.113,-35.645,-28.320,24.902,-36.133
1688813964.766,64.453,-34.180,-29.297,-66.895,-110.840
1688813964.770,76.172,-31.250,-29.297,-88.379,38.086
1688813964.774,12.207,-28.809,-24.414,-32.715,77.637
1688813964.778,-144.531,-27.832,-19.531,41.992,46.875
1688813964.782,-157.227,-28.809,-21.484,23.926,147.949
1688813964.785,46.875,-23.926,-22.461,-46.875,239.258
1688813964.789,133.789,-17.578,-27.344,-76.172,111.816
1688813964.793,68.848,-18.555,-21.973,-41.992,-82.031
1688813964.797,-110.840,-16.602,-18.066,37.598,113.281
1688813964.801,-147.949,-8.789,-17.578,41.504,222.168
1688813964.803,30.273,-5.859,-16.113,-29.785,-53.711
1688813964.807,100.098,-4.883,-14.648,-27.344,-87.891
1688813964.811,78.125,-0.977,-14.648,0.000,-52.246
1688813964.815,-62.500,-0.977,-8.789,32.715,21.484
1688813964.819,-155.762,-3.418,-3.418,53.223,122.559
1688813964.823,26.367,-2.930,-3.418,-30.273,64.941
1688813964.827,120.117,-8.789,-6.836,-53.223,204.102
1688813964.830,59.570,-15.137,-12.695,-9.277,214.355
1688813964.834,-84.473,-12.695,-1.953,23.438,11.230
1688813964.838,-182.617,-11.719,-4.883,27.832,39.062
1688813964.842,-21.484,-13.184,-15.625,-42.480,70.312
1688813964.846,107.910,-15.625,-12.207,-62.500,60.547
1688813964.848,96.191,-11.719,-12.695,-42.480,-14.160
1688813964.852,-27.344,-16.602,-18.066,-10.742,-81.543
1688813964.856,-189.453,-24.902,-24.414,41.016,160.645
1688813964.860,-75.684,-22.461,-16.113,8.301,148.926
1688813964.864,104.980,-13.672,-9.766,-50.293,-151.367
