timestamps,TP9,AF7,AF8,TP10,Right AUX
1688816257.764,-13.184,-27.832,-19.531,-51.270,-101.562
1688816257.768,-168.457,-35.156,-20.996,30.762,189.941
1688816257.772,-127.930,-35.156,-21.484,1.953,55.176
1688816257.776,42.480,-38.574,-16.113,-97.168,-194.824
1688816257.780,64.941,-41.504,-15.625,-102.051,-169.434
1688816257.784,1.465,-42.480,-18.555,-59.082,-59.082
1688816257.788,-149.902,-40.039,-20.996,21.484,4.883
1688816257.791,-138.672,-37.109,-22.949,15.137,-72.754
1688816257.795,40.527,-41.016,-22.949,-77.637,-21.973
1688816257.799,69.336,-46.875,-22.949,-94.727,26.855
1688816257.803,11.719,-44.922,-17.578,-62.988,-83.984
1688816257.807,-135.254,-40.039,-19.531,22.949,-56.152
1688816257.810,-120.605,-40.527,-29.297,14.160,92.285
1688816257.814,-172.363,-39.551,-30.273,41.016,102.539
1688816257.818,3.906,-35.156,-28.320,-58.594,-5.859
1688816257.821,88.379,-30.762,-31.738,-95.215,-187.012
1688816257.825,57.617,-34.668,-38.086,-62.500,-97.656
1688816257.829,-88.379,-40.527,-37.598,21.973,193.848
1688816257.833,-178.711,-36.133,-43.945,57.129,45.898
1688816257.837,-19.043,-34.180,-42.480,-47.852,-208.984
1688816257.839,84.473,-31.738,-36.621,-95.215,-13.672
1688816257.843,65.918,-25.391,-41.504,-73.242,89.355
1688816257.847,-67.383,-24.902,-44.922,-11.719,-130.859
1688816257.851,-193.848,-26.855,-40.527,53.711,-34.668
1688816257.855,-46.875,-19.043,-35.645,-28.320,-76.660
1688816257.859,91.797,-18.066,-28.809,-91.309,-134.766
1688816257.863,65.918,-22.461,-31.250,-77.148,-108.398
1688816257.866,-62.500,-27.344,-32.227,-15.137,-89.844
1688816257.870,-198.730,-31.250,-27.832,68.359,302.734
1688816257.874,-87.891,-21.973,-30.762,3.418,197.266
1688816257.878,61.035,-21.484,-29.785,-84.961,-248.535
1688816257.882,59.082,-23.926,-26.367,-83.008,-173.828
1688816257.884,-51.758,-20.020,-25.879,-25.391,-98.145
1688816257.888,-203.125,-22.949,-30.273,51.758,-62.500
1688816257.892,-111.328,-25.879,-29.297,1.953,-84.961
1688816257.896,54.688,-28.809,-27.344,-75.195,34.668
1688816257.900,59.082,-29.785,-26.855,-75.684,7.812
1688816257.904,-33.203,-31.738,-25.391,-32.715,-112.793
1688816257.908,-180.664,-35.156,-30.273,41.992,-5.371
1688816257.911,-119.141,-37.598,-35.156,12.695,77.637
1688816257.915,41.992,-31.738,-34.180,-76.172,186.035
1688816257.919,50.293,-27.344,-35.156,-98.633,-68.359
1688816257.923,-25.879,-32.227,-35.156,-58.594,-182.129
1688816257.927,-175.293,-33.691,-32.227,32.715,-16.602
1688816257.932,-148.926,-31.250,-35.156,13.184,-6.836
1688816257.936,28.809,-26.855,-31.250,-76.660,-201.660
1688816257.940,66.895,-29.785,-32.715,-90.820,-234.863
