timestamps,TP9,AF7,AF8,TP10,Right AUX
1688816515.422,25.879,-39.551,-43.945,-57.129,-165.527
1688816515.426,34.668,-40.039,-43.457,-14.648,-121.094
1688816515.430,-61.035,-43.457,-39.062,-31.738,-105.957
1688816515.434,-211.426,-43.457,-38.574,-72.266,-77.637
1688816515.438,-151.855,-38.574,-35.645,-118.164,-110.840
1688816515.442,23.438,-40.527,-29.785,-68.359,-104.980
1688816515.446,53.711,-42.480,-35.156,-5.371,21.484
1688816515.449,-26.367,-43.945,-32.227,0.488,183.594
1688816515.453,-199.707,-43.457,-24.902,-54.199,97.656
1688816515.457,-190.430,-39.551,-25.879,-128.906,-154.297
1688816515.461,-14.648,-50.293,-23.438,-88.867,-122.559
1688816515.465,30.273,-59.082,-16.113,-20.020,-2.441
1688816515.467,-32.715,-58.594,-8.301,-7.324,-65.430
1688816515.471,-197.266,-64.941,-4.395,-42.969,-120.117
1688816515.475,-212.891,-68.359,1.465,-109.375,-104.492
1688816515.479,-34.180,-72.266,8.301,-74.707,-92.285
1688816515.483,15.625,-78.613,6.348,-14.160,-94.238
1688816515.487,-51.270,-82.031,6.836,-19.043,-45.410
1688816515.491,-207.031,-82.520,18.066,-48.340,226.074
1688816515.494,-248.047,-83.984,22.949,-99.609,326.172
1688816515.498,-82.031,-78.125,23.926,-87.891,-14.648
1688816515.502,0.977,-78.125,23.926,-23.926,-129.883
1688816515.506,-37.598,-84.473,29.785,-17.578,101.562
1688816515.510,-181.641,-81.055,37.109,-48.828,175.781
1688816515.511,-238.281,-75.684,39.551,-102.051,-95.215
1688816515.515,-69.824,-79.102,41.992,-92.773,-194.336
1688816515.519,12.207,-82.520,41.016,-7.812,-125.977
1688816515.523,-22.949,-75.195,45.410,6.836,-64.941
1688816515.527,-148.438,-70.312,50.293,-27.832,-93.750
1688816515.531,-247.559,-68.359,50.781,-82.520,-102.051
1688816515.535,-103.027,-66.895,46.387,-84.961,14.160
1688816515.538,28.320,-66.406,41.504,-18.066,20.996
1688816515.542,21.973,-64.453,41.504,12.207,-166.992
1688816515.546,-110.840,-70.801,38.574,-1.953,-127.441
1688816515.550,-238.770,-72.754,36.133,-67.383,-70.312
1688816515.554,-117.676,-64.941,41.016,-96.191,-157.715
1688816515.571,12.695,-66.406,37.598,-34.180,-108.398
1688816515.575,9.766,-70.312,28.320,-2.441,-1.953
1688816515.579,-94.727,-66.895,25.391,-17.090,67.871
1688816515.583,-231.934,-63.965,24.902,-76.660,-125.977
1688816515.587,-125.000,-66.895,26.367,-94.238,-171.875
1688816515.591,34.180,-64.453,26.855,-10.742,122.559
1688816515.595,34.668,-62.012,22.949,19.531,188.965
1688816515.598,-70.801,-58.105,16.602,6.836,46.387
1688816515.602,-212.402,-51.270,14.648,-36.621,-86.914
1688816515.606,-135.742,-54.688,11.719,-77.148,12.207
1688816515.610,19.531,-53.711,6.836,-17.090,172.363
1688816515.614,52.246,-53.711,-0.977,27.832,-73.730
1688816515.617,-28.320,-54.199,-5.859,13.672,-150.879
1688816515.621,-204.590,-48.828,-9.766,-38.574,-174.805
1688816515.625,-156.250,-40.039,-11.719,-74.707,-208.984
1688816515.629,20.996,-35.156,-12.207,-8.301,-110.352
1688816515.633,62.012,-37.109,-18.555,40.527,-35.645
1688816515.637,-10.254,-35.645,-21.484,32.227,131.348
1688816515.641,-184.082,-34.668,-20.996,9.766,124.512
1688816515.644,-158.691,-27.832,-19.531,-59.082,-160.645
1688816515.648,27.832,-28.809,-19.043,-39.062,-140.625
1688816515.652,80.078,-36.133,-16.602,37.109,173.340
1688816515.656,15.137,-37.598,-17.578,32.715,5.371
1688816515.660,-139.648,-34.668,-23.926,-9.766,-197.754
1688816515.662,-147.949,-39.062,-26.367,-70.312,-78.125
1688816515.666,27.344,-42.480,-30.273,-44.434,-58.594
1688816515.670,93.262,-37.109,-33.203,29.297,-81.055
1688816515.674,41.016,-40.039,-34.180,40.527,-32.715
1688816515.678,-99.609,-42.969,-32.715,-4.883,10.742
1688816515.682,-129.395,-31.738,-32.715,-71.289,-27.344
1688816515.686,27.344,-28.809,-35.645,-55.176,-18.555
1688816515.689,96.191,-36.621,-38.086,6.836,-7.324
1688816515.693,48.828,-39.551,-39.551,29.785,161.133
1688816515.697,-96.191,-41.992,-40.039,3.906,343.750
1688816515.701,-166.504,-40.527,-42.969,-64.941,10.254
1688816515.705,-16.602,-38.086,-42.480,-73.242,-201.172
1688816515.706,83.008,-34.668,-37.109,0.977,44.434
1688816515.710,62.012,-37.598,-41.504,15.625,126.953
1688816515.714,-70.801,-40.527,-42.969,-24.414,-82.031
1688816515.718,-185.547,-40.039,-39.551,-80.078,-104.004
1688816515.722,-51.270,-43.457,-38.574,-77.637,-130.371
1688816515.726,86.426,-47.852,-37.598,1.953,-69.824
1688816515.730,80.566,-34.668,-48.828,23.438,-64.453
1688816515.733,-59.570,-18.555,-55.176,-2.930,-144.531
1688816515.737,-180.664,-16.602,-55.176,-56.152,214.844
1688816515.741,-53.223,-13.672,-62.012,-83.008,163.574
1688816515.745,76.660,-17.578,-69.336,-28.809,-187.988
1688816515.749,76.660,-19.043,-80.078,8.301,-58.105
1688816515.751,-30.273,-10.254,-88.867,0.000,7.324
1688816515.755,-141.602,-4.395,-92.285,-55.176,-124.023
1688816515.759,-31.738,2.441,-95.215,-94.727,-215.332
1688816515.763,86.426,0.000,-93.750,-41.016,-148.438
1688816515.767,84.473,-8.789,-89.355,-0.488,-25.879
1688816515.771,1.953,-1.953,-93.262,-7.812,-26.855
1688816515.775,-144.531,1.465,-95.703,-56.152,-26.855
1688816515.778,-68.359,1.953,-102.539,-101.074,154.785
1688816515.782,98.145,6.836,-105.469,-38.086,354.980
1688816515.786,112.305,7.812,-100.586,4.395,88.867
1688816515.790,28.809,3.418,-103.516,-14.160,-65.918
1688816515.794,-119.141,5.371,-109.863,-53.711,12.695
1688816515.796,-70.801,15.137,-110.840,-110.352,-128.418
1688816515.800,94.238,2.930,-116.211,-68.359,-152.344
1688816515.804,116.211,-7.324,-115.723,-3.906,-45.410
1688816515.808,47.363,-0.488,-113.281,-4.395,-65.918
1688816515.812,-102.051,0.977,-114.746,-42.969,-137.207
1688816515.816,-97.168,3.906,-110.840,-102.051,-93.262
1688816515.820,69.824,4.395,-110.352,-72.266,-11.230
1688816515.823,120.605,0.488,-110.352,12.207,168.457
1688816515.827,55.664,2.930,-110.352,8.789,74.707
1688816515.831,-99.121,6.836,-106.445,-55.176,-174.316
1688816515.835,-113.281,1.465,-101.562,-121.582,-138.184
1688816515.839,54.688,-8.789,-100.586,-99.609,-126.953
1688816515.857,127.441,-14.160,-96.680,-13.184,-133.789
1688816515.861,80.078,-12.695,-95.703,1.953,-177.246
1688816515.865,-80.566,-10.254,-89.844,-29.785,-70.801
1688816515.869,-126.465,-5.859,-81.543,-84.961,47.852
1688816515.873,59.082,-7.324,-83.496,-77.148,-139.648
1688816515.877,134.766,-13.672,-83.984,-4.395,-157.715
1688816515.881,80.566,-13.672,-77.637,6.836,64.941
1688816515.884,-59.570,-15.137,-73.730,-19.043,224.609
1688816515.888,-145.020,-11.230,-72.754,-84.961,-34.668
1688816515.892,5.371,-10.254,-66.895,-90.820,-219.238
1688816515.896,113.281,-19.531,-67.871,-10.254,22.461
1688816515.900,92.285,-24.902,-75.195,-7.812,57.129
1688816515.886,-38.574,-22.461,-68.359,-39.062,-154.297
1688816515.890,-133.789,-19.531,-61.523,-74.707,-187.500
1688816515.894,1.465,-23.438,-65.918,-83.984,-154.297
1688816515.898,109.863,-22.949,-66.406,-15.137,-86.426
1688816515.902,104.980,-23.926,-62.500,25.391,-118.164
1688816515.906,-19.043,-25.391,-59.082,4.395,-9.277
1688816515.910,-150.879,-23.926,-58.105,-48.340,125.977
1688816515.913,-28.809,-21.973,-54.688,-69.336,-111.816
