timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767973.647,-95.215,-86.914,-2.441,-31.250,-21.973
1687767973.651,-73.730,-79.590,-6.836,-29.297,-62.500
1687767973.655,-78.125,-75.195,-5.859,-23.926,-156.250
1687767973.659,-86.426,-79.590,-4.883,-29.785,-177.734
1687767973.663,-82.031,-69.336,-1.953,-29.785,-136.719
1687767973.667,-66.406,-64.453,0.977,-22.949,8.301
1687767973.671,-59.082,-62.988,-1.465,-11.719,45.898
1687767973.674,-68.359,-61.035,-3.906,-23.438,6.836
1687767973.678,-75.684,-67.383,-10.254,-25.391,221.680
1687767973.682,-70.801,-68.359,-20.020,-22.461,172.852
1687767973.686,-53.223,-57.617,-19.043,-20.996,-104.004
1687767973.690,-31.738,-45.898,-20.020,-11.719,-44.922
1687767973.693,-37.109,-41.504,-16.113,-17.578,-81.543
1687767973.697,-60.059,-38.574,-12.207,-26.855,-205.078
1687767973.701,-62.988,-41.016,-22.949,-37.109,-178.223
1687767973.705,-57.129,-41.016,-20.508,-36.621,-135.742
1687767973.709,-58.594,-47.363,-17.578,-29.785,-118.164
1687767973.713,-61.523,-51.758,-21.973,-19.531,-50.781
1687767973.717,-66.895,-47.363,-21.973,-26.855,-42.480
1687767973.720,-72.754,-45.898,-23.438,-29.785,147.461
1687767973.724,-68.848,-40.039,-24.902,-20.508,439.941
1687767973.728,-51.758,-32.715,-23.926,-24.414,109.375
1687767973.732,-37.598,-35.156,-17.090,-23.438,-173.828
1687767973.736,-39.551,-42.969,-14.648,-22.461,94.238
1687767973.736,-57.617,-41.016,-14.648,-34.180,15.137
1687767973.740,-55.664,-29.785,-18.555,-37.598,-215.332
1687767973.744,-42.480,-23.926,-20.020,-28.809,-108.398
1687767973.748,-40.527,-32.227,-22.949,-25.391,-90.820
1687767973.752,-49.316,-36.621,-25.391,-29.297,-130.371
1687767973.756,-52.246,-37.598,-26.855,-37.109,-153.809
1687767973.760,-42.480,-39.551,-32.227,-32.715,-30.762
1687767973.763,-43.945,-40.039,-32.227,-14.648,211.426
1687767973.767,-30.273,-40.039,-35.156,-17.090,46.387
1687767973.771,-2.930,-38.086,-29.785,-8.301,-90.820
1687767973.775,-32.715,-32.715,-13.672,-20.020,-70.312
1687767973.779,-73.242,-30.762,-8.301,-48.828,7.812
1687767973.780,-58.105,-36.621,-6.836,-36.621,-75.684
1687767973.784,-42.969,-37.598,-6.348,-27.832,-134.766
1687767973.788,-46.875,-35.156,-8.301,-35.645,-108.398
1687767973.792,-49.316,-38.086,-7.812,-39.062,-168.457
1687767973.796,-49.316,-43.457,-14.160,-43.945,-187.012
1687767973.800,-31.738,-37.598,-19.043,-36.133,-84.961
1687767973.804,-25.879,-32.715,-11.719,-20.996,158.691
1687767973.807,-48.828,-42.969,-22.949,-23.926,194.336
1687767973.811,-61.035,-45.898,-34.668,-33.203,-92.773
1687767973.815,-59.570,-35.156,-23.926,-21.973,-101.074
1687767973.819,-58.105,-27.344,-23.926,-23.438,119.629
1687767973.823,-53.223,-24.902,-30.762,-27.832,105.957
1687767973.826,-56.641,-28.809,-31.250,-33.691,-82.520
1687767973.830,-67.871,-37.598,-33.691,-39.551,-69.824
1687767973.834,-61.035,-40.527,-24.902,-35.156,65.918
1687767973.838,-45.898,-36.621,-18.555,-27.344,-36.621
1687767973.842,-39.551,-34.668,-22.461,-30.273,-130.859
1687767973.846,-43.457,-40.527,-17.090,-32.227,53.711
1687767973.850,-58.105,-45.898,-17.578,-33.691,291.992
1687767973.853,-62.500,-44.922,-29.297,-37.109,80.566
1687767973.857,-51.270,-35.156,-33.691,-28.809,-125.977
1687767973.861,-45.410,-31.738,-30.762,-25.391,-107.422
1687767973.865,-48.828,-32.715,-34.668,-36.133,-75.195
1687767973.869,-51.758,-30.762,-36.621,-41.504,-98.633
1687767973.871,-52.734,-33.203,-27.344,-32.715,-193.359
1687767973.875,-45.410,-31.738,-30.762,-22.949,-140.625
1687767973.879,-27.344,-30.762,-41.016,-20.020,-27.344
1687767973.883,-22.461,-42.969,-38.086,-24.902,-72.754
1687767973.887,-30.762,-55.664,-29.297,-39.062,-139.160
1687767973.891,-47.852,-50.293,-28.809,-44.434,50.293
1687767973.895,-53.711,-33.691,-32.227,-33.691,363.281
1687767973.898,-35.645,-18.555,-29.785,-31.738,54.688
1687767973.902,-29.785,-19.043,-32.227,-26.367,-231.445
1687767973.906,-50.293,-25.391,-30.273,-21.484,44.922
1687767973.910,-58.594,-33.691,-30.762,-36.621,67.871
1687767973.914,-47.363,-35.645,-33.203,-44.922,-224.609
1687767973.931,-49.805,-40.039,-34.180,-45.410,-159.668
1687767973.935,-43.457,-42.969,-35.645,-48.340,-43.945
1687767973.939,-44.922,-39.551,-34.180,-45.898,-130.371
1687767973.943,-54.688,-39.551,-37.109,-47.852,-144.531
1687767973.947,-47.852,-37.598,-40.039,-41.016,22.461
1687767973.951,-46.387,-37.109,-30.273,-35.645,289.062
1687767973.955,-47.363,-31.738,-29.785,-47.363,143.066
1687767973.958,-47.852,-31.250,-39.062,-56.152,-159.668
1687767973.962,-52.246,-32.715,-35.156,-50.781,-140.625
1687767973.966,-58.105,-32.227,-29.785,-55.664,14.160
1687767973.970,-45.898,-39.551,-33.691,-58.105,-88.867
1687767973.974,-33.691,-36.621,-32.227,-45.898,-195.312
1687767973.976,-50.781,-38.086,-33.691,-44.434,-125.488
1687767973.980,-65.918,-46.875,-32.715,-48.828,-101.074
1687767973.984,-61.035,-46.875,-29.297,-51.758,-131.836
1687767973.988,-44.434,-39.551,-23.438,-46.875,-133.301
1687767973.992,-35.645,-36.621,-22.949,-31.738,-101.074
1687767973.996,-41.504,-32.227,-28.320,-23.926,-24.902
1687767974.000,-49.316,-23.438,-29.297,-29.785,19.043
1687767974.003,-49.805,-29.785,-30.273,-38.086,-76.660
1687767974.007,-29.297,-42.969,-34.180,-24.414,76.172
1687767974.011,-20.020,-35.156,-29.785,-8.789,453.125
1687767974.015,-44.922,-35.156,-30.762,-20.508,250.977
1687767974.019,-64.941,-45.898,-34.668,-44.434,-80.566
1687767974.021,-60.547,-46.387,-27.832,-49.805,-106.934
1687767974.025,-42.969,-38.574,-28.320,-42.969,-183.105
1687767974.029,-30.273,-29.785,-29.785,-43.945,-189.941
1687767974.033,-31.250,-40.039,-40.039,-41.504,-96.680
1687767974.037,-45.410,-49.805,-41.016,-49.316,-72.754
1687767974.041,-43.945,-39.062,-31.250,-53.223,-1.953
1687767974.045,-33.691,-30.762,-30.273,-42.969,21.484
1687767974.048,-36.133,-33.691,-35.156,-41.504,-36.621
1687767974.052,-41.504,-33.203,-36.621,-43.457,149.414
1687767974.056,-51.270,-36.133,-31.738,-45.898,51.270
1687767974.060,-56.641,-40.527,-33.203,-49.805,-168.945
1687767974.064,-41.016,-37.109,-39.062,-47.852,-128.418
1687767974.066,-22.949,-34.180,-35.156,-38.086,10.254
1687767974.070,-34.180,-34.180,-32.227,-47.363,-47.852
1687767974.074,-52.246,-40.527,-35.645,-51.270,-164.551
1687767974.078,-59.570,-42.480,-34.668,-52.246,-91.309
1687767974.082,-46.387,-37.109,-36.621,-61.035,-56.152
1687767974.086,-29.297,-42.969,-41.016,-54.199,-107.422
1687767974.090,-31.250,-47.852,-49.316,-50.781,-118.164
1687767974.093,-39.551,-44.434,-47.363,-56.152,31.250
1687767974.097,-49.316,-36.133,-41.016,-40.527,259.766
1687767974.101,-48.340,-27.832,-36.133,-48.340,58.594
1687767974.105,-30.273,-33.203,-32.227,-55.176,-153.809
1687767974.109,-23.926,-39.551,-35.645,-35.156,209.473
1687767974.126,-40.527,-33.203,-38.086,-32.227,262.207
1687767974.130,-50.293,-33.691,-31.250,-49.805,-91.309
