timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767760.571,95.703,-41.992,-33.203,-64.453,-65.430
1687767760.575,105.469,-40.527,-24.414,-57.129,-68.359
1687767760.579,99.121,-35.645,-21.973,-57.617,-126.953
1687767760.583,73.242,-35.156,-29.297,-72.266,-143.555
1687767760.587,63.477,-24.414,-22.949,-66.895,-15.625
1687767760.591,82.031,-24.414,-15.625,-49.805,-27.344
1687767760.595,93.262,-25.391,-19.531,-51.270,-78.125
1687767760.598,85.938,-18.555,-26.855,-56.152,-143.555
1687767760.602,69.336,-26.367,-31.250,-64.941,10.742
1687767760.606,68.359,-37.109,-31.738,-65.430,344.727
1687767760.610,95.215,-30.273,-28.320,-56.641,78.125
1687767760.614,123.047,-29.297,-22.949,-48.828,-182.129
1687767760.617,118.652,-38.086,-28.320,-46.387,-78.125
1687767760.621,92.285,-35.156,-32.715,-61.523,-81.055
1687767760.625,89.355,-34.668,-29.297,-60.059,-162.598
1687767760.629,105.469,-26.855,-32.227,-48.828,-128.418
1687767760.633,115.723,-24.414,-31.738,-41.992,-6.348
1687767760.637,110.352,-20.996,-28.809,-39.551,3.906
1687767760.641,98.633,-11.719,-28.320,-50.293,-122.070
1687767760.644,83.496,-25.391,-23.438,-54.199,-127.441
1687767760.648,82.031,-37.598,-32.227,-45.410,162.109
1687767760.652,95.703,-30.762,-33.203,-48.828,20.996
1687767760.656,96.191,-34.668,-30.762,-65.430,-68.848
1687767760.660,91.309,-36.133,-40.039,-68.848,10.254
1687767760.660,88.867,-28.320,-33.203,-52.734,-7.324
1687767760.664,94.238,-25.391,-33.691,-60.059,-100.586
1687767760.668,105.957,-34.180,-40.527,-64.941,-164.062
1687767760.672,120.117,-41.504,-37.598,-53.711,-20.996
1687767760.676,109.863,-33.691,-36.621,-54.688,37.109
1687767760.680,96.191,-29.785,-31.738,-61.035,-57.617
1687767760.684,97.656,-32.227,-32.715,-69.336,-100.098
1687767760.687,114.746,-31.250,-34.180,-60.059,128.418
1687767760.691,122.070,-26.855,-28.320,-40.039,148.438
1687767760.695,110.352,-26.367,-29.297,-50.781,-163.086
1687767760.699,102.051,-34.668,-34.668,-59.082,-249.023
1687767760.703,104.492,-42.969,-39.551,-53.711,-155.273
1687767760.705,122.559,-43.945,-42.969,-61.523,-125.488
1687767760.709,126.465,-33.691,-31.738,-63.965,-162.109
1687767760.713,97.656,-28.809,-35.156,-67.383,-79.102
1687767760.717,84.961,-34.668,-41.992,-64.941,-36.133
1687767760.721,98.633,-39.551,-35.645,-66.895,-161.621
1687767760.725,122.070,-33.691,-30.273,-70.801,-160.645
1687767760.729,147.949,-27.832,-23.926,-52.246,-36.621
1687767760.732,128.906,-44.434,-32.227,-47.852,276.367
1687767760.736,102.539,-34.180,-37.598,-57.129,211.914
1687767760.740,104.004,-29.785,-31.250,-63.477,-130.859
1687767760.744,121.094,-29.785,-28.809,-55.664,8.789
1687767760.748,130.371,-20.996,-25.391,-43.457,79.102
1687767760.750,116.211,-25.879,-29.785,-60.059,-143.555
1687767760.754,104.980,-16.113,-32.715,-67.383,-207.031
1687767760.758,96.191,-20.996,-41.504,-70.312,-114.258
1687767760.762,112.793,-29.785,-39.062,-70.801,-125.488
1687767760.766,123.047,-25.391,-38.574,-62.012,-146.973
1687767760.770,110.840,-33.203,-36.621,-51.758,-37.109
1687767760.774,91.797,-33.203,-29.297,-39.551,193.359
1687767760.777,67.383,-33.203,-38.086,-59.082,178.711
1687767760.781,79.102,-36.133,-48.340,-68.359,-81.543
1687767760.785,93.262,-35.645,-44.922,-56.641,-114.258
1687767760.789,89.355,-38.086,-32.715,-49.316,28.809
1687767760.793,82.520,-41.016,-31.250,-42.969,-82.031
1687767760.795,70.312,-30.273,-37.109,-48.828,-204.590
1687767760.799,75.195,-20.020,-35.645,-50.293,-134.277
1687767760.803,83.984,-29.297,-37.598,-52.246,-66.406
1687767760.807,77.637,-28.320,-34.668,-49.316,-64.453
1687767760.811,69.824,-24.902,-26.367,-44.922,-147.949
1687767760.815,59.570,-25.391,-24.414,-48.340,-105.957
1687767760.819,62.012,-22.949,-31.250,-54.688,122.070
1687767760.822,77.148,-27.344,-33.691,-53.223,-1.465
1687767760.826,67.383,-37.109,-37.109,-60.059,-96.680
1687767760.830,44.434,-45.410,-36.133,-64.453,13.184
1687767760.834,36.133,-41.504,-33.203,-55.664,213.379
1687767760.838,46.387,-32.227,-30.273,-56.152,24.902
1687767760.855,67.871,-38.574,-27.344,-48.340,-202.148
1687767760.859,77.148,-45.898,-29.785,-36.133,-111.816
1687767760.863,64.453,-34.668,-30.762,-37.109,-4.395
1687767760.867,61.523,-26.855,-34.180,-45.898,-135.742
1687767760.871,56.641,-42.969,-40.039,-56.641,-170.410
1687767760.875,54.199,-38.086,-35.156,-48.340,13.184
1687767760.879,63.477,-30.762,-34.180,-39.062,75.684
1687767760.882,49.316,-45.898,-40.527,-45.898,-35.156
1687767760.886,37.109,-37.598,-30.762,-41.992,-123.047
1687767760.890,38.574,-33.691,-26.855,-36.621,29.785
1687767760.894,53.223,-52.246,-36.133,-39.062,46.875
1687767760.898,72.754,-42.969,-37.109,-45.410,-131.348
1687767760.900,65.430,-30.273,-36.133,-52.246,-74.707
1687767760.904,44.922,-38.574,-39.551,-57.129,35.645
1687767760.908,38.086,-46.875,-41.992,-58.594,-123.047
1687767760.912,60.059,-47.852,-41.016,-50.781,-135.742
1687767760.916,74.219,-36.621,-36.621,-47.363,-90.332
1687767760.920,51.758,-29.297,-34.668,-50.781,-5.859
1687767760.924,28.809,-25.879,-37.109,-51.758,47.363
1687767760.927,23.438,-30.762,-41.504,-53.223,-21.484
1687767760.931,49.316,-32.227,-36.621,-34.180,-16.113
1687767760.935,65.430,-32.715,-30.762,-19.043,316.406
1687767760.939,59.082,-34.180,-29.785,-40.527,114.258
1687767760.943,37.109,-27.344,-32.227,-58.105,-281.250
1687767760.945,21.484,-35.645,-37.109,-58.594,-76.660
1687767760.949,37.109,-43.945,-38.574,-49.316,88.867
1687767760.953,51.758,-41.992,-46.875,-44.922,-81.055
1687767760.957,44.434,-37.109,-51.758,-39.551,-35.156
1687767760.961,31.250,-36.133,-46.875,-41.016,159.668
1687767760.965,29.785,-34.668,-41.016,-47.363,137.207
1687767760.969,50.293,-20.996,-34.180,-38.086,-53.711
1687767760.972,66.895,-23.926,-35.645,-37.598,-116.211
1687767760.976,52.246,-34.180,-45.410,-49.316,145.020
1687767760.980,41.016,-30.273,-36.621,-50.293,157.715
1687767760.984,42.969,-34.180,-27.344,-59.570,-91.797
1687767760.988,37.598,-39.062,-37.109,-62.012,-94.727
