timestamps,TP9,AF7,AF8,TP10,Right AUX
1687734334.591,-67.383,-32.715,-31.738,-59.082,-112.305
1687734334.595,-80.078,-37.109,-36.133,-62.988,-133.789
1687734334.599,-28.320,-37.598,-30.762,-52.246,-57.617
1687734334.603,-5.371,-37.109,-34.180,-49.316,-29.297
1687734334.607,-30.762,-35.156,-41.016,-55.176,-115.234
1687734334.611,-71.777,-41.016,-36.621,-58.105,-67.383
1687734334.615,-88.379,-45.898,-38.574,-57.617,139.160
1687734334.618,-38.086,-42.969,-39.551,-48.340,326.172
1687734334.622,-6.836,-39.062,-37.598,-47.363,157.715
1687734334.626,-23.926,-34.180,-34.180,-51.270,-110.840
1687734334.630,-61.523,-33.691,-31.738,-48.340,23.438
1687734334.634,-86.426,-35.645,-38.086,-47.852,102.539
1687734334.634,-86.426,-35.645,-38.086,-47.852,102.539
1687734334.636,-42.480,-33.691,-40.527,-43.457,-161.621
1687734334.640,-4.395,-37.109,-37.598,-42.480,-121.582
1687734334.644,-21.484,-38.086,-40.039,-55.664,-96.680
1687734334.648,-62.988,-38.574,-40.527,-69.336,-165.039
1687734334.652,-93.262,-39.062,-41.016,-72.754,-184.570
1687734334.656,-56.641,-39.062,-41.016,-58.594,-96.680
1687734334.660,-10.254,-39.062,-38.574,-48.828,253.906
1687734334.663,-13.672,-34.668,-38.574,-52.734,171.875
1687734334.667,-51.758,-33.203,-41.504,-62.012,-146.973
1687734334.671,-84.961,-34.180,-41.504,-62.988,-110.840
1687734334.675,-57.129,-33.203,-36.621,-51.758,-5.371
1687734334.679,-15.625,-39.062,-36.621,-52.734,-34.180
1687734334.681,-17.578,-42.480,-36.621,-61.523,-119.141
1687734334.685,-46.875,-38.086,-34.180,-59.570,-76.172
1687734334.689,-79.102,-31.738,-32.227,-47.363,-71.777
1687734334.693,-59.082,-33.203,-32.227,-44.922,-106.445
1687734334.697,-4.883,-37.598,-32.227,-42.969,-108.887
1687734334.701,0.488,-36.621,-30.273,-36.621,26.855
1687734334.705,-37.109,-28.320,-28.809,-40.039,118.652
1687734334.708,-83.984,-30.762,-28.320,-54.199,-5.371
1687734334.712,-77.637,-35.156,-28.809,-57.129,-79.590
1687734334.716,-27.344,-32.227,-35.645,-46.387,18.555
1687734334.720,-21.973,-37.109,-39.551,-45.898,150.879
1687734334.724,-39.551,-38.086,-35.156,-45.898,33.203
1687734334.741,-75.195,-35.645,-31.250,-43.945,-29.297
1687734334.745,-79.590,-36.133,-27.344,-41.016,41.992
1687734334.749,-23.926,-39.551,-28.809,-33.203,27.832
1687734334.753,-10.742,-37.109,-33.691,-35.645,-153.320
1687734334.757,-39.062,-39.062,-34.668,-41.016,-217.285
1687734334.761,-80.078,-40.039,-38.086,-49.805,-124.512
1687734334.765,-86.426,-33.691,-39.551,-56.641,-92.285
1687734334.768,-24.414,-28.320,-35.156,-54.688,-160.645
1687734334.772,-7.324,-28.809,-41.992,-56.641,-120.605
1687734334.776,-34.180,-27.832,-42.480,-47.363,60.059
1687734334.780,-72.266,-24.414,-35.156,-55.176,-15.625
1687734334.784,-91.309,-24.902,-37.598,-68.359,-89.844
1687734334.786,-40.039,-27.344,-36.621,-56.641,-18.555
1687734334.790,-16.602,-37.109,-41.504,-61.035,26.855
1687734334.794,-40.039,-41.504,-42.969,-66.406,-51.758
1687734334.798,-81.543,-38.086,-40.039,-73.242,-147.461
1687734334.802,-107.910,-37.109,-38.574,-71.777,-45.898
1687734334.806,-55.664,-34.668,-35.156,-55.664,77.637
1687734334.810,-17.578,-33.691,-36.133,-51.270,-11.230
