timestamps,TP9,AF7,AF8,TP10,Right AUX
1687769006.341,-56.641,-22.461,1.953,-41.992,-220.215
1687769006.345,-54.199,-20.020,-0.977,-39.062,-110.352
1687769006.349,-60.059,-23.926,-0.977,-34.180,2.441
1687769006.353,-60.547,-25.391,3.906,-39.062,-72.266
1687769006.357,-57.617,-23.926,-1.953,-37.598,-106.445
1687769006.361,-50.293,-20.508,-7.324,-25.879,40.039
1687769006.365,-45.898,-14.160,-3.906,-12.207,486.816
1687769006.368,-49.316,-11.719,-1.953,-19.043,356.445
1687769006.372,-58.105,-18.066,-6.348,-40.039,-108.398
1687769006.376,-63.965,-16.113,-13.184,-44.922,-35.156
1687769006.380,-63.477,-15.625,-7.324,-49.316,-18.555
1687769006.384,-58.105,-19.531,-9.277,-43.945,-188.965
1687769006.399,-50.781,-17.090,-11.230,-35.156,-151.855
1687769006.403,-54.199,-16.602,-3.906,-41.992,-70.312
1687769006.407,-54.688,-14.648,-3.906,-44.434,-83.496
1687769006.411,-51.758,-12.695,-1.953,-41.016,-187.500
1687769006.415,-53.223,-16.113,0.000,-40.039,-148.926
1687769006.419,-47.852,-22.949,-3.906,-34.180,219.238
1687769006.423,-47.852,-19.043,-3.906,-35.645,200.684
1687769006.426,-57.617,-18.066,2.441,-52.246,-142.090
1687769006.430,-68.359,-29.297,-5.371,-63.477,-130.859
1687769006.434,-63.477,-32.227,-14.648,-61.523,34.668
1687769006.438,-58.105,-29.297,-19.043,-59.082,28.320
1687769006.442,-66.406,-26.367,-16.113,-62.988,-113.770
1687769006.443,-70.801,-26.367,-16.113,-67.871,-163.574
1687769006.447,-73.730,-26.367,-18.066,-65.918,-60.059
1687769006.451,-73.730,-25.879,-17.090,-61.523,-224.609
1687769006.455,-62.988,-25.391,-23.438,-51.270,-287.598
1687769006.459,-67.871,-26.855,-23.926,-50.781,-83.496
1687769006.463,-76.660,-26.367,-26.855,-56.152,0.977
1687769006.467,-72.754,-25.391,-32.227,-50.781,-93.750
1687769006.470,-66.895,-22.461,-31.250,-53.223,-86.914
1687769006.474,-60.059,-24.414,-33.691,-55.664,75.684
1687769006.478,-57.617,-28.320,-33.691,-46.875,251.953
1687769006.482,-64.941,-27.344,-32.715,-54.199,20.508
1687769006.486,-68.359,-25.391,-37.109,-61.523,-110.840
1687769006.488,-65.430,-23.438,-35.645,-63.965,-82.031
1687769006.492,-60.059,-23.438,-33.691,-55.176,-129.395
1687769006.496,-56.152,-20.996,-34.180,-41.016,-87.402
1687769006.500,-59.570,-22.949,-35.156,-50.781,-66.406
1687769006.504,-61.523,-28.320,-33.691,-55.176,-45.410
1687769006.508,-60.059,-31.250,-34.180,-46.387,30.273
1687769006.512,-61.523,-29.297,-37.109,-47.852,47.852
1687769006.515,-60.547,-27.344,-36.621,-50.781,19.043
1687769006.519,-62.988,-30.273,-32.715,-47.852,325.195
1687769006.523,-70.801,-28.320,-31.738,-51.270,310.059
1687769006.527,-73.730,-27.344,-31.738,-61.523,-82.031
1687769006.531,-71.777,-28.320,-31.738,-55.664,27.344
1687769006.533,-69.824,-27.832,-30.762,-56.641,94.727
1687769006.537,-74.707,-31.250,-27.832,-64.941,-115.723
1687769006.541,-75.684,-33.203,-27.344,-65.918,-234.863
1687769006.545,-74.219,-37.109,-24.414,-61.523,-118.652
1687769006.549,-67.383,-35.156,-18.555,-57.617,-68.848
1687769006.553,-54.688,-29.785,-11.719,-55.176,-93.262
1687769006.557,-61.523,-30.762,-10.254,-56.152,-75.684
1687769006.560,-71.289,-29.785,-9.766,-52.734,88.379
1687769006.564,-75.195,-32.715,-11.719,-54.688,164.551
1687769006.568,-68.848,-33.203,-15.625,-65.430,-152.344
1687769006.572,-57.617,-25.879,-15.137,-60.547,-134.277
1687769006.576,-61.523,-22.949,-14.160,-58.105,59.082
1687769006.579,-69.336,-19.531,-7.812,-58.594,23.926
1687769006.583,-72.266,-21.484,-4.395,-63.965,-125.000
1687769006.587,-63.477,-24.414,-4.883,-65.918,-157.227
1687769006.591,-58.594,-30.273,-3.418,-53.711,-41.992
1687769006.595,-61.523,-30.273,-1.953,-58.105,-35.156
1687769006.599,-59.082,-23.438,-4.395,-62.012,-18.066
1687769006.603,-57.129,-22.461,-1.953,-52.246,30.762
1687769006.606,-55.176,-24.414,4.883,-49.805,139.160
1687769006.610,-52.246,-24.902,3.418,-49.805,-6.348
1687769006.614,-56.641,-25.879,-1.953,-50.293,-189.453
1687769006.618,-64.941,-29.297,-3.418,-61.035,-52.734
1687769006.622,-67.383,-29.785,-0.977,-60.547,226.074
1687769006.640,-69.824,-31.738,-1.953,-57.617,131.836
1687769006.644,-69.336,-32.227,-3.906,-63.965,-73.242
1687769006.648,-65.918,-30.762,0.977,-56.152,-1.953
1687769006.652,-66.406,-30.273,3.418,-55.664,-18.555
1687769006.656,-69.336,-30.273,5.371,-66.895,-128.418
1687769006.660,-70.801,-31.250,4.883,-67.383,-137.207
1687769006.664,-69.336,-30.273,8.301,-61.523,122.559
1687769006.667,-64.453,-28.809,14.160,-58.594,257.812
1687769006.671,-69.336,-28.320,9.277,-63.477,-78.125
1687769006.675,-73.730,-34.668,4.395,-73.242,-211.426
1687769006.679,-75.684,-37.598,5.371,-71.777,-127.441
1687769006.683,-71.777,-36.621,8.301,-58.105,-105.957
1687769006.669,-67.383,-37.598,8.301,-56.641,-124.512
1687769006.673,-73.242,-37.109,6.836,-62.500,-110.840
1687769006.677,-77.637,-39.062,4.395,-67.871,-107.910
1687769006.681,-71.777,-39.551,2.930,-65.430,-119.629
1687769006.685,-62.500,-36.621,6.348,-55.176,-139.648
1687769006.689,-67.383,-37.598,4.883,-55.664,0.000
1687769006.693,-68.848,-36.621,4.395,-62.012,101.074
1687769006.696,-62.988,-35.645,10.254,-55.176,-63.477
1687769006.700,-59.570,-35.645,10.254,-49.316,-184.082
1687769006.704,-54.199,-35.645,11.230,-50.293,-201.172
1687769006.708,-57.129,-35.645,7.812,-44.434,126.953
1687769006.712,-64.453,-32.227,1.465,-43.945,327.148
1687769006.714,-64.453,-29.297,1.953,-52.734,-2.930
1687769006.718,-63.965,-30.762,5.859,-52.246,-170.410
1687769006.722,-65.918,-30.762,2.930,-46.875,-141.602
1687769006.726,-65.918,-31.738,-3.906,-49.316,-177.246
1687769006.730,-73.242,-34.180,-4.883,-56.152,-151.367
1687769006.734,-83.008,-36.133,-4.883,-61.035,-61.523
1687769006.738,-86.426,-37.598,1.465,-60.547,-59.082
1687769006.741,-73.730,-37.109,5.859,-61.035,-42.969
1687769006.745,-70.312,-37.598,1.953,-76.660,-110.352
1687769006.749,-81.543,-35.156,0.488,-77.148,-5.859
1687769006.753,-91.309,-37.598,4.395,-64.941,173.340
1687769006.757,-77.148,-46.387,6.348,-50.293,-73.730
1687769006.774,-54.199,-38.086,-0.488,-36.133,-120.605
1687769006.778,-66.895,-25.391,-7.812,-63.477,-80.566
1687769006.782,-80.566,-24.414,-8.789,-82.520,-97.656
1687769006.786,-82.520,-20.508,-17.090,-81.055,-130.371
1687769006.790,-80.566,-12.207,-22.949,-94.238,-92.285
1687769006.794,-71.289,-5.371,-20.508,-97.656,88.379
1687769006.798,-68.848,0.488,-25.879,-95.703,92.773
1687769006.801,-84.473,0.977,-29.297,-106.445,30.762
1687769006.805,-89.355,-1.465,-34.668,-109.375,-20.508
1687769006.809,-85.449,4.395,-38.574,-107.422,182.129
1687769006.813,-75.684,13.184,-32.227,-114.258,216.797
1687769006.817,-68.848,19.043,-32.715,-112.305,-140.137
1687769006.819,-63.965,16.602,-41.504,-96.680,-90.820
1687769006.823,-60.059,17.090,-46.387,-104.980,62.500
1687769006.827,-62.988,26.367,-43.945,-108.887,-124.023
1687769006.831,-54.688,26.855,-40.039,-103.027,-207.031
1687769006.835,-47.852,24.902,-45.898,-106.934,-121.582
1687769006.839,-49.805,28.809,-51.758,-107.910,-62.500
1687769006.843,-57.617,29.297,-55.664,-115.234,-54.688
1687769006.846,-65.430,27.832,-58.594,-122.070,-105.469
1687769006.850,-59.570,27.832,-58.105,-112.305,8.301
1687769006.854,-46.387,31.738,-56.641,-101.074,189.941
1687769006.858,-46.875,31.738,-61.523,-110.352,26.855
1687769006.862,-47.852,26.367,-65.918,-121.094,-126.953
1687769006.864,-47.363,27.344,-65.918,-103.516,-72.266
1687769006.868,-43.457,27.832,-66.895,-96.191,-7.812
1687769006.872,-27.344,25.391,-63.477,-91.309,-56.641
1687769006.876,-21.973,24.414,-63.477,-79.102,-50.293
1687769006.880,-24.414,23.438,-67.871,-73.242,-16.602
1687769006.884,-16.113,27.344,-63.477,-64.941,-14.160
1687769006.888,-6.348,26.367,-58.594,-57.617,-65.918
1687769006.891,-1.465,19.043,-58.105,-50.293,-85.449
1687769006.895,3.906,15.625,-59.082,-45.898,154.297
1687769006.899,5.371,16.113,-60.059,-41.504,100.586
1687769006.903,-0.488,14.160,-61.523,-41.992,-111.816
1687769006.907,1.953,6.348,-67.383,-42.969,28.320
1687769006.909,7.812,1.953,-71.777,-38.574,112.793
1687769006.913,10.254,6.348,-70.312,-26.367,17.578
1687769006.917,9.277,12.695,-65.430,-28.809,-134.766
1687769006.921,5.371,9.277,-56.641,-34.668,-66.406
1687769006.925,8.301,4.883,-53.223,-24.414,13.184
1687769006.929,9.766,5.371,-55.664,-25.391,-80.566
1687769006.933,17.578,12.695,-52.246,-23.438,-102.539
1687769006.936,26.367,14.160,-51.270,-18.555,73.242
1687769006.940,22.461,7.812,-52.734,-14.160,182.617
1687769006.944,20.508,3.906,-45.410,-19.531,-106.445
1687769006.948,23.438,-0.977,-45.410,-19.531,-213.379
1687769006.952,18.555,1.953,-44.434,-8.789,-127.441
1687769006.954,13.672,3.906,-40.527,-8.301,-142.578
1687769006.958,4.883,5.859,-40.527,-9.277,-196.289
1687769006.962,-3.418,6.348,-33.203,-11.230,-72.266
1687769006.966,7.324,2.441,-38.086,-4.395,43.457
1687769006.970,23.438,0.488,-44.434,-1.953,-22.949
1687769006.974,16.113,-1.465,-41.016,-12.695,-13.672
1687769006.978,15.625,-1.465,-41.992,-20.020,8.301
1687769006.981,12.695,-5.859,-46.387,-21.484,212.402
1687769006.985,12.207,-0.977,-39.062,-17.090,125.488
1687769006.989,18.066,0.977,-38.086,-12.207,-202.148
1687769006.993,9.766,-1.953,-41.016,-13.672,41.504
1687769006.997,11.719,4.395,-32.227,-15.625,150.879
1687769006.999,14.648,1.953,-32.227,-17.090,-175.293
1687769007.003,17.578,-0.488,-35.156,-10.254,-270.508
1687769007.007,13.672,-3.418,-33.203,-12.207,-58.594
1687769007.011,9.277,-7.324,-39.062,-20.020,8.789
1687769007.015,12.207,-2.930,-38.574,-11.719,-107.422
1687769007.019,10.254,3.906,-32.715,-12.207,-134.277
1687769007.023,7.324,-1.465,-32.227,-9.277,73.730
1687769007.026,14.160,-6.836,-31.250,5.371,309.570
1687769007.030,20.996,-0.488,-27.832,4.883,4.395
1687769007.034,5.859,-6.348,-25.879,-9.766,-190.430
1687769007.038,-0.488,-8.301,-20.996,-7.324,-156.250
1687769007.042,6.348,-5.371,-18.555,-7.324,-103.027
1687769007.045,9.277,-8.789,-19.043,-2.441,-128.418
1687769007.049,9.277,-11.719,-21.973,5.859,-158.691
1687769007.053,1.953,-14.160,-29.785,2.441,-125.488
1687769007.057,2.441,-10.254,-21.484,2.441,-100.586
1687769007.061,6.348,-5.371,-16.602,-5.371,-122.559
1687769007.065,1.465,-7.324,-26.855,-8.789,-36.133
1687769007.069,5.371,-15.625,-24.414,5.859,239.258
1687769007.072,4.883,-11.719,-17.578,0.488,162.598
1687769007.076,-5.859,-11.230,-16.113,-11.719,-131.348
1687769007.080,-2.930,-19.043,-12.207,0.488,-140.625
1687769007.084,1.465,-20.508,-8.301,0.488,45.410
1687769007.088,2.930,-20.508,-11.719,-4.883,12.207
1687769007.089,8.301,-21.973,-13.672,0.488,-176.270
1687769007.093,1.465,-20.996,-6.836,-2.930,-78.613
1687769007.097,-8.789,-20.020,-3.418,-4.883,18.066
1687769007.101,-2.441,-16.113,-3.906,-7.324,-94.238
1687769007.105,-1.465,-19.531,-0.977,-13.184,-126.465
1687769007.109,-7.324,-26.855,1.465,-13.672,-0.488
1687769007.113,-12.695,-20.996,4.395,-12.207,256.348
1687769007.116,-14.160,-14.648,7.324,-17.578,59.082
1687769007.120,-14.160,-13.184,7.812,-23.926,-192.383
1687769007.124,-18.066,-14.648,7.812,-33.691,-35.156
1687769007.128,-25.879,-18.066,4.883,-40.039,17.578
1687769007.132,-33.203,-15.625,1.953,-42.969,-92.285
1687769007.149,-41.504,-16.113,3.418,-43.457,-96.191
1687769007.153,-44.434,-20.996,3.418,-43.945,-14.160
1687769007.157,-35.645,-24.414,3.418,-48.828,-56.152
1687769007.161,-27.832,-22.461,6.836,-38.574,-175.781
1687769007.165,-30.273,-24.414,2.930,-33.691,-153.809
1687769007.169,-40.039,-26.855,4.395,-35.156,-67.871
1687769007.173,-34.668,-24.902,7.812,-35.645,23.438
1687769007.176,-27.344,-24.902,10.254,-33.691,-93.262
1687769007.180,-24.414,-22.461,7.324,-23.438,-71.289
1687769007.184,-24.902,-20.020,1.953,-16.602,137.695
1687769007.188,-27.832,-20.020,4.883,-19.531,-35.156
1687769007.192,-26.367,-24.902,3.906,-27.344,-194.336
1687769007.194,-18.555,-26.367,5.859,-20.020,-7.324
1687769007.198,-16.602,-25.879,6.836,-19.043,193.848
1687769007.202,-20.508,-25.879,3.418,-33.203,-48.340
1687769007.206,-23.926,-29.297,4.883,-34.180,-180.176
1687769007.210,-28.809,-32.715,6.836,-31.250,-43.945
1687769007.214,-28.320,-29.297,6.836,-36.133,-27.344
1687769007.218,-26.367,-28.809,7.812,-27.832,-3.906
1687769007.221,-30.762,-26.367,7.812,-23.926,-104.492
1687769007.225,-41.504,-27.344,0.977,-29.297,3.418
1687769007.229,-42.480,-28.809,-0.488,-27.832,143.066
1687769007.233,-42.480,-30.762,-1.465,-35.156,-65.918
1687769007.237,-43.945,-35.645,-4.395,-34.668,-159.180
1687769007.239,-38.086,-29.785,-2.930,-21.484,-163.574
1687769007.243,-53.711,-27.832,-0.488,-28.320,-115.234
1687769007.247,-61.035,-34.668,-2.441,-43.457,-100.098
1687769007.251,-51.758,-30.273,-5.859,-42.480,-119.141
1687769007.255,-51.270,-24.902,-3.906,-41.992,-0.488
1687769007.259,-54.688,-22.461,-2.441,-42.480,39.062
1687769007.263,-64.941,-20.996,-2.441,-45.410,-38.574
1687769007.266,-61.035,-20.508,-2.441,-38.574,-97.656
1687769007.270,-65.918,-25.391,-1.465,-39.062,73.242
1687769007.274,-69.824,-23.438,-1.953,-35.645,103.027
1687769007.278,-68.359,-27.344,-2.930,-28.809,-93.262
1687769007.282,-67.383,-30.273,-5.371,-31.738,8.301
1687769007.283,-64.453,-27.344,-5.859,-38.086,74.219
1687769007.287,-60.547,-34.668,-1.465,-39.062,-40.527
1687769007.291,-46.387,-32.227,-4.395,-35.156,-93.262
1687769007.295,-54.688,-31.250,-9.277,-33.203,-37.109
1687769007.299,-65.918,-36.133,-7.324,-28.809,-39.551
1687769007.303,-66.895,-36.133,-5.859,-37.109,-27.344
1687769007.307,-67.871,-37.109,-7.812,-50.293,-27.832
1687769007.310,-60.059,-40.039,-8.301,-42.480,113.281
1687769007.314,-65.918,-39.551,-7.812,-33.691,256.836
1687769007.318,-76.660,-33.691,-3.418,-45.410,7.324
1687769007.322,-73.242,-37.598,-4.883,-48.340,-167.480
1687769007.326,-71.777,-42.969,-6.836,-49.805,-148.438
1687769007.328,-69.824,-37.598,-3.906,-51.270,-134.766
1687769007.332,-71.289,-38.086,-2.441,-46.387,-132.324
1687769007.336,-82.031,-41.016,-3.418,-48.340,-134.277
1687769007.340,-89.844,-38.086,-0.488,-55.664,-139.160
1687769007.344,-86.914,-39.551,2.930,-63.477,-111.816
1687769007.348,-81.543,-42.969,-3.906,-55.664,-75.195
1687769007.352,-78.125,-41.016,0.000,-51.270,-48.340
1687769007.355,-75.684,-37.109,4.883,-51.270,286.133
1687769007.359,-78.613,-38.574,6.348,-49.316,333.496
1687769007.363,-84.473,-41.016,5.859,-57.129,-123.535
