timestamps,TP9,AF7,AF8,TP10,Right AUX
1687768741.287,-30.762,-49.805,-14.160,-43.457,-167.969
1687768741.291,-33.691,-46.875,-16.602,-42.480,-140.137
1687768741.295,-59.082,-45.898,-15.137,-37.109,-151.855
1687768741.299,-73.242,-50.293,-7.812,-37.109,-176.758
1687768741.303,-71.289,-51.758,-13.184,-51.758,-100.586
1687768741.307,-72.754,-53.711,-15.625,-63.477,8.301
1687768741.311,-66.406,-52.734,-10.254,-50.781,-17.578
1687768741.314,-58.105,-46.875,-5.371,-43.945,-49.805
1687768741.318,-63.965,-41.992,-0.977,-42.480,103.516
1687768741.322,-59.570,-43.945,-4.883,-36.621,278.320
1687768741.326,-47.363,-47.852,-6.348,-43.457,-35.645
1687768741.330,-42.480,-42.969,-2.441,-42.480,-193.848
1687768741.330,-42.480,-42.969,-2.441,-42.480,-193.848
1687768741.332,-53.223,-42.480,-0.488,-32.715,-9.277
1687768741.336,-68.359,-46.387,-5.859,-38.086,-45.410
1687768741.340,-71.289,-40.527,-3.906,-42.969,-156.738
1687768741.344,-65.430,-39.551,-5.371,-34.180,-158.691
1687768741.348,-54.688,-40.527,-10.742,-30.273,15.625
1687768741.352,-58.105,-37.109,-7.324,-34.668,14.160
1687768741.356,-67.383,-38.086,-8.789,-37.109,-69.336
1687768741.359,-69.824,-38.574,-14.160,-46.387,-38.086
1687768741.363,-69.824,-33.691,-12.695,-51.758,148.438
1687768741.367,-68.359,-39.062,-6.348,-46.387,95.703
1687768741.371,-65.430,-45.410,-4.883,-53.223,-14.648
1687768741.375,-72.266,-44.922,-6.348,-68.848,-6.836
1687768741.378,-68.359,-46.875,-5.371,-58.594,33.691
1687768741.382,-61.523,-36.133,-2.441,-51.758,-39.062
1687768741.386,-66.406,-33.691,-1.953,-53.223,-111.328
1687768741.390,-70.801,-43.457,-5.859,-44.922,-80.566
1687768741.394,-68.359,-41.992,-8.789,-40.039,-71.777
1687768741.398,-60.547,-39.551,-7.324,-45.898,-19.043
1687768741.402,-57.617,-41.992,-10.742,-57.129,-63.965
1687768741.405,-41.504,-45.410,-10.742,-50.293,-17.578
1687768741.409,-35.645,-43.945,-12.207,-42.480,189.453
1687768741.413,-46.875,-39.062,-15.625,-60.547,-44.434
1687768741.417,-49.805,-38.086,-13.672,-65.918,-222.656
1687768741.421,-49.316,-34.668,-7.324,-51.270,-104.004
1687768741.437,-43.945,-34.180,-7.324,-37.109,-101.562
1687768741.441,-39.062,-41.504,-9.766,-36.621,-58.105
