timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767703.196,55.176,-26.855,-43.457,-83.008,-46.875
1687767703.200,54.688,-22.949,-50.293,-98.633,-165.527
1687767703.204,35.645,-28.320,-45.898,-92.285,-114.746
1687767703.208,28.809,-33.203,-49.805,-85.449,-21.973
1687767703.212,32.715,-38.086,-47.363,-111.328,-70.801
1687767703.216,48.828,-37.598,-31.738,-93.262,-151.855
1687767703.220,49.805,-39.062,-33.691,-91.797,9.277
1687767703.223,33.203,-33.203,-32.715,-93.262,208.984
1687767703.227,32.227,-28.320,-37.598,-94.238,4.395
1687767703.231,37.109,-31.738,-42.480,-107.910,-153.320
1687767703.235,35.645,-41.504,-33.203,-104.492,-119.141
1687767703.239,26.855,-41.016,-28.809,-102.051,-133.301
1687767703.240,13.672,-35.645,-22.461,-101.562,-173.340
1687767703.244,15.137,-30.762,-27.344,-104.004,-174.805
1687767703.248,25.879,-33.691,-34.180,-103.027,-106.934
1687767703.252,38.574,-39.062,-33.203,-106.445,-106.445
1687767703.256,37.598,-33.203,-32.227,-113.770,-137.207
1687767703.260,25.879,-30.273,-33.203,-106.445,-106.445
1687767703.264,9.766,-37.598,-35.645,-92.773,173.828
1687767703.267,1.953,-41.992,-32.227,-86.426,261.719
1687767703.271,20.020,-34.668,-29.785,-97.168,-118.652
1687767703.275,38.086,-35.156,-29.785,-90.332,-159.180
1687767703.279,26.367,-36.133,-29.297,-90.332,197.754
1687767703.283,-1.465,-34.668,-29.297,-104.492,34.180
1687767703.285,-11.719,-42.480,-38.574,-106.934,-181.641
1687767703.289,-4.883,-39.551,-37.598,-92.773,-82.520
1687767703.293,12.695,-33.203,-29.297,-69.336,-70.801
1687767703.297,8.789,-39.062,-28.809,-59.082,-169.434
1687767703.301,-18.066,-47.852,-29.785,-63.965,-235.840
1687767703.305,-31.738,-45.898,-29.297,-57.129,-109.375
1687767703.309,-57.129,-50.781,-31.250,-53.711,125.977
1687767703.312,-56.641,-50.293,-31.250,-53.711,101.074
1687767703.316,-64.941,-36.133,-22.949,-46.875,-110.840
1687767703.320,-114.746,-36.621,-28.320,-50.781,-48.828
1687767703.324,-145.996,-46.387,-36.133,-36.133,198.242
1687767703.328,-145.508,-52.246,-32.715,-32.227,-42.480
1687767703.345,-137.695,-42.480,-32.227,-42.480,-170.410
1687767703.349,-136.230,-35.645,-32.227,-32.715,-68.359
1687767703.353,-158.691,-40.039,-33.203,-35.645,-104.980
1687767703.357,-183.105,-41.504,-29.297,-32.227,-133.789
1687767703.361,-170.410,-41.016,-24.414,-18.066,-88.379
1687767703.365,-157.227,-43.457,-28.320,-17.090,109.863
1687767703.369,-164.551,-40.527,-33.691,-22.949,125.977
1687767703.372,-183.594,-34.180,-25.879,-19.043,-109.375
1687767703.376,-191.895,-33.691,-23.926,-7.812,-187.500
1687767703.380,-181.641,-33.203,-36.621,-5.859,156.738
1687767703.384,-175.293,-39.551,-36.133,12.207,309.570
1687767703.388,-178.711,-52.246,-20.996,9.766,-84.961
1687767703.390,-204.102,-48.828,-15.625,-13.672,-152.832
1687767703.394,-225.586,-30.762,-21.973,-22.949,64.941
1687767703.398,-215.332,-20.508,-24.902,-25.391,-91.797
1687767703.402,-185.059,-34.180,-23.438,-13.184,-226.074
1687767703.406,-193.359,-44.434,-25.879,-14.160,-156.250
1687767703.410,-218.262,-40.039,-25.879,-20.996,-20.996
1687767703.414,-219.238,-38.574,-23.926,-26.855,1.953
1687767703.417,-200.195,-41.992,-27.832,-31.738,-98.145
1687767703.421,-178.711,-43.945,-27.344,-17.578,4.883
1687767703.425,-182.129,-45.410,-20.996,-7.812,251.953
1687767703.429,-202.637,-45.898,-21.484,-24.414,-45.410
1687767703.433,-206.055,-43.945,-17.090,-31.250,-142.578
1687767703.435,-177.734,-45.410,-13.672,-20.508,84.473
1687767703.439,-138.672,-43.457,-20.508,-7.812,-36.621
