timestamps,TP9,AF7,AF8,TP10,Right AUX
1687769713.157,-56.641,-58.594,-34.668,-50.293,151.367
1687769713.161,-53.711,-56.152,-21.484,-52.246,-58.105
1687769713.165,-51.758,-38.574,-1.465,-46.875,-18.066
1687769713.169,-68.359,-36.133,-20.020,-48.340,8.301
1687769713.173,-68.359,-47.852,-39.551,-42.480,-72.266
1687769713.177,-64.941,-47.852,-25.879,-22.461,-4.883
1687769713.181,-85.938,-50.293,-31.250,-26.855,240.234
1687769713.184,-78.613,-35.645,-27.344,-27.832,320.312
1687769713.188,-73.242,-30.762,-36.621,-35.645,37.598
1687769713.192,-76.660,-46.387,-57.617,-41.504,-111.816
1687769713.196,-68.359,-43.945,-45.410,-28.320,-43.457
1687769713.200,-67.871,-37.109,-36.133,-31.738,-7.812
1687769713.201,-69.336,-48.828,-46.875,-49.805,-58.105
1687769713.205,-75.195,-62.988,-55.176,-64.453,-153.320
1687769713.209,-74.707,-59.082,-55.664,-59.082,24.414
1687769713.213,-59.082,-41.504,-63.965,-35.156,62.012
1687769713.217,-46.387,-38.574,-65.918,-29.297,-36.133
1687769713.221,-42.969,-38.086,-50.293,-31.250,20.020
1687769713.225,-40.527,-44.434,-50.781,-31.738,296.875
1687769713.228,-46.387,-47.363,-61.523,-30.273,350.098
1687769713.232,-38.574,-41.992,-49.316,-21.484,-52.246
1687769713.236,-21.484,-33.203,-37.109,-8.301,-39.551
1687769713.240,-25.879,-25.879,-47.363,-21.484,51.758
1687769713.244,-30.273,-37.598,-49.805,-48.340,-104.004
1687769713.277,-25.879,-33.203,-49.316,-41.504,-138.672
1687769713.281,-21.973,-30.273,-34.180,-27.344,-40.527
1687769713.285,-22.949,-46.875,-34.180,-29.297,6.348
1687769713.289,-25.391,-47.363,-64.453,-34.180,-11.719
1687769713.293,-27.344,-31.250,-62.988,-41.016,-35.156
1687769713.297,-15.625,-41.016,-36.621,-31.250,96.191
1687769713.301,-18.555,-56.152,-36.621,-22.461,169.922
1687769713.304,-36.621,-42.969,-41.992,-39.062,101.074
1687769713.308,-41.504,-59.082,-48.828,-51.270,3.418
1687769713.312,-41.992,-68.848,-54.688,-50.293,59.082
1687769713.316,-32.227,-55.664,-62.012,-47.852,120.117
1687769713.320,-30.273,-66.895,-60.547,-46.875,-80.078
1687769713.294,-38.086,-50.781,-56.641,-41.504,-81.543
1687769713.298,-30.762,-42.480,-55.176,-32.227,-49.316
1687769713.302,-27.832,-56.152,-42.480,-42.480,-55.176
1687769713.306,-37.109,-61.523,-29.785,-55.176,-74.707
1687769713.310,-38.574,-61.523,-45.410,-41.016,-60.059
1687769713.314,-36.133,-59.082,-49.805,-28.809,127.930
1687769713.318,-35.156,-53.223,-32.715,-37.109,140.625
1687769713.321,-38.086,-47.852,-40.527,-46.875,-55.176
1687769713.325,-35.645,-41.992,-47.363,-41.992,-50.781
1687769713.329,-19.531,-39.551,-58.594,-27.344,69.336
1687769713.333,-13.184,-31.250,-41.016,-7.324,83.496
1687769713.337,-26.855,-14.160,-36.133,-18.066,3.418
1687769713.351,-50.781,-18.555,-46.875,-36.621,38.086
1687769713.355,-55.176,-34.180,-43.457,-37.598,218.750
1687769713.359,-41.992,-24.902,-44.922,-29.297,84.473
1687769713.363,-36.133,-19.043,-45.410,-19.043,-135.254
1687769713.367,-37.598,-40.527,-57.617,-16.113,-5.859
1687769713.371,-40.039,-47.363,-69.824,-16.113,340.820
1687769713.375,-42.480,-35.156,-73.242,-35.645,255.371
1687769713.378,-39.062,-24.414,-51.270,-34.668,-99.609
1687769713.382,-31.250,-14.648,-37.598,-6.348,10.254
1687769713.386,-49.316,-19.043,-57.129,-4.395,99.121
1687769713.390,-68.848,-40.527,-73.730,-34.668,-88.867
1687769713.394,-71.777,-39.551,-55.176,-49.316,-92.285
1687769713.396,-62.988,-31.738,-39.062,-43.457,12.695
1687769713.400,-46.875,-38.574,-41.992,-22.949,33.203
1687769713.404,-41.504,-33.203,-37.598,-16.113,-14.648
1687769713.408,-49.316,-32.715,-47.363,-30.273,-51.758
1687769713.412,-42.480,-32.715,-56.152,-16.113,123.535
1687769713.416,-38.574,-34.180,-56.641,-10.742,250.488
1687769713.420,-41.016,-41.992,-61.035,-28.320,90.820
1687769713.423,-26.855,-40.039,-46.387,-18.555,73.730
1687769713.427,-25.391,-40.527,-41.504,-16.113,189.941
1687769713.431,-35.645,-43.945,-55.176,-43.945,59.082
1687769713.435,-35.156,-41.504,-52.734,-44.922,-113.770
1687769713.439,-31.250,-38.574,-44.922,-17.578,1.953
1687769713.442,-36.621,-42.480,-61.035,-20.996,-23.926
1687769713.446,-46.875,-56.641,-56.152,-35.645,-104.980
1687769713.450,-62.012,-44.922,-48.340,-52.246,-38.086
1687769713.454,-61.035,-40.039,-49.805,-52.734,91.797
1687769713.458,-51.270,-50.781,-55.176,-41.992,5.371
1687769713.462,-52.734,-36.621,-61.523,-44.922,-53.223
1687769713.466,-63.965,-33.691,-57.617,-59.082,-44.922
1687769713.469,-63.477,-37.598,-58.105,-60.547,56.152
1687769713.473,-48.340,-41.016,-60.059,-52.734,187.012
1687769713.477,-52.734,-42.480,-69.336,-63.477,-38.574
1687769713.481,-51.270,-36.133,-65.430,-58.105,-104.004
1687769713.485,-37.598,-41.504,-58.105,-57.617,-63.965
1687769713.486,-39.062,-48.828,-72.266,-66.895,-78.613
1687769713.490,-42.969,-50.781,-65.918,-66.406,-108.887
1687769713.494,-36.133,-44.434,-41.992,-52.246,-18.066
1687769713.498,-28.320,-37.598,-45.410,-39.062,204.590
1687769713.502,-22.949,-41.992,-51.270,-39.062,204.590
1687769713.506,-29.297,-47.363,-48.828,-41.016,-5.371
1687769713.510,-30.762,-33.203,-45.898,-43.457,-6.836
1687769713.513,-23.438,-25.391,-48.340,-25.879,301.270
1687769713.517,-30.762,-24.414,-49.805,-14.648,295.410
1687769713.521,-32.715,-20.508,-53.223,-35.645,-53.711
1687769713.525,-29.785,-31.250,-53.711,-41.504,-53.711
1687769713.529,-28.809,-35.645,-40.527,-47.363,-35.156
1687769713.532,-11.719,-31.250,-33.691,-40.039,-87.402
1687769713.536,-16.602,-30.273,-26.367,-26.367,-77.637
1687769713.540,-26.367,-32.715,-15.137,-21.484,-69.824
1687769713.544,-31.250,-30.273,-25.391,-29.785,-43.457
1687769713.548,-43.945,-47.363,-45.410,-48.828,-95.703
1687769713.552,-34.668,-60.547,-42.969,-32.227,43.945
1687769713.556,-36.133,-57.129,-32.715,-15.137,261.719
1687769713.559,-53.711,-58.594,-32.227,-30.762,318.848
1687769713.563,-66.406,-57.129,-55.176,-58.105,41.504
1687769713.567,-66.406,-57.129,-65.430,-68.848,-155.762
1687769713.571,-65.918,-66.406,-47.852,-62.500,-62.988
1687769713.575,-65.430,-53.223,-34.668,-47.363,-17.578
1687769713.576,-64.453,-41.992,-22.461,-34.180,-97.656
1687769713.580,-63.965,-44.922,-19.043,-40.527,-115.234
