timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767138.221,-56.152,-81.543,-44.434,-42.480,-71.777
1687767138.225,-44.434,-60.547,-49.805,-50.293,-59.570
1687767138.229,-72.266,-41.992,-54.688,-88.867,-129.395
1687767138.233,-85.938,-48.828,-59.570,-96.680,-136.719
1687767138.237,-85.449,-55.176,-63.965,-104.492,-17.578
1687767138.241,-99.121,-52.734,-65.430,-120.117,130.859
1687767138.245,-113.770,-57.617,-67.383,-141.113,68.359
1687767138.248,-103.027,-62.988,-62.988,-132.812,-52.246
1687767138.252,-87.402,-59.082,-59.082,-108.887,-119.629
1687767138.256,-66.406,-55.176,-60.059,-106.934,223.633
1687767138.260,-65.918,-54.688,-51.758,-97.168,330.566
1687767138.264,-81.055,-54.199,-45.410,-99.121,-45.410
1687767138.268,-52.246,-49.316,-20.020,-89.844,-80.078
1687767138.272,-44.922,-55.176,-26.367,-88.867,57.129
1687767138.276,-48.828,-49.316,-29.785,-73.242,-32.227
1687767138.279,-67.383,-48.828,-27.832,-73.730,-110.840
1687767138.283,-65.430,-58.594,-23.438,-76.172,-13.184
1687767138.287,-61.523,-56.641,-29.297,-67.383,-40.527
1687767138.291,-62.500,-49.805,-23.438,-71.777,-193.359
1687767138.295,-53.711,-51.758,-21.484,-75.684,-192.871
1687767138.310,-58.594,-55.176,-27.344,-52.734,37.598
1687767138.314,-61.523,-51.270,-23.926,-62.500,21.484
1687767138.318,-61.035,-49.805,-32.227,-80.566,-139.160
1687767138.322,-64.453,-51.758,-41.016,-86.426,-107.910
1687767138.326,-62.500,-54.199,-48.828,-69.336,254.395
1687767138.330,-58.105,-52.246,-39.551,-54.688,273.926
1687767138.334,-57.617,-48.340,-34.180,-75.684,-33.203
1687767138.337,-63.477,-55.176,-45.898,-81.055,-14.648
1687767138.341,-69.336,-64.453,-41.016,-61.035,243.164
1687767138.345,-55.176,-61.523,-28.320,-59.082,148.926
1687767138.349,-52.734,-66.895,-31.250,-67.871,-111.816
1687767138.353,-59.082,-76.660,-35.156,-71.777,-56.152
1687767138.376,-50.293,-71.777,-18.555,-66.895,-0.977
1687767138.380,-45.410,-76.172,-13.672,-62.988,-116.211
1687767138.384,-41.992,-59.082,-27.832,-55.176,-205.078
1687767138.388,-37.109,-94.727,-25.391,-65.918,-126.465
1687767138.392,-32.715,-289.062,-20.508,-87.402,-22.949
1687767138.396,-37.598,-379.395,-18.555,-71.777,-70.312
1687767138.400,-35.645,-364.258,-17.578,-54.199,-1.465
1687767138.403,-45.410,-364.258,-23.926,-74.219,213.867
1687767138.407,-37.598,-354.492,-30.762,-82.520,104.492
1687767138.411,-32.715,-344.727,-36.133,-77.637,-175.781
1687767138.415,-41.016,-328.613,-40.039,-80.566,-184.082
1687767138.419,-18.555,-309.082,-36.133,-62.988,79.590
1687767138.381,-4.395,-291.016,-27.832,-39.551,33.691
1687767138.385,-20.508,-282.227,-32.227,-52.734,-138.184
1687767138.389,-41.504,-278.320,-50.781,-74.219,-71.777
1687767138.393,-41.016,-267.090,-116.211,-72.754,12.207
1687767138.397,-42.480,-250.488,-165.527,-70.312,17.090
1687767138.401,-54.199,-238.770,-173.828,-62.988,-53.223
1687767138.405,-53.223,-234.375,-190.918,-65.918,-3.906
1687767138.408,-59.082,-223.145,-190.430,-75.195,112.305
1687767138.412,-71.289,-214.844,-175.293,-74.219,-1.953
1687767138.416,-74.707,-217.285,-166.992,-69.336,-47.363
1687767138.420,-62.500,-211.426,-162.109,-73.730,1.953
