timestamps,TP9,AF7,AF8,TP10,Right AUX
1687530792.498,-72.266,-35.645,-15.625,-59.082,6.836
1687530792.502,-66.895,-37.598,-16.602,-57.617,23.926
1687530792.506,-70.312,-46.387,-19.043,-58.105,-72.754
1687530792.510,-70.312,-46.387,-19.043,-64.453,9.766
1687530792.514,-70.312,-40.039,-17.090,-60.547,88.379
1687530792.518,-51.270,-40.039,-18.555,-57.129,32.227
1687530792.522,-28.320,-40.039,-20.020,-53.223,-31.250
1687530792.525,-23.438,-36.621,-18.066,-46.387,-72.754
1687530792.529,-30.273,-33.691,-18.066,-46.387,167.480
1687530792.533,-24.414,-29.297,-16.113,-52.246,97.656
1687530792.537,-4.883,-29.785,-15.625,-53.711,-167.969
1687530792.541,-1.953,-37.109,-15.625,-52.246,-152.832
1687530801.483,-8.301,-5.371,-111.816,-50.781,-52.246
1687530801.487,-15.625,-3.906,-105.469,-48.340,85.449
1687530801.491,-27.344,-2.930,-99.609,-48.828,-37.109
1687530801.495,-20.996,-7.324,-102.051,-52.734,-35.645
1687530801.499,-7.812,-12.695,-103.027,-52.734,53.223
1687530801.503,-14.160,-14.160,-95.215,-52.734,99.609
1687530801.507,-25.391,-13.184,-93.262,-56.641,58.594
1687530801.510,-32.715,-16.602,-92.285,-52.246,-20.020
1687530801.514,-22.461,-22.461,-87.402,-42.480,120.605
1687530801.518,-6.836,-23.926,-84.961,-32.227,197.754
1687530801.522,1.465,-19.531,-81.055,-28.809,-46.387
1687530801.526,-10.254,-19.531,-78.125,-27.832,-55.664
1687530814.278,-13.672,-17.090,-39.062,-32.227,0.488
1687530814.282,-76.172,-19.531,-37.109,-76.660,-165.527
1687530814.286,-77.148,-20.020,-34.668,-72.266,-208.008
1687530814.290,-35.156,-23.926,-38.574,-37.598,-44.922
1687530814.294,16.113,-28.809,-35.156,4.395,196.777
1687530814.298,8.789,-26.367,-30.273,-5.859,184.082
1687530814.302,-52.734,-26.367,-28.809,-61.035,10.254
1687530814.305,-77.148,-24.414,-30.273,-73.242,8.789
1687530814.309,-34.668,-21.484,-30.762,-34.668,214.844
1687530814.313,29.785,-20.508,-29.297,17.090,438.965
1687530814.317,27.344,-21.973,-35.645,10.254,231.445
1687530814.321,-38.574,-23.926,-33.691,-31.738,11.719
1687530828.288,-76.660,-32.715,-26.367,-66.406,-57.129
1687530828.292,-34.180,-31.250,-21.973,-23.438,-109.863
1687530828.296,8.789,-30.273,-23.438,3.906,-16.602
1687530828.300,-14.648,-26.855,-21.484,-16.113,35.156
1687530828.304,-79.102,-27.832,-22.949,-57.129,-110.352
1687530828.308,-93.750,-31.250,-28.320,-68.359,-114.258
1687530828.312,-50.781,-37.109,-27.832,-28.320,110.840
1687530828.315,-4.883,-41.992,-27.832,0.488,334.961
1687530828.319,-27.344,-40.527,-26.855,-17.578,209.473
1687530828.323,-82.520,-38.574,-24.414,-52.734,-67.871
1687530828.327,-95.215,-39.062,-26.855,-70.312,-147.949
1687530828.331,-61.035,-41.016,-25.879,-47.363,11.719
1687530978.424,-38.574,-28.809,-35.156,-29.785,-131.348
1687530978.428,-54.688,-31.738,-34.668,-41.504,-68.359
1687530978.432,-59.082,-33.691,-36.133,-53.223,-46.875
1687530978.436,-41.504,-34.180,-34.668,-46.875,-96.191
1687530978.440,-35.645,-31.738,-28.320,-39.551,-121.094
1687530978.444,-38.574,-29.297,-26.367,-36.133,144.043
1687530978.448,-55.176,-28.809,-26.855,-41.504,211.426
1687530978.451,-63.965,-27.832,-27.344,-47.852,-74.707
1687530978.455,-49.316,-25.391,-27.344,-48.340,-146.484
1687530978.459,-39.551,-24.902,-24.902,-47.363,138.672
1687530978.463,-44.922,-30.762,-24.902,-30.273,83.496
1687530978.467,-61.523,-29.297,-27.344,-33.203,-218.262
1687531037.525,-38.086,-19.043,-37.598,-32.227,104.980
1687531037.529,-28.320,-22.461,-35.645,-41.016,-22.461
1687531037.533,-22.461,-24.414,-35.645,-39.062,-174.805
1687531037.537,-28.809,-24.414,-32.227,-24.902,-132.324
1687531037.541,-50.293,-28.320,-33.691,-26.367,-126.953
1687531037.545,-50.293,-26.367,-37.109,-37.598,-69.336
1687531037.549,-34.180,-26.367,-35.645,-43.945,-76.660
1687531037.552,-31.738,-28.320,-41.016,-46.387,-89.355
1687531037.556,-41.016,-32.715,-43.945,-43.945,119.141
1687531037.560,-54.688,-31.738,-37.598,-43.457,-40.039
1687531037.564,-48.828,-26.855,-34.180,-46.387,-199.707
1687531037.568,-29.785,-27.832,-34.668,-43.457,-42.480
1687531037.569,-27.832,-34.180,-35.645,-45.410,-30.273
1687531037.573,-37.109,-33.691,-38.574,-46.387,-178.711
1687531037.577,-55.176,-28.809,-35.156,-41.504,-163.086
1687531037.581,-58.594,-32.715,-30.273,-39.551,12.207
1687531037.585,-36.621,-31.738,-30.273,-41.016,-64.453
1687531037.589,-27.832,-33.203,-36.133,-42.480,-131.836
1687531037.593,-38.086,-40.039,-37.598,-43.945,26.367
1687531037.596,-56.641,-34.180,-35.156,-38.574,177.734
1687531037.600,-58.594,-34.180,-39.062,-36.621,72.266
1687531037.604,-43.945,-34.180,-39.062,-47.852,-84.961
1687531037.608,-30.273,-30.762,-38.086,-48.340,-41.504
1687531037.612,-29.785,-33.691,-37.598,-42.969,115.234
1687531037.616,-47.363,-38.574,-32.227,-40.527,18.555
1687531037.620,-49.805,-33.691,-34.668,-46.875,-175.781
1687531037.624,-28.320,-31.250,-36.621,-51.758,-99.609
1687531037.628,-18.555,-32.715,-33.203,-46.387,44.922
1687531037.632,-25.879,-33.691,-33.203,-42.480,-31.250
1687531037.636,-41.992,-37.109,-28.809,-39.062,-25.391
1687531037.640,-52.734,-39.551,-28.320,-44.434,106.934
1687531037.643,-37.598,-36.133,-30.273,-42.480,228.027
1687531037.647,-22.949,-30.762,-32.715,-37.598,-17.090
