timestamps,TP9,AF7,AF8,TP10,Right AUX
1687734133.034,-63.965,-37.598,-50.293,-33.691,-156.738
1687734133.038,-53.711,-36.133,-47.852,-27.344,-203.613
1687734133.042,3.906,-31.738,-49.805,-24.414,-94.238
1687734133.046,13.672,-33.203,-53.223,-25.879,-27.344
1687734133.050,-26.855,-37.109,-52.246,-37.109,-116.699
1687734133.054,-80.078,-31.250,-49.805,-40.527,-132.812
1687734133.058,-83.008,-30.273,-51.758,-37.598,161.133
1687734133.061,-16.113,-36.133,-52.246,-37.598,283.691
1687734133.065,1.953,-37.109,-53.223,-42.969,-66.406
1687734133.069,-31.738,-35.156,-52.734,-49.316,-118.652
1687734133.073,-70.801,-33.203,-49.805,-54.688,-25.391
1687734133.077,-75.195,-31.250,-53.223,-50.293,-114.258
1687734133.078,-5.371,-28.809,-55.176,-37.109,-213.867
1687734133.082,23.438,-28.809,-54.688,-32.715,-215.332
1687734133.086,-8.789,-29.785,-54.199,-30.762,78.613
1687734133.090,-55.176,-29.785,-54.199,-32.715,141.602
1687734133.094,-71.777,-27.344,-50.781,-37.598,-83.496
1687734133.098,-20.020,-30.762,-50.781,-35.156,-29.785
1687734133.102,14.160,-35.156,-49.316,-23.438,147.949
1687734133.105,-6.348,-35.156,-45.898,-21.484,36.621
1687734133.109,-59.570,-32.227,-45.898,-35.156,-201.172
1687734133.113,-84.473,-29.297,-43.945,-32.715,-89.355
1687734133.117,-23.438,-29.785,-43.457,-22.461,-0.488
1687734133.121,21.484,-27.832,-47.363,-19.531,-110.352
1687734133.125,1.465,-20.996,-50.293,-20.996,-142.090
1687734133.129,-43.945,-20.996,-44.922,-26.367,-83.008
1687734133.133,-75.195,-23.438,-43.945,-31.738,-27.832
1687734133.137,-23.926,-24.902,-45.898,-25.879,-123.535
1687734133.141,23.926,-25.391,-47.852,-22.949,-117.676
1687734133.145,4.883,-24.902,-51.270,-33.691,-36.133
1687734133.149,-41.992,-30.273,-49.316,-40.039,23.438
1687734133.152,-70.312,-28.320,-39.062,-34.180,-13.184
1687734133.156,-21.973,-27.344,-39.062,-17.578,-71.777
1687734133.160,33.691,-26.855,-38.086,-6.836,180.664
1687734133.164,21.484,-32.227,-39.551,-8.789,284.668
1687734133.168,-22.949,-35.645,-45.410,-22.461,-94.727
1687734133.185,-68.848,-32.715,-45.410,-38.574,-208.008
1687734133.189,-43.945,-28.320,-43.945,-34.180,-114.746
1687734133.193,14.648,-22.461,-47.363,-25.391,-45.410
1687734133.197,7.812,-21.484,-50.293,-34.668,-75.684
1687734133.201,-35.645,-24.414,-43.457,-45.410,-131.836
1687734133.205,-84.473,-31.250,-45.898,-50.781,217.285
1687734133.209,-75.684,-37.598,-50.781,-48.828,238.770
1687734133.212,-15.137,-35.156,-49.316,-46.875,-93.750
1687734133.216,-4.883,-35.645,-50.293,-50.293,-120.605
1687734133.220,-46.875,-39.062,-45.898,-47.852,-15.137
1687734133.224,-98.633,-38.086,-41.504,-49.805,-83.008
1687734133.228,-90.820,-38.086,-40.039,-49.805,-166.016
1687734133.229,-24.902,-38.086,-37.598,-42.480,-105.469
1687734133.233,-7.812,-43.945,-36.133,-47.363,-63.965
1687734133.237,-40.039,-50.293,-38.574,-51.270,-141.602
1687734133.241,-87.891,-49.805,-40.039,-53.223,-237.793
1687734133.245,-92.285,-50.781,-41.016,-55.176,-175.781
1687734133.249,-24.414,-50.293,-38.086,-44.922,-26.367
1687734133.253,1.465,-44.922,-35.645,-46.387,-10.254
1687734133.256,-32.227,-41.016,-33.691,-53.711,-84.961
1687734133.260,-85.938,-37.598,-33.203,-58.594,35.156
1687734133.264,-105.957,-40.527,-39.551,-54.688,496.582
1687734133.268,-42.969,-41.992,-48.340,-50.293,311.523
1687734133.272,-4.883,-39.062,-48.828,-53.711,-118.652
1687734133.288,-26.367,-38.086,-44.922,-56.641,-83.496
1687734133.292,-77.148,-34.668,-41.504,-62.988,-120.605
1687734133.296,-96.191,-35.645,-39.062,-70.312,-145.996
1687734133.300,-33.203,-35.156,-36.621,-61.523,-116.699
1687734133.304,0.977,-31.250,-35.156,-49.805,-112.793
1687734133.308,-27.832,-37.109,-39.062,-52.246,-78.125
1687734133.312,-83.496,-44.434,-36.621,-61.035,-28.809
1687734133.315,-114.258,-40.527,-32.227,-66.895,53.223
1687734133.319,-58.594,-37.109,-40.527,-50.781,348.633
1687734133.323,-17.578,-35.156,-41.016,-41.016,256.348
1687734133.327,-35.156,-33.203,-31.250,-48.828,-189.453
1687734133.331,-78.125,-34.180,-35.645,-53.711,-171.387
1687734133.318,-107.910,-35.645,-36.133,-54.688,-72.266
1687734133.322,-60.059,-35.645,-33.691,-47.363,-179.688
1687734133.326,-9.766,-33.691,-39.551,-42.480,-239.258
1687734133.330,-26.367,-37.109,-40.039,-46.875,-105.957
1687734133.334,-72.266,-36.133,-38.574,-54.199,-109.863
1687734133.338,-107.910,-31.738,-38.086,-59.570,-163.574
1687734133.342,-71.289,-34.180,-39.062,-53.711,-28.320
1687734133.345,-14.160,-27.344,-39.551,-45.410,4.395
1687734133.349,-16.113,-29.785,-38.574,-46.875,-88.379
1687734133.353,-57.129,-38.086,-42.969,-53.711,-98.145
1687734133.357,-103.027,-37.598,-43.457,-66.406,-67.383
1687734133.361,-75.684,-34.180,-39.551,-58.105,81.543
1687734133.363,-12.207,-27.344,-35.645,-39.062,385.742
1687734133.367,-8.789,-34.180,-38.574,-48.340,157.227
1687734133.371,-51.758,-41.016,-40.039,-64.941,-101.074
1687734133.375,-100.586,-36.133,-41.016,-68.848,-83.984
1687734133.379,-83.496,-33.691,-43.945,-60.547,-174.316
1687734133.383,-14.648,-33.203,-50.293,-44.434,-86.426
1687734133.387,1.953,-28.809,-49.316,-39.062,70.801
1687734133.390,-35.156,-27.832,-41.504,-40.527,228.027
1687734133.394,-83.984,-30.762,-37.598,-46.875,76.172
1687734133.398,-77.148,-27.832,-29.785,-43.945,-187.988
1687734133.402,-14.648,-25.879,-30.273,-38.086,-133.301
1687734133.406,1.465,-37.598,-37.598,-42.480,-81.055
1687734133.410,-28.809,-41.504,-36.133,-42.480,-105.469
1687734133.414,-79.590,-39.551,-33.203,-48.828,-170.410
1687734133.418,-88.867,-37.109,-33.691,-49.316,-37.109
1687734133.422,-16.113,-31.738,-35.645,-34.180,28.320
1687734133.426,15.625,-25.391,-34.180,-29.785,-111.816
1687734133.430,-23.438,-30.762,-36.133,-47.363,-52.246
1687734133.434,-81.543,-39.551,-41.992,-62.500,183.105
1687734133.437,-87.402,-31.250,-41.992,-52.246,238.281
1687734133.441,-23.926,-30.762,-41.016,-45.410,-88.867
1687734133.445,6.348,-32.227,-37.598,-46.387,-96.680
1687734133.449,-15.137,-27.344,-35.156,-41.992,137.207
1687734133.453,-67.383,-31.250,-37.598,-47.363,66.406
1687734133.455,-92.285,-34.668,-39.551,-56.641,-124.512
1687734133.459,-36.133,-31.738,-38.574,-46.387,-89.844
1687734133.463,0.977,-34.180,-38.574,-38.574,-47.852
1687734133.467,-20.996,-41.016,-43.457,-43.945,-105.469
1687734133.471,-69.336,-42.480,-41.016,-45.898,-143.066
1687734133.475,-102.051,-40.039,-37.598,-46.875,-43.457
1687734133.479,-49.805,-33.691,-41.504,-36.621,244.629
1687734133.482,2.441,-30.762,-38.574,-28.320,184.570
1687734133.486,-7.324,-30.762,-35.645,-42.480,-166.504
1687734133.490,-52.246,-27.344,-35.156,-50.781,-101.074
1687734133.494,-89.844,-34.180,-37.109,-47.852,-51.270
1687734133.498,-49.316,-38.574,-42.969,-36.133,-92.773
1687734133.498,1.953,-30.762,-43.945,-32.227,-102.539
1687734133.502,-13.184,-33.691,-44.922,-45.898,-95.703
1687734133.506,-62.500,-37.109,-46.387,-56.641,-102.051
1687734133.510,-103.027,-35.645,-48.340,-62.012,-134.766
1687734133.514,-68.848,-31.738,-45.410,-55.664,-136.230
1687734133.518,-8.301,-34.668,-47.363,-49.316,29.297
1687734133.522,-14.160,-38.086,-50.293,-51.270,191.406
1687734133.525,-52.734,-33.691,-45.898,-61.523,-47.852
1687734133.529,-89.844,-35.645,-39.062,-70.801,-217.773
1687734133.533,-65.918,-37.598,-37.598,-60.059,60.059
1687734133.537,2.930,-34.180,-40.039,-49.805,146.973
1687734133.541,11.230,-31.738,-40.039,-56.641,-113.770
1687734133.558,-21.973,-33.691,-41.992,-62.012,-153.809
1687734133.562,-65.918,-32.227,-39.062,-61.035,-1.953
1687734133.566,-60.059,-34.180,-32.227,-50.781,15.137
1687734133.570,-3.906,-37.598,-34.180,-39.551,-187.012
1687734133.574,-1.953,-36.621,-41.504,-40.039,-154.785
1687734133.578,-44.434,-35.645,-42.480,-43.457,-22.949
1687734133.582,-94.727,-39.062,-37.598,-48.828,-21.973
