timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767380.395,-49.316,-25.391,-37.598,-33.203,-171.387
1687767380.399,-38.574,-30.273,-46.387,-33.203,-175.781
1687767380.403,-28.320,-32.715,-49.805,-30.273,-97.168
1687767380.407,-26.367,-24.902,-44.922,-21.973,-108.887
1687767380.411,-31.738,-13.672,-43.457,-35.156,-88.867
1687767380.415,-25.391,-10.742,-39.551,-42.480,-18.066
1687767380.419,-19.531,-3.418,-41.016,-29.297,145.020
1687767380.422,-28.809,-1.465,-50.293,-31.250,298.340
1687767380.426,-31.250,-11.230,-58.594,-54.199,-4.883
1687767380.430,-39.551,-20.996,-58.105,-71.777,-167.969
1687767380.434,-49.805,-22.949,-46.387,-61.523,-9.766
1687767380.438,-39.551,-18.066,-43.945,-49.316,77.637
1687767380.440,-20.020,-14.160,-50.293,-46.875,-44.922
1687767380.444,-19.043,-18.555,-42.480,-40.527,-116.699
1687767380.448,-24.902,-23.926,-43.457,-30.762,35.156
1687767380.452,-20.020,-13.184,-45.898,-34.180,-23.438
1687767380.456,-14.160,-8.789,-37.598,-32.227,-136.230
1687767380.460,-15.625,-12.207,-40.527,-32.227,27.832
1687767380.464,-33.691,-20.508,-48.828,-32.227,298.828
1687767380.467,-40.527,-24.414,-50.781,-26.855,64.453
1687767380.471,-41.504,-20.508,-51.270,-36.621,-213.379
1687767380.475,-40.527,-15.137,-50.293,-33.203,-125.000
1687767380.479,-33.203,-14.648,-49.316,-20.508,-28.809
1687767380.483,-40.039,-19.043,-49.805,-28.320,-103.516
1687767380.500,-45.410,-22.949,-56.152,-41.504,-202.148
1687767380.504,-37.109,-24.902,-67.871,-38.574,-134.277
1687767380.508,-27.344,-16.602,-56.152,-28.809,27.344
1687767380.512,-24.902,-13.184,-48.828,-39.062,-62.500
1687767380.516,-27.344,-17.578,-50.781,-36.621,-157.227
1687767380.520,-24.902,-18.066,-52.246,-18.066,-12.207
1687767380.524,-29.785,-20.996,-57.617,-27.832,192.871
1687767380.527,-27.344,-22.461,-54.199,-41.992,62.500
1687767380.531,-5.859,-18.555,-43.945,-39.062,-122.070
1687767380.535,-19.043,-14.648,-43.945,-29.785,-17.090
1687767380.539,-36.621,-23.438,-52.246,-26.855,66.406
1687767380.543,-22.949,-29.785,-43.457,-32.227,-39.062
1687767380.545,-24.414,-23.438,-39.551,-48.828,-89.844
1687767380.549,-26.855,-20.996,-47.852,-34.180,66.406
1687767380.553,-23.926,-20.508,-51.270,-31.250,108.398
1687767380.557,-20.996,-17.578,-41.992,-44.434,-107.422
1687767380.561,-33.691,-27.832,-42.969,-45.898,-61.523
1687767380.565,-38.574,-34.668,-52.734,-42.480,91.797
1687767380.569,-41.504,-35.645,-49.316,-49.316,84.473
1687767380.572,-42.969,-35.156,-47.363,-52.246,-81.055
1687767380.576,-38.086,-34.180,-55.664,-46.387,-152.344
