timestamps,TP9,AF7,AF8,TP10,Right AUX
1687766876.605,-53.711,-42.969,-19.531,-26.367,39.551
1687766876.609,-55.176,-46.875,-29.785,-28.809,-43.945
1687766876.613,-57.129,-61.035,-42.969,-40.527,124.512
1687766876.617,-52.734,-64.453,-27.344,-38.086,184.082
1687766876.621,-50.293,-45.898,-22.949,-38.086,-28.809
1687766876.625,-37.109,-45.410,-34.180,-23.438,170.898
1687766876.629,-39.551,-59.570,-30.762,-21.484,265.625
1687766876.632,-32.715,-56.641,-28.809,-34.668,145.508
1687766876.636,-31.250,-48.828,-30.762,-30.273,51.270
1687766876.640,-44.922,-55.176,-40.527,-15.137,8.789
1687766876.644,-51.758,-62.500,-44.434,-28.809,154.785
1687766876.648,-38.086,-53.711,-40.039,-43.945,51.758
1687766876.650,-26.855,-48.828,-40.527,-38.574,-79.102
1687766876.654,-28.320,-52.734,-36.621,-34.668,-11.719
1687766876.658,-35.156,-60.059,-45.410,-36.621,12.695
1687766876.662,-46.387,-66.406,-45.410,-40.039,-25.879
1687766876.666,-36.133,-65.918,-22.461,-43.457,-62.012
1687766876.670,-8.789,-55.176,-20.508,-47.363,75.684
1687766876.674,-3.418,-55.664,-42.969,-52.246,138.184
1687766876.677,-9.277,-60.059,-50.293,-50.781,27.344
1687766876.681,-21.484,-54.688,-41.016,-41.016,42.480
1687766876.685,-51.270,-61.523,-35.645,-43.457,307.129
1687766876.689,-56.641,-60.547,-28.809,-36.621,498.047
1687766876.693,-57.617,-60.547,-23.926,-34.668,149.414
1687766876.710,-71.777,-66.406,-28.809,-43.457,-76.172
1687766876.714,-61.523,-57.617,-33.203,-42.480,-25.391
1687766876.718,-53.711,-57.617,-29.785,-33.203,-24.414
1687766876.722,-56.152,-52.246,-16.113,-20.020,-39.062
1687766876.726,-61.035,-54.688,-23.438,-25.391,-37.598
1687766876.730,-73.730,-76.660,-44.434,-34.180,102.051
1687766876.734,-76.172,-86.426,-43.945,-41.016,64.941
1687766876.737,-65.430,-73.730,-41.016,-56.152,10.254
1687766876.741,-52.246,-59.570,-38.574,-48.828,125.000
1687766876.745,-43.945,-54.199,-33.691,-42.969,231.934
1687766876.749,-45.410,-56.641,-34.668,-58.594,142.090
1687766876.753,-42.969,-57.617,-32.227,-56.641,22.461
1687766876.755,-46.387,-54.199,-31.738,-53.223,115.234
1687766876.759,-33.691,-45.898,-23.926,-41.016,185.059
1687766876.763,-11.719,-45.898,-22.461,-37.598,34.180
1687766876.767,-8.789,-62.012,-38.574,-40.039,6.348
1687766876.771,-23.926,-66.895,-51.758,-43.457,81.543
1687766876.775,-33.691,-65.430,-48.340,-51.758,100.098
1687766876.779,-18.555,-60.059,-38.574,-40.039,64.453
1687766876.782,-13.184,-49.805,-34.180,-32.715,97.168
1687766876.786,-16.113,-53.711,-46.875,-49.316,232.422
1687766876.790,-32.227,-56.152,-50.781,-55.176,361.328
1687766876.794,-54.688,-58.594,-41.016,-52.246,91.309
1687766876.798,-48.340,-57.617,-41.992,-43.945,-98.633
1687766876.800,-43.457,-49.805,-45.410,-30.762,34.180
1687766876.804,-43.457,-58.594,-45.898,-38.086,46.387
1687766876.808,-62.500,-73.730,-63.965,-57.129,-85.938
1687766876.812,-80.566,-63.965,-72.754,-62.988,-54.199
1687766876.816,-68.848,-54.688,-62.500,-55.176,34.668
1687766876.820,-67.871,-68.359,-69.336,-45.898,33.691
1687766876.824,-75.684,-69.824,-60.059,-56.152,56.641
1687766876.827,-70.312,-63.477,-45.410,-62.988,65.918
1687766876.831,-58.594,-61.523,-47.363,-54.199,188.965
1687766876.835,-51.270,-58.105,-50.781,-52.734,69.336
1687766876.839,-41.504,-49.805,-40.039,-53.223,-31.738
