timestamps,TP9,AF7,AF8,TP10,Right AUX
1687768889.204,-48.828,-61.035,-21.484,-54.688,-76.660
1687768889.208,-36.621,-49.316,-21.484,-59.082,-95.215
1687768889.212,-53.711,-49.805,-22.461,-53.711,-94.238
1687768889.216,-69.824,-49.316,-24.902,-56.641,-133.301
1687768889.220,-61.035,-47.852,-22.461,-66.895,-109.863
1687768889.224,-56.152,-48.828,-19.043,-64.453,-41.504
1687768889.228,-49.805,-49.805,-22.949,-64.453,107.422
1687768889.231,-66.895,-52.734,-23.438,-71.289,386.230
1687768889.235,-78.613,-53.711,-20.508,-67.871,80.566
1687768889.239,-60.059,-52.246,-19.043,-64.453,-138.184
1687768889.243,-43.945,-49.805,-19.043,-67.383,70.312
1687768889.247,-50.293,-46.387,-20.508,-70.312,15.625
1687768889.248,-52.246,-45.898,-21.973,-65.918,-195.801
1687768889.252,-54.199,-48.340,-19.043,-64.453,-91.309
1687768889.256,-50.781,-48.828,-16.113,-57.617,104.492
1687768889.260,-39.062,-50.781,-22.461,-44.434,-12.695
1687768889.264,-32.227,-47.363,-24.414,-40.527,-169.922
1687768889.268,-31.250,-41.992,-21.973,-51.270,-157.715
1687768889.272,-32.715,-40.527,-19.043,-52.734,229.492
1687768889.275,-22.949,-42.969,-13.672,-40.039,248.047
1687768889.279,-27.832,-41.992,-12.207,-35.156,-89.844
1687768889.283,-35.645,-38.086,-15.625,-31.738,-51.270
1687768889.287,-31.250,-41.992,-17.578,-25.879,97.168
1687768889.291,-33.203,-42.480,-15.625,-21.973,-87.891
1687768889.293,-35.645,-41.992,-13.672,-20.996,-190.430
1687768889.297,-22.461,-42.969,-12.695,-21.973,-115.723
1687768889.301,-19.043,-44.434,-11.230,-26.855,-78.125
1687768889.305,-36.621,-47.363,-19.043,-40.527,-127.930
1687768889.309,-39.062,-43.457,-22.949,-42.969,-136.719
1687768889.313,-37.109,-41.504,-20.996,-37.109,14.160
1687768889.317,-38.574,-38.574,-21.484,-38.086,71.777
1687768889.320,-41.504,-39.551,-22.461,-46.387,-96.191
1687768889.324,-53.223,-44.922,-26.367,-43.457,-154.785
1687768889.328,-51.270,-45.410,-23.438,-41.504,-26.855
1687768889.332,-43.945,-41.992,-22.461,-41.504,9.277
1687768889.336,-42.969,-41.016,-25.391,-38.086,-74.707
1687768889.353,-48.828,-49.316,-30.762,-39.551,-21.484
1687768889.357,-58.594,-53.711,-34.180,-41.504,175.781
1687768889.361,-43.945,-41.016,-23.926,-44.922,155.273
1687768889.365,-34.180,-37.598,-21.973,-46.387,-23.438
1687768889.369,-53.223,-41.504,-24.902,-51.270,-47.363
1687768889.373,-50.781,-40.527,-24.414,-46.387,-12.207
1687768889.377,-57.129,-37.598,-25.391,-41.992,4.883
1687768889.380,-63.477,-37.109,-25.391,-50.781,-111.328
1687768889.384,-55.664,-41.504,-25.879,-49.805,-126.465
1687768889.388,-48.828,-43.945,-27.832,-45.898,99.121
1687768889.392,-53.223,-44.922,-27.832,-59.082,17.090
1687768889.396,-66.406,-42.480,-26.855,-62.012,-147.461
