timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767828.850,-6.836,-31.738,-37.598,-39.062,-189.453
1687767828.854,-20.508,-31.738,-40.527,-48.828,-129.395
1687767828.858,-27.344,-28.809,-40.039,-48.828,-113.281
1687767828.862,-20.996,-30.273,-38.574,-41.016,-128.418
1687767828.866,-17.090,-35.156,-32.715,-42.480,-116.699
1687767828.870,-29.297,-26.367,-27.344,-49.805,104.492
1687767828.874,-39.062,-19.531,-24.414,-38.086,383.301
1687767828.877,-34.668,-22.461,-19.531,-32.227,42.969
1687767828.881,-32.715,-14.160,-22.461,-43.457,-222.168
1687767828.885,-37.109,-8.789,-57.129,-58.594,-79.590
1687767828.889,-44.434,2.930,-35.645,-46.875,-45.898
1687767828.893,-80.078,23.926,-19.531,-71.289,-222.168
1687767828.893,-80.078,23.926,-19.531,-71.289,-222.168
1687767828.910,-98.633,6.348,-21.973,-113.770,-228.027
1687767828.914,-89.844,0.000,-11.230,-119.629,-30.762
1687767828.918,-112.305,15.137,-48.828,-139.160,-51.758
1687767828.922,-156.250,36.133,-53.711,-197.266,-182.129
1687767828.926,-137.695,69.336,-40.039,-217.773,-127.441
1687767828.930,-117.188,29.297,-57.129,-209.961,17.578
1687767828.934,-105.957,20.020,-89.355,-232.422,47.363
1687767828.937,-74.219,34.668,-88.379,-237.305,8.789
1687767828.941,-71.289,21.484,-86.426,-236.816,-77.637
1687767828.945,-76.172,25.879,-98.145,-236.328,90.820
1687767828.949,-88.379,21.484,-110.352,-245.117,104.004
1687767828.953,-89.844,13.672,-117.676,-249.023,-102.051
1687767828.955,-68.848,3.418,-136.230,-243.164,-79.102
1687767828.959,-57.129,-13.672,-153.320,-233.398,-94.238
1687767828.963,-83.008,-5.371,-157.227,-241.211,-177.246
1687767828.967,-105.469,15.137,-169.434,-250.000,-224.609
1687767828.971,-76.660,51.758,-157.227,-214.355,-160.156
1687767828.975,-66.406,63.477,-133.789,-200.195,-58.594
1687767828.979,-70.801,52.734,-138.672,-202.148,-75.195
1687767828.982,-91.797,53.223,-146.484,-221.191,-80.566
1687767828.986,-118.652,57.129,-137.695,-232.422,-48.340
1687767828.990,-111.816,60.547,-133.789,-205.566,281.250
1687767828.994,-89.844,63.477,-125.488,-192.871,156.738
1687767828.998,-83.496,59.570,-105.469,-192.383,-85.938
1687767829.000,-84.961,46.387,-90.332,-178.223,71.289
1687767829.004,-80.078,43.457,-71.289,-166.504,81.055
1687767829.008,-63.965,41.992,-52.734,-160.156,-122.070
1687767829.012,-40.039,35.645,-41.016,-131.836,-130.371
1687767829.016,-11.719,38.086,-27.832,-103.516,-64.453
1687767829.020,-10.742,36.621,-17.090,-97.656,-79.102
1687767829.024,-4.395,27.832,-7.324,-87.402,-122.559
1687767829.027,26.855,17.090,-0.488,-76.172,-77.637
1687767829.031,33.203,3.418,8.789,-58.105,172.363
1687767829.035,40.039,-2.441,14.648,-44.922,127.441
1687767829.039,44.922,-9.766,14.648,-41.504,-69.824
1687767829.043,33.203,-13.672,20.508,-35.645,-41.992
1687767829.046,51.270,-9.766,31.250,-27.832,12.695
1687767829.050,77.148,-25.879,38.086,-15.625,-19.531
1687767829.054,86.914,-37.598,37.109,0.000,-45.410
1687767829.058,91.309,-33.203,41.016,-0.977,-51.758
1687767829.062,68.359,-47.363,46.387,-16.113,-36.621
1687767829.066,68.848,-47.363,43.457,-10.742,-10.254
1687767829.070,91.309,-40.039,42.480,3.906,-88.379
1687767829.073,90.332,-44.434,39.551,12.695,30.273
1687767829.077,83.008,-42.480,37.109,19.043,200.195
1687767829.081,73.730,-47.852,40.039,11.230,-44.922
1687767829.085,77.148,-53.223,37.598,12.695,-22.461
1687767829.089,88.867,-57.129,29.785,30.762,121.582
1687767829.091,97.656,-60.059,29.785,44.434,13.672
1687767829.095,98.633,-56.152,33.691,46.875,-67.871
1687767829.099,87.402,-57.129,32.227,40.039,12.695
1687767829.103,88.379,-59.570,29.785,35.645,98.145
1687767829.107,99.609,-58.105,23.926,42.480,56.152
1687767829.111,109.375,-56.152,18.555,54.199,21.484
1687767829.115,103.516,-55.176,16.602,52.246,4.883
1687767829.118,76.172,-60.547,15.137,47.363,174.316
1687767829.122,81.055,-58.594,18.555,52.246,199.219
1687767829.126,97.656,-56.152,15.625,46.387,-85.449
1687767829.130,93.262,-60.547,13.184,43.457,-100.098
1687767829.134,86.426,-54.199,13.184,43.457,-38.086
1687767829.135,72.266,-52.734,11.719,38.086,-44.434
1687767829.139,59.570,-60.547,14.648,32.715,-93.750
1687767829.143,62.500,-63.477,15.137,32.715,-113.770
1687767829.147,71.289,-62.500,12.207,34.668,-93.262
1687767829.151,63.477,-60.059,12.695,32.715,-43.945
1687767829.155,43.457,-55.176,14.160,25.391,18.066
1687767829.159,36.621,-48.340,11.230,27.832,90.820
1687767829.162,39.062,-48.340,7.812,34.180,203.613
1687767829.166,56.152,-49.316,7.324,26.855,3.906
1687767829.170,68.359,-49.316,4.883,19.043,-121.582
1687767829.174,47.852,-49.316,4.395,18.066,42.480
1687767829.178,33.691,-47.363,0.488,7.812,-5.859
1687767829.180,44.922,-46.875,-1.465,0.977,-196.289
1687767829.184,65.918,-44.922,-0.977,5.371,-135.742
1687767829.188,75.684,-43.457,-4.395,12.695,-1.953
1687767829.192,59.570,-43.457,-4.883,7.812,-49.805
1687767829.196,40.527,-42.480,-0.977,0.000,-180.664
1687767829.200,36.621,-42.480,0.000,0.000,-67.871
1687767829.204,41.992,-44.922,-0.488,8.301,286.133
1687767829.207,46.875,-46.387,0.977,6.836,115.723
1687767829.211,34.668,-43.945,-0.488,-12.207,-123.047
1687767829.215,15.625,-43.457,-8.301,-20.996,-70.801
1687767829.219,13.672,-42.969,-9.766,-2.930,115.723
1687767829.223,26.367,-42.480,-4.883,8.301,13.672
1687767829.225,36.133,-43.945,-15.137,0.000,-152.832
1687767829.229,34.180,-41.016,-20.996,-11.719,-175.781
1687767829.233,23.926,-38.086,-19.531,-25.391,-151.367
1687767829.237,24.902,-36.621,-20.996,-29.785,-112.793
1687767829.241,37.598,-34.668,-24.902,-26.367,-108.398
1687767829.245,52.246,-36.133,-26.855,-23.438,51.270
1687767829.249,50.781,-33.203,-22.949,-24.902,196.777
1687767829.252,37.598,-24.902,-21.973,-34.668,-60.547
1687767829.256,35.645,-28.320,-21.484,-36.621,-226.074
1687767829.260,45.898,-33.691,-19.531,-23.926,27.344
1687767829.264,50.781,-29.785,-21.484,-9.766,202.148
