timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767601.077,967.773,-43.945,-16.113,143.555,-12.207
1687767601.081,968.262,-45.410,-20.996,145.020,-98.633
1687767601.085,968.262,-46.387,-25.879,161.133,-1.953
1687767601.089,968.262,-42.969,-23.926,168.457,15.137
1687767601.093,968.262,-45.410,-26.367,174.316,-71.777
1687767601.097,968.262,-44.922,-29.785,168.457,-29.297
1687767601.101,968.262,-44.434,-31.738,164.062,230.957
1687767601.104,968.262,-45.410,-27.344,171.875,271.484
1687767601.108,967.773,-46.875,-19.043,191.895,-76.660
1687767601.112,968.262,-54.199,-15.625,201.660,-41.992
1687767601.116,967.773,-51.270,-19.531,190.918,153.809
1687767601.120,967.773,-47.852,-21.484,187.500,23.438
1687767601.120,967.773,-47.852,-21.484,187.500,23.438
1687767601.121,968.262,-53.223,-30.762,164.551,-137.695
1687767601.125,967.285,-50.293,-31.738,164.551,42.969
1687767601.129,962.891,-53.223,-34.668,170.410,88.379
1687767601.132,975.586,-56.152,-32.227,161.133,2.930
1687767601.136,874.023,-60.059,-34.668,136.719,-112.305
1687767601.140,671.875,-61.035,-30.273,137.207,12.695
1687767601.144,572.754,-61.523,-20.508,156.250,230.469
1687767601.148,547.852,-62.988,-20.996,156.738,2.930
1687767601.165,525.879,-63.477,-20.996,142.578,-149.902
1687767601.169,495.605,-57.129,-16.602,131.836,-128.906
1687767601.173,459.473,-57.617,-19.531,125.488,-155.762
1687767601.177,450.195,-64.453,-25.391,118.652,-218.750
1687767601.181,462.402,-62.500,-24.414,114.258,-160.645
1687767601.185,470.703,-50.781,-19.531,104.004,88.379
1687767601.189,465.820,-43.457,-13.184,81.055,34.668
1687767601.192,436.523,-50.293,-9.766,53.711,-80.566
1687767601.196,437.012,-49.805,-10.742,52.246,-59.570
1687767601.200,472.656,-48.828,-11.719,69.336,170.898
1687767601.204,475.586,-50.293,-14.648,49.805,255.371
1687767601.208,445.312,-45.410,-16.113,16.602,-50.293
1687767601.210,424.805,-48.340,-12.695,28.809,-45.410
1687767601.214,421.875,-52.246,-13.184,39.062,51.758
1687767601.218,428.711,-52.734,-17.090,6.836,-96.191
1687767601.222,424.805,-57.617,-17.090,-27.344,-109.375
1687767601.226,411.133,-55.176,-20.508,-32.227,-74.707
1687767601.230,391.602,-56.152,-33.203,-50.293,-125.977
1687767601.234,382.812,-61.523,-37.109,-65.918,-97.656
1687767601.237,394.531,-61.523,-38.574,-66.895,-124.512
1687767601.241,398.926,-57.129,-43.945,-86.426,20.508
1687767601.245,404.785,-52.734,-42.969,-94.238,130.859
1687767601.249,398.926,-56.152,-39.551,-105.957,-139.648
1687767601.253,400.879,-58.594,-36.133,-109.375,-193.848
1687767601.255,420.898,-57.617,-42.969,-79.102,-42.969
1687767601.259,427.246,-62.012,-49.805,-93.262,19.043
1687767601.263,418.945,-67.383,-51.758,-107.422,-83.984
1687767601.267,387.695,-75.684,-54.688,-99.609,-177.246
1687767601.271,375.000,-81.055,-54.688,-127.441,-198.730
1687767601.275,393.066,-78.125,-52.246,-126.953,-130.859
1687767601.279,413.086,-75.684,-45.898,-96.680,-27.344
1687767601.282,414.062,-70.801,-45.898,-110.840,-31.250
1687767601.286,392.578,-68.848,-47.852,-138.672,75.684
1687767601.290,372.070,-70.312,-43.945,-141.602,13.672
1687767601.294,395.996,-62.988,-34.180,-123.047,-105.469
1687767601.298,418.945,-61.523,-27.344,-111.328,0.977
1687767601.300,418.457,-66.406,-29.785,-96.680,179.688
1687767601.304,413.086,-65.430,-33.203,-86.914,17.578
1687767601.308,403.320,-62.500,-37.109,-108.398,-201.660
1687767601.312,412.598,-56.152,-37.109,-105.469,-112.305
1687767601.316,437.988,-50.781,-29.297,-84.961,-64.453
1687767601.320,446.777,-51.758,-27.344,-96.191,-78.125
1687767601.324,408.203,-53.223,-27.344,-114.746,-111.816
1687767601.327,368.164,-55.664,-32.227,-119.629,50.781
1687767601.331,348.145,-52.246,-36.133,-112.793,182.617
1687767601.335,345.703,-55.664,-37.109,-125.000,-15.137
1687767601.339,373.047,-53.711,-35.645,-123.047,-58.594
1687767601.343,369.629,-52.246,-34.668,-122.559,-69.336
1687767601.346,359.375,-52.246,-31.738,-132.324,-182.617
1687767601.350,369.629,-43.457,-19.531,-141.602,-177.734
1687767601.354,394.531,-42.969,-9.277,-145.508,-5.371
1687767601.358,406.738,-48.340,-16.602,-150.391,91.797
1687767601.362,395.508,-53.223,-22.461,-145.020,-44.434
1687767601.366,387.207,-52.734,-22.461,-140.137,-84.961
1687767601.370,389.648,-55.664,-27.344,-143.066,54.199
1687767601.373,407.715,-52.734,-32.715,-148.438,112.305
1687767601.377,413.086,-48.340,-35.156,-152.832,-3.418
1687767601.381,406.250,-48.340,-36.133,-153.320,-137.207
1687767601.385,387.207,-48.828,-37.598,-157.715,-17.578
1687767601.389,378.906,-45.410,-33.691,-144.043,366.211
1687767601.390,401.855,-42.969,-25.391,-133.301,201.660
1687767601.394,419.434,-32.715,-22.949,-128.418,-163.574
1687767601.398,418.457,-20.996,-23.438,-114.746,-103.027
1687767601.402,396.973,-23.926,-22.949,-124.512,-70.312
1687767601.406,369.141,-41.016,-27.344,-133.789,-86.426
1687767601.410,381.836,-47.363,-32.715,-126.465,-28.320
1687767601.414,400.391,-40.527,-33.691,-116.699,175.293
1687767601.417,375.977,-39.062,-35.156,-125.000,356.934
1687767601.421,345.215,-40.039,-33.203,-147.461,44.922
1687767601.425,343.262,-41.992,-33.691,-162.598,-201.172
1687767601.429,355.957,-47.363,-33.203,-162.109,-126.465
1687767601.433,367.676,-46.387,-30.273,-172.852,-108.887
1687767601.435,356.934,-43.457,-35.645,-194.336,-171.387
1687767601.439,331.055,-42.480,-34.180,-195.801,-192.871
1687767601.443,319.336,-38.086,-32.227,-193.848,-106.934
1687767601.447,324.219,-39.062,-37.109,-196.777,-119.141
1687767601.451,336.914,-40.039,-38.086,-196.289,-195.801
1687767601.455,333.496,-39.062,-36.133,-193.359,-99.121
1687767601.459,308.105,-39.062,-36.621,-184.082,205.078
1687767601.462,293.945,-38.574,-36.133,-191.895,188.477
1687767601.466,312.012,-36.133,-32.227,-201.172,-84.961
1687767601.470,319.824,-33.203,-28.809,-179.199,-98.633
1687767601.474,312.500,-26.855,-27.832,-154.297,165.039
1687767601.478,292.480,-23.438,-32.227,-157.227,115.234
1687767601.480,278.320,-22.461,-31.250,-153.320,-149.414
1687767601.484,288.086,-19.531,-24.902,-123.047,-60.059
1687767601.488,286.133,-20.508,-26.855,-120.117,33.203
1687767601.492,265.625,-23.438,-28.809,-116.211,-124.023
1687767601.496,231.445,-21.484,-21.484,-99.609,-169.434
1687767601.500,184.570,-24.902,-20.020,-96.191,19.531
1687767601.504,248.535,-33.691,-28.809,-91.797,70.312
1687767601.507,-194.824,-35.645,-33.691,-89.355,-90.820
1687767601.511,-920.410,-40.039,-31.250,-75.684,-231.445
1687767601.515,-1000.000,-38.086,-22.949,-75.684,31.738
1687767601.519,-980.469,-32.715,-18.555,-75.195,196.777
1687767601.523,-1000.000,-34.180,-18.066,-64.453,-148.926
1687767601.585,-1000.000,-39.062,-20.508,-63.477,-185.059
1687767601.589,-1000.000,-43.457,-20.508,-65.430,-83.984
1687767601.593,-1000.000,-45.410,-20.508,-62.500,-135.742
1687767601.597,-1000.000,-32.715,-28.809,-70.801,-162.598
1687767601.601,-1000.000,-22.461,-31.250,-82.520,-116.211
1687767601.605,-1000.000,-30.762,-29.785,-84.961,-5.371
1687767601.609,-1000.000,-40.039,-25.391,-85.449,34.180
1687767601.612,-1000.000,-38.574,-24.902,-85.449,-98.633
1687767601.616,-1000.000,-41.016,-28.809,-94.727,-122.559
1687767601.620,-1000.000,-42.969,-27.832,-96.191,18.555
1687767601.624,-1000.000,-34.668,-26.367,-90.820,-26.855
1687767601.628,-1000.000,-36.133,-29.297,-81.055,-84.961
1687767601.603,-1000.000,-49.316,-32.227,-85.938,23.438
1687767601.607,-1000.000,-47.852,-28.809,-107.910,37.109
1687767601.611,-1000.000,-36.621,-25.391,-103.027,-173.828
1687767601.615,-1000.000,-34.180,-24.414,-92.285,-277.832
1687767601.619,-1000.000,-40.527,-22.461,-88.867,-68.848
1687767601.623,-1000.000,-43.945,-18.066,-88.867,29.785
1687767601.627,-1000.000,-40.039,-12.207,-104.004,-134.766
1687767601.630,-1000.000,-34.180,-12.207,-106.934,-208.496
1687767601.634,-1000.000,-33.203,-21.973,-100.586,-57.129
1687767601.638,-1000.000,-35.645,-23.926,-90.332,62.500
1687767601.642,-1000.000,-34.180,-19.531,-94.727,-149.902
1687767601.646,-1000.000,-31.250,-19.531,-98.633,-182.617
1687767601.630,-1000.000,-29.297,-20.996,-85.938,-118.164
1687767601.634,-1000.000,-27.832,-13.672,-75.195,-55.664
1687767601.638,-1000.000,-37.109,-13.184,-77.148,-136.719
1687767601.642,-1000.000,-41.504,-20.020,-84.961,-151.855
1687767601.646,-1000.000,-39.062,-18.066,-85.938,-75.684
1687767601.650,-1000.000,-34.668,-15.137,-87.891,-115.234
1687767601.654,-1000.000,-30.273,-17.090,-93.262,-124.512
1687767601.657,-1000.000,-29.785,-20.020,-94.727,-64.453
1687767601.661,-1000.000,-30.273,-20.508,-89.844,57.617
1687767601.665,-1000.000,-35.645,-21.973,-89.844,-27.344
1687767601.669,-1000.000,-41.992,-20.020,-92.773,-70.801
1687767601.673,-1000.000,-38.086,-19.043,-92.773,37.109
1687767601.675,-1000.000,-31.738,-24.414,-74.219,252.930
1687767601.679,-1000.000,-33.691,-24.414,-64.941,342.285
1687767601.683,-1000.000,-38.574,-23.438,-87.402,4.883
1687767601.687,-1000.000,-41.992,-23.926,-80.078,-39.551
1687767601.691,-1000.000,-40.527,-25.391,-68.848,250.977
1687767601.695,-1000.000,-40.527,-23.926,-77.637,68.359
1687767601.699,-1000.000,-38.086,-24.414,-80.566,-113.281
1687767601.702,-1000.000,-36.133,-20.020,-82.520,47.363
1687767601.706,-1000.000,-40.039,-17.578,-94.238,106.445
1687767601.710,-1000.000,-43.457,-25.391,-106.934,-143.555
1687767601.714,-1000.000,-47.363,-27.832,-99.609,-186.035
1687767601.718,-1000.000,-46.875,-28.320,-83.008,-93.262
1687767601.735,-1000.000,-44.434,-32.715,-87.402,-157.715
1687767601.739,-999.023,-45.898,-31.250,-126.953,-202.637
1687767601.743,-1000.000,-49.805,-27.832,-136.230,-159.668
1687767601.747,-995.605,-44.922,-29.297,-133.301,-126.953
1687767601.751,-955.566,-44.922,-31.250,-140.625,-141.602
1687767601.755,-934.570,-53.711,-35.156,-126.953,-132.324
