timestamps,TP9,AF7,AF8,TP10,Right AUX
1687768671.479,-80.078,-91.309,-7.324,42.969,-61.523
1687768671.483,-95.703,-96.191,-9.277,31.738,-149.902
1687768671.487,-91.309,-99.609,-5.859,30.762,-66.406
1687768671.491,-103.516,-100.586,-4.883,8.301,7.812
1687768671.495,-106.445,-105.469,-1.465,5.371,-110.840
1687768671.499,-102.051,-105.469,-1.953,22.949,-62.012
1687768671.503,-101.562,-108.887,-3.906,15.625,210.449
1687768671.506,-103.027,-114.258,2.441,18.066,387.695
1687768671.510,-102.051,-106.934,7.812,27.832,110.352
1687768671.514,-96.680,-110.840,10.254,33.203,-105.957
1687768671.518,-110.840,-116.699,7.324,29.297,-35.156
1687768671.522,-124.512,-118.652,0.488,15.137,-130.371
1687768671.524,-125.977,-130.859,-1.953,5.371,-208.496
1687768671.528,-126.465,-144.043,-1.465,-3.906,-197.754
1687768671.532,-125.977,-152.832,-3.418,-3.418,-130.371
1687768671.536,-124.023,-159.180,-3.906,20.020,-69.824
1687768671.540,-136.719,-172.852,-2.930,12.695,-141.113
1687768671.544,-137.207,-185.547,-4.395,-20.996,-9.766
1687768671.548,-139.160,-190.918,-2.930,-37.598,335.449
1687768671.551,-127.930,-193.848,-6.348,-39.551,179.688
1687768671.555,-122.070,-197.754,-9.277,-37.598,-112.305
1687768671.559,-132.812,-192.383,-4.883,-29.785,-92.773
1687768671.563,-122.070,-189.941,-0.488,-38.086,48.828
1687768671.567,-113.281,-200.195,-1.953,-55.664,-109.375
1687768671.582,-119.141,-204.102,-4.395,-62.988,-205.078
1687768671.586,-125.977,-200.684,-2.441,-72.266,-71.777
1687768671.590,-124.023,-193.359,-0.977,-76.660,-48.828
1687768671.594,-122.559,-191.406,5.371,-67.383,-112.793
1687768671.598,-114.258,-191.895,9.766,-65.430,-112.305
1687768671.602,-110.352,-192.383,10.254,-44.922,94.727
1687768671.606,-109.375,-201.172,10.742,-31.738,320.801
1687768671.609,-109.863,-203.125,16.113,-46.387,92.285
1687768671.613,-118.164,-197.754,20.996,-51.270,-134.766
1687768671.617,-114.258,-202.637,19.043,-37.109,26.855
1687768671.621,-101.074,-208.008,23.438,-27.832,27.832
