timestamps,TP9,AF7,AF8,TP10,Right AUX
1687769637.318,-11.719,2.441,-19.043,-29.297,-104.492
1687769637.322,-1.953,8.301,-14.648,-28.320,-131.836
1687769637.326,-0.977,-1.953,-21.973,-7.324,-45.410
1687769637.330,-2.930,3.418,-27.344,-14.648,-23.926
1687769637.334,-9.766,9.766,-20.508,-10.742,-20.508
1687769637.338,-20.508,0.488,-20.996,-15.625,27.344
1687769637.342,-27.832,-4.883,-31.738,-31.250,57.617
1687769637.345,-42.480,-16.602,-36.133,-33.691,59.570
1687769637.349,-40.527,-28.320,-33.691,-32.715,-14.160
1687769637.353,-31.738,-15.625,-33.203,-22.949,137.207
1687769637.357,-37.598,7.324,-28.809,-32.715,182.129
1687769637.361,-45.410,13.184,-27.344,-40.527,10.254
1687769637.376,-36.621,-5.371,-31.250,-29.785,-21.973
1687769637.380,-29.785,-11.230,-33.203,-23.926,87.402
1687769637.384,-44.922,-14.648,-44.434,-30.762,99.609
1687769637.388,-36.133,-18.066,-43.457,-54.688,21.484
1687769637.392,-25.391,-20.020,-32.715,-66.406,13.184
1687769637.396,-54.688,-24.414,-32.227,-44.434,325.195
1687769637.400,-45.898,-20.020,-25.391,-28.809,395.020
1687769637.403,-30.762,-6.348,-10.254,-43.457,6.836
1687769637.407,-28.809,-3.418,-1.953,-43.945,-24.414
1687769637.411,-18.555,-14.648,0.000,-30.273,62.988
1687769637.415,-16.113,-23.438,-6.348,-32.715,-56.152
1687769637.419,-1.465,-22.461,-0.488,-20.996,-135.742
1687769637.421,-2.441,-10.742,3.418,-9.277,-68.848
1687769637.425,-17.090,-14.160,-7.324,-31.738,34.180
1687769637.429,-15.137,-20.996,-9.277,-37.109,40.039
1687769637.433,-3.418,-19.531,-8.789,-19.531,-58.594
1687769637.437,2.930,-24.414,-16.113,-12.207,56.641
1687769637.441,-21.973,-28.320,-15.625,-10.742,220.703
1687769637.445,-24.414,-26.367,-24.414,-14.160,145.508
1687769637.448,-21.484,-30.762,-31.738,-36.133,-64.941
1687769637.452,-17.090,-37.109,-27.832,-32.227,5.859
