timestamps,TP9,AF7,AF8,TP10,Right AUX
1689255257.189,-105.957,-87.891,-15.137,-112.305,124.512
1689255257.193,-114.746,-83.008,-20.020,-114.746,135.742
1689255257.197,-99.121,-78.613,-21.973,-128.906,133.301
1689255257.201,-88.379,-77.148,-21.484,-151.855,-9.766
1689255257.205,-101.074,-78.125,-22.461,-146.973,34.180
1689255257.209,-125.977,-77.148,-20.996,-110.352,207.520
1689255257.213,-133.789,-74.219,-14.648,-105.469,245.117
1689255257.216,-124.512,-77.148,-12.695,-120.605,144.531
1689255257.220,-97.656,-81.543,-16.113,-142.578,108.398
1689255257.224,-100.098,-81.055,-15.625,-137.207,415.527
1689255257.228,-129.395,-83.496,-13.672,-107.910,312.988
1689255257.232,-140.625,-80.078,-13.184,-95.215,35.645
1689255257.232,-127.441,-65.918,-14.160,-103.027,72.754
1689255257.236,-98.145,-62.500,-16.602,-130.859,73.242
1689255257.240,-85.449,-66.895,-12.207,-135.742,17.578
1689255257.244,-109.375,-64.941,-9.277,-96.191,42.480
1689255257.248,-136.719,-59.570,-13.184,-80.078,183.594
1689255257.252,-127.441,-58.594,-14.648,-96.680,258.789
1689255257.256,-95.215,-56.152,-11.230,-112.305,111.328
1689255257.259,-71.777,-57.617,-8.789,-114.746,22.949
1689255257.263,-104.980,-68.848,-11.230,-99.121,168.945
1689255257.267,-145.996,-69.336,-16.602,-75.195,444.336
1689255257.271,-143.066,-54.199,-18.555,-83.496,240.723
1689255257.275,-112.793,-53.223,-19.043,-130.371,46.387
1689255257.277,-82.031,-54.199,-14.160,-144.043,148.438
1689255257.281,-92.285,-53.223,-14.160,-98.633,60.059
1689255257.285,-122.070,-60.547,-18.555,-50.781,0.488
1689255257.289,-114.746,-59.082,-17.578,-55.664,50.781
1689255257.293,-82.031,-53.223,-14.160,-87.891,46.387
1689255257.297,-56.641,-59.082,-13.672,-108.887,112.305
1689255257.301,-68.848,-71.289,-10.254,-91.797,169.434
1689255257.304,-94.238,-65.918,-12.695,-44.922,120.117
1689255257.308,-81.543,-48.340,-16.113,-33.691,286.133
1689255257.312,-68.848,-42.969,-18.555,-76.660,154.785
1689255257.316,-47.852,-44.922,-20.020,-107.422,-33.691
1689255257.320,-56.641,-48.340,-21.484,-77.637,13.672
1689255257.323,-101.074,-55.664,-24.902,-32.715,50.781
1689255257.327,-98.633,-60.059,-23.926,-41.016,31.738
1689255257.331,-84.473,-61.035,-25.391,-80.566,3.906
1689255257.335,-65.918,-60.059,-20.020,-96.191,148.438
1689255257.339,-67.383,-58.105,-18.066,-66.895,399.902
1689255257.343,-99.121,-55.664,-16.602,-34.668,324.707
1689255257.347,-104.492,-55.664,-15.625,-44.434,166.992
1689255257.350,-84.961,-59.082,-14.160,-70.801,232.422
1689255257.354,-64.453,-61.035,-10.742,-93.750,299.805
1689255257.358,-76.660,-66.406,-16.602,-96.191,59.570
1689255257.362,-116.211,-70.312,-21.973,-69.824,43.457
1689255257.366,-127.930,-66.895,-20.996,-61.523,124.512
1689255257.368,-106.934,-60.547,-19.531,-83.984,68.848
1689255257.372,-77.637,-58.594,-18.555,-115.234,65.430
1689255257.376,-73.242,-66.406,-17.578,-119.141,77.637
1689255257.380,-99.121,-67.383,-21.484,-69.336,216.309
1689255257.384,-105.469,-54.199,-22.461,-51.270,246.094
1689255257.388,-91.797,-43.945,-19.531,-80.078,211.426
1689255257.392,-79.102,-42.480,-15.137,-94.238,255.859
1689255257.395,-83.008,-50.293,-11.719,-88.379,358.887
1689255257.399,-107.910,-48.340,-13.184,-66.406,318.848
1689255257.403,-125.000,-41.992,-23.438,-51.758,129.883
1689255257.407,-113.281,-45.410,-27.344,-70.801,109.375
1689255257.411,-93.262,-52.734,-22.949,-99.121,35.156
1689255257.412,-81.055,-58.105,-17.090,-101.074,-46.387
1689255257.416,-95.215,-52.734,-14.648,-73.730,-32.227
1689255257.420,-108.887,-46.387,-17.578,-52.734,57.129
1689255257.424,-93.262,-44.922,-19.043,-58.594,122.070
1689255257.428,-86.426,-48.828,-27.344,-83.008,71.777
1689255257.432,-73.242,-46.875,-33.691,-101.074,35.645
1689255257.436,-82.031,-41.992,-33.203,-70.312,118.652
1689255257.439,-102.051,-45.410,-30.273,-34.668,491.211
1689255257.443,-99.121,-50.293,-26.855,-48.828,320.801
1689255257.447,-76.660,-52.734,-25.879,-95.215,-18.555
1689255257.451,-45.410,-54.199,-23.438,-110.840,3.906
1689255257.455,-57.129,-57.617,-20.020,-83.984,14.648
1689255257.459,-94.727,-53.711,-18.555,-48.828,87.891
1689255257.463,-91.309,-44.434,-19.531,-45.410,109.375
1689255257.467,-73.730,-46.387,-23.926,-83.008,111.816
1689255257.471,-63.477,-44.922,-22.461,-115.723,104.492
1689255257.475,-70.801,-41.992,-19.531,-92.773,104.004
1689255257.479,-92.285,-44.434,-21.973,-49.316,225.586
1689255257.483,-103.516,-45.898,-28.320,-50.781,477.539
1689255257.486,-84.473,-43.457,-28.320,-89.355,277.832
1689255257.490,-49.316,-41.016,-24.414,-116.211,-27.832
1689255257.494,-58.105,-46.875,-27.832,-96.680,96.680
1689255257.498,-97.168,-50.293,-29.297,-60.059,324.219
1689255257.502,-98.633,-45.898,-25.391,-56.641,136.719
1689255257.517,-78.613,-36.621,-22.949,-83.496,-11.719
1689255257.521,-58.105,-32.715,-21.484,-110.352,58.594
1689255257.525,-63.477,-35.156,-21.484,-92.773,92.773
1689255257.529,-94.238,-38.086,-21.484,-42.969,145.508
1689255257.533,-103.516,-38.574,-21.973,-29.785,105.957
1689255257.537,-93.262,-38.086,-21.973,-57.129,153.809
1689255257.541,-71.777,-40.039,-15.625,-81.543,403.320
1689255257.544,-67.383,-40.527,-17.578,-75.195,205.566
1689255257.548,-87.891,-39.062,-23.926,-54.199,-4.395
1689255257.552,-104.980,-36.133,-19.531,-46.387,97.168
1689255257.556,-95.703,-38.574,-17.090,-66.406,85.449
