timestamps,TP9,AF7,AF8,TP10,Right AUX
1689255215.562,-68.848,-45.410,-21.973,-23.438,151.855
1689255215.566,-55.664,-51.270,-31.250,-68.848,141.602
1689255215.570,-36.133,-41.504,-32.227,-94.727,157.227
1689255215.574,-44.434,-38.086,-28.320,-64.941,145.996
1689255215.578,-75.195,-43.457,-29.297,-26.855,121.582
1689255215.582,-73.242,-38.574,-26.855,-33.691,157.227
1689255215.586,-46.387,-33.203,-27.344,-62.012,399.414
1689255215.589,-15.137,-40.039,-30.273,-87.402,353.027
1689255215.593,-23.438,-45.410,-31.738,-77.637,48.828
1689255215.597,-62.988,-41.992,-29.785,-35.156,130.371
1689255215.601,-73.730,-41.016,-25.391,-29.785,233.398
1689255215.605,-56.641,-41.016,-20.508,-60.547,74.219
1689255215.608,-68.848,-48.828,-30.273,-66.406,94.727
1689255215.612,-42.969,-48.340,-30.273,-96.680,209.473
1689255215.616,-35.156,-45.410,-28.809,-79.102,292.480
1689255215.619,-72.754,-46.875,-27.832,-42.480,177.734
1689255215.623,-91.797,-53.711,-25.391,-35.645,187.988
1689255215.627,-76.660,-46.875,-20.996,-51.758,277.344
1689255215.631,-53.711,-37.109,-20.020,-78.125,429.688
1689255215.635,-41.504,-39.062,-22.461,-83.496,206.543
1689255215.653,-65.430,-44.434,-21.484,-46.875,81.543
1689255215.657,-83.008,-40.039,-17.578,-26.367,168.457
1689255215.661,-67.383,-35.645,-19.531,-42.969,111.816
1689255215.665,-37.598,-37.598,-18.066,-69.336,39.062
1689255215.669,-29.297,-42.969,-16.113,-81.055,45.410
1689255215.673,-58.594,-48.828,-23.926,-46.875,240.723
1689255215.677,-77.637,-41.016,-25.879,-16.113,254.395
1689255215.680,-70.312,-30.762,-25.391,-42.480,130.859
1689255215.684,-54.199,-31.250,-24.902,-78.613,131.348
1689255215.688,-36.133,-33.203,-20.508,-85.938,377.441
1689255215.692,-66.406,-32.227,-24.414,-69.336,288.086
1689255215.696,-96.191,-35.156,-33.691,-46.387,82.031
1689255215.697,-87.402,-39.551,-34.180,-48.340,98.145
1689255215.701,-62.988,-36.621,-33.203,-79.590,149.414
1689255215.705,-40.527,-34.668,-28.809,-105.469,106.445
1689255215.709,-58.105,-42.969,-24.902,-75.684,81.055
1689255215.713,-84.473,-47.363,-29.785,-36.621,152.344
1689255215.717,-76.660,-37.598,-33.203,-42.480,204.102
1689255215.721,-59.082,-35.156,-25.879,-67.871,212.402
1689255215.724,-45.410,-39.062,-21.484,-88.867,143.066
1689255215.728,-62.988,-36.621,-20.508,-71.289,238.281
1689255215.732,-98.633,-38.086,-20.996,-28.320,509.277
1689255215.736,-93.750,-37.598,-20.020,-29.297,229.980
1689255215.740,-67.383,-31.250,-21.973,-67.383,41.992
1689255215.744,-50.781,-40.527,-29.785,-98.145,260.254
1689255215.748,-62.988,-49.805,-29.785,-78.613,154.785
1689255215.752,-95.703,-40.039,-24.414,-34.668,21.973
1689255215.756,-100.586,-34.668,-22.461,-36.621,77.148
1689255215.760,-73.730,-35.645,-26.367,-65.430,87.891
1689255215.764,-52.734,-36.621,-26.855,-82.520,139.648
1689255215.768,-62.988,-40.039,-24.902,-67.871,83.496
1689255215.771,-87.891,-37.109,-25.391,-25.391,43.457
1689255215.775,-94.238,-33.203,-26.855,-18.555,337.891
1689255215.779,-78.125,-39.551,-29.785,-62.012,272.461
1689255215.783,-51.270,-45.898,-25.879,-95.703,-14.160
1689255215.787,-49.805,-46.875,-27.344,-82.520,20.508
1689255215.803,-83.496,-51.270,-32.227,-48.340,142.090
1689255215.807,-90.332,-46.875,-29.785,-34.180,74.707
1689255215.811,-70.801,-37.109,-23.926,-55.176,4.395
1689255215.815,-45.410,-29.785,-18.066,-89.355,42.480
1689255215.819,-38.574,-29.297,-18.555,-83.008,145.996
1689255215.823,-71.777,-30.273,-25.391,-46.387,248.047
1689255215.827,-85.449,-34.180,-30.762,-33.691,248.535
1689255215.830,-71.777,-32.715,-27.344,-46.387,314.941
1689255215.834,-52.246,-28.320,-29.297,-73.242,504.883
