timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767907.646,-38.574,-32.715,-10.742,-19.531,-137.695
1687767907.650,-25.879,-32.227,-10.742,-9.766,-217.285
1687767907.654,-36.133,-35.156,-13.184,4.395,-59.082
1687767907.658,-35.645,-28.320,-3.906,-13.672,-84.473
1687767907.662,-38.086,-22.949,-6.836,-15.137,-170.410
1687767907.666,-42.969,-27.832,-14.160,-2.930,-69.824
1687767907.670,-32.227,-33.203,-16.602,5.371,242.676
1687767907.673,-21.484,-36.621,-20.996,12.207,205.566
1687767907.677,-21.973,-33.691,-15.625,1.465,-44.922
1687767907.681,-38.574,-25.879,-18.555,0.488,-97.656
1687767907.685,-41.992,-20.020,-27.344,4.395,-113.770
1687767907.689,-20.508,-24.414,-20.508,11.719,-95.703
1687767907.691,-15.137,-26.367,-14.160,10.254,-73.242
1687767907.695,-29.785,-25.391,-13.184,10.254,-85.449
1687767907.699,-51.758,-27.832,-14.648,5.371,-49.316
1687767907.703,-60.059,-35.156,-24.902,-3.906,-120.117
1687767907.707,-39.062,-36.133,-32.227,8.301,-175.293
1687767907.711,-29.297,-26.367,-33.203,9.766,-23.438
1687767907.715,-33.691,-25.391,-25.879,13.184,98.145
1687767907.718,-38.086,-36.133,-14.648,4.395,-74.219
1687767907.722,-40.039,-36.621,-19.043,-12.207,-247.070
1687767907.726,-27.344,-29.297,-24.902,-0.488,-63.965
1687767907.730,-27.344,-36.621,-28.320,12.207,179.688
1687767907.734,-37.598,-41.504,-30.762,4.395,-72.754
1687767907.751,-31.250,-38.086,-32.715,-16.113,-196.289
1687767907.755,-32.715,-39.551,-24.902,-15.137,-125.977
1687767907.759,-41.016,-41.016,-15.625,1.953,-70.801
1687767907.763,-34.180,-37.109,-22.461,-10.742,-130.371
1687767907.767,-35.645,-31.250,-29.297,-12.695,-237.305
1687767907.771,-49.316,-27.344,-26.855,7.324,148.926
1687767907.775,-44.922,-34.180,-29.297,-0.488,289.551
1687767907.778,-30.273,-35.156,-36.133,-18.555,-97.656
1687767907.782,-22.461,-23.926,-39.062,-6.348,-178.223
1687767907.786,-17.578,-14.648,-30.762,14.160,-19.531
1687767907.790,-33.691,-29.785,-27.344,-2.441,-50.781
1687767907.794,-47.363,-40.527,-29.297,-21.484,-148.438
1687767907.795,-49.805,-32.715,-29.785,-23.438,-153.320
1687767907.799,-37.109,-32.715,-32.227,-12.207,-42.969
1687767907.803,-30.762,-37.598,-29.785,-4.395,-1.465
1687767907.807,-55.176,-41.504,-27.344,-16.602,-79.590
1687767907.811,-66.895,-34.180,-23.926,-23.438,-57.617
1687767907.815,-50.781,-29.297,-28.320,-28.809,24.414
1687767907.819,-33.691,-37.109,-30.273,-21.484,46.387
1687767907.822,-30.762,-36.133,-19.531,-12.695,-49.316
1687767907.826,-37.109,-34.668,-18.555,-24.414,-48.340
1687767907.830,-60.059,-40.527,-29.785,-21.973,299.316
1687767907.834,-65.430,-40.527,-41.504,-32.227,187.988
1687767907.838,-49.805,-41.504,-42.480,-40.527,-116.211
1687767907.840,-47.852,-49.316,-38.574,-35.156,-97.168
1687767907.844,-59.082,-47.363,-38.086,-43.945,-82.031
1687767907.848,-77.148,-48.340,-33.691,-50.781,-129.395
1687767907.852,-67.871,-64.453,-29.785,-40.039,-154.297
1687767907.856,-31.250,-69.336,-32.715,-18.066,-78.125
1687767907.860,-25.391,-45.410,-40.039,-17.578,56.152
1687767907.864,-40.527,-21.973,-48.828,-29.785,-7.324
1687767907.867,-53.711,-25.391,-49.805,-48.828,-129.883
1687767907.871,-63.477,-28.809,-53.711,-42.969,113.770
1687767907.875,-54.199,-19.043,-58.105,-27.344,203.613
1687767907.879,-50.293,-14.160,-62.012,-48.828,-62.988
1687767907.883,-61.035,-20.508,-69.824,-63.477,-106.934
1687767907.885,-64.453,-23.926,-72.754,-62.012,-108.887
1687767907.889,-55.176,-16.113,-76.660,-69.824,-199.219
1687767907.893,-39.062,-12.207,-79.102,-65.918,-238.281
1687767907.897,-28.320,-7.812,-79.102,-53.711,-148.926
1687767907.901,-29.785,-10.742,-79.102,-55.664,-102.051
1687767907.905,-46.875,-22.461,-80.078,-56.641,-56.641
1687767907.909,-45.410,-20.996,-83.496,-61.035,-46.875
1687767907.912,-32.227,-16.113,-86.426,-54.199,-83.984
1687767907.916,-20.508,-21.973,-86.426,-31.738,150.879
1687767907.920,-23.926,-22.461,-88.867,-47.363,92.773
1687767907.924,-38.086,-18.066,-93.750,-57.617,-60.059
1687767907.928,-42.480,-14.648,-92.285,-53.711,-19.043
1687767907.930,-36.133,-11.230,-88.867,-52.734,92.773
1687767907.934,-18.555,-11.719,-90.332,-49.316,-69.824
1687767907.938,-22.461,-15.625,-90.820,-53.711,-124.512
