timestamps,TP9,AF7,AF8,TP10,Right AUX
1687770045.978,-35.645,-30.273,-41.992,-27.344,-13.672
1687770045.982,-44.922,-20.996,-40.039,-33.203,-158.691
1687770045.986,-66.406,-34.668,-38.574,-42.480,-115.234
1687770045.990,-66.895,-57.129,-43.457,-49.805,-195.801
1687770045.994,-56.641,-36.133,-41.016,-31.738,-181.152
1687770045.998,-54.688,-5.859,-33.203,-15.625,-59.082
1687770046.002,-61.035,-16.602,-47.852,-32.715,263.672
1687770046.005,-71.289,-25.879,-52.734,-46.875,190.918
1687770046.009,-77.148,-18.066,-33.203,-50.293,-126.953
1687770046.013,-73.730,-20.020,-26.855,-46.387,-81.543
1687770046.017,-69.824,-26.367,-29.297,-31.738,11.719
1687770046.021,-66.406,-21.484,-31.738,-36.621,-21.973
1687770046.021,-66.406,-21.484,-31.738,-36.621,-21.973
1687770046.025,-69.824,-21.484,-25.391,-21.973,-49.316
1687770046.029,-79.102,-15.625,-21.973,-40.527,118.652
1687770046.033,-85.449,-13.184,-29.297,-44.434,93.750
1687770046.036,-89.355,-32.715,-40.527,-35.156,-71.289
1687770046.040,-89.355,-36.621,-35.156,-29.785,-59.082
1687770046.044,-84.961,-24.414,-22.461,-28.809,134.766
1687770046.048,-73.242,-26.855,-38.574,-33.691,144.043
1687770046.052,-60.547,-21.484,-45.898,-49.316,-95.215
1687770046.068,-61.523,-13.672,-32.227,-51.270,-93.750
1687770046.072,-60.547,-25.879,-32.715,-39.062,-57.617
1687770046.076,-44.434,-38.574,-31.738,-34.180,-55.664
1687770046.080,-34.668,-33.203,-34.668,-38.574,-83.008
1687770046.084,-29.785,-28.320,-38.574,-44.434,-142.578
1687770046.088,-21.973,-32.227,-40.527,-31.250,82.031
1687770046.092,-15.625,-24.414,-42.480,-13.672,197.754
1687770046.095,-21.484,-24.414,-39.062,-20.508,75.684
1687770046.099,-29.297,-41.016,-45.410,-38.086,18.066
1687770046.103,-20.508,-61.035,-32.715,-42.480,89.355
1687770046.107,-17.090,-53.711,-40.039,-26.367,13.184
1687770046.111,-16.113,-27.344,-60.059,-15.625,-124.023
1687770046.113,-23.926,-20.020,-43.945,-15.137,-5.371
1687770046.117,-49.805,-15.625,-34.180,-44.434,-32.715
1687770046.121,-70.312,-11.230,-33.203,-73.242,-118.164
1687770046.125,-79.590,-19.043,-29.785,-55.176,-193.848
