timestamps,TP9,AF7,AF8,TP10,Right AUX
1687530768.154,-15.625,-37.598,-32.715,-13.672,-59.570
1687530768.158,-20.996,-34.668,-35.156,-23.926,-143.555
1687530768.162,-7.324,-34.180,-33.203,-20.996,-167.969
1687530768.166,5.371,-34.668,-34.180,-11.719,-52.246
1687530768.170,1.465,-35.156,-33.203,-3.418,-55.664
1687530768.174,-9.277,-38.574,-29.785,-7.812,2.930
1687530768.178,-9.277,-39.551,-34.668,-24.902,91.797
1687530768.181,0.488,-36.133,-40.039,-29.297,330.566
1687530768.185,8.301,-34.668,-39.062,-25.879,211.426
1687530768.189,13.184,-35.156,-43.945,-28.809,-90.820
1687530768.193,2.441,-39.551,-43.945,-34.180,53.223
1687530768.197,-14.160,-42.969,-39.551,-28.320,182.129
1687530776.321,-70.801,-29.297,-23.926,-61.035,17.578
1687530776.325,-61.035,-29.297,-28.809,-61.523,-21.484
1687530776.329,-44.434,-27.344,-27.344,-53.711,-45.410
1687530776.333,-41.992,-24.414,-24.414,-50.781,-56.152
1687530776.337,-55.664,-22.949,-26.367,-57.617,57.129
1687530776.341,-66.406,-22.461,-26.367,-57.129,93.750
1687530776.345,-56.152,-24.902,-26.855,-52.246,118.164
1687530776.348,-44.922,-26.855,-28.809,-48.340,153.809
1687530776.352,-44.434,-23.438,-26.367,-37.598,294.434
1687530776.356,-53.711,-22.461,-26.855,-31.250,319.824
1687530776.360,-59.082,-23.438,-25.391,-47.363,30.762
1687530776.364,-52.246,-28.320,-25.391,-52.734,-51.758
1687530811.503,-4.395,-23.926,22.949,-30.762,-97.168
1687530811.507,23.926,-20.996,20.020,-14.160,13.672
1687530811.511,17.090,-23.438,14.648,-26.855,2.441
1687530811.515,-18.066,-21.484,17.578,-46.387,-88.867
1687530811.519,-31.250,-18.555,22.949,-54.199,-156.738
1687530811.523,-0.977,-25.879,19.043,-21.484,-38.086
1687530811.527,27.832,-22.949,19.531,14.648,173.340
1687530811.530,2.441,-16.113,16.602,-10.742,93.262
1687530811.534,-37.598,-19.531,10.254,-36.133,-139.648
1687530811.538,-40.527,-23.438,9.766,-31.738,-150.391
1687530811.542,-20.996,-25.391,6.836,-20.508,-14.648
1687530811.546,11.719,-21.973,5.859,-7.324,45.898
1687530825.333,-5.371,-20.020,-31.250,-21.973,-68.359
1687530825.337,31.738,-19.531,-29.785,6.348,-41.504
1687530825.341,-5.371,-20.508,-22.949,-25.879,-45.898
1687530825.345,-64.941,-24.414,-30.762,-62.500,-197.266
1687530825.349,-70.312,-26.367,-35.645,-56.152,-189.453
1687530825.353,-33.691,-27.832,-31.250,-27.832,-57.129
1687530825.357,2.441,-26.855,-31.738,-7.324,194.336
1687530825.360,-17.090,-23.926,-36.133,-21.484,445.312
1687530825.364,-69.824,-26.367,-32.227,-62.500,25.879
1687530825.368,-89.844,-32.227,-28.809,-79.102,-280.762
1687530825.372,-53.223,-34.668,-29.297,-51.270,-23.926
1687530825.376,-0.977,-32.227,-30.273,-19.531,182.617
1687530825.378,-5.371,-31.738,-34.668,-28.320,-11.719
1687530825.382,-40.527,-33.203,-37.109,-64.941,-145.508
1687530825.386,-46.387,-31.250,-34.668,-89.355,-124.512
1687530825.390,-24.902,-27.832,-31.250,-62.500,-119.141
