timestamps,TP9,AF7,AF8,TP10,Right AUX
1688814818.491,-3.418,-37.598,-58.594,-52.734,-199.219
1688814818.495,8.789,-40.039,-59.570,-47.363,-211.914
1688814818.499,0.000,-39.551,-51.758,-31.250,-130.371
1688814818.503,-26.367,-38.574,-53.711,-18.555,-102.051
1688814818.507,-48.828,-41.504,-50.781,-18.555,-138.184
1688814818.511,-26.855,-44.922,-44.922,-46.875,12.695
1688814818.515,-6.348,-42.969,-45.898,-35.156,185.547
1688814818.518,-15.625,-37.109,-46.875,-24.414,41.504
1688814818.522,-36.621,-40.039,-51.758,-24.902,-95.215
1688814818.526,-56.641,-48.340,-55.176,-18.555,1.465
1688814818.530,-35.645,-48.828,-53.711,-40.039,147.949
1688814818.534,-6.348,-46.387,-56.152,-46.387,-52.734
1688814818.534,-7.324,-45.410,-62.012,-40.039,-151.367
1688814818.538,-34.668,-43.945,-57.617,-32.715,-75.195
1688814818.542,-64.941,-40.039,-51.758,-16.602,24.902
1688814818.546,-59.570,-40.527,-57.129,-52.734,21.973
1688814818.550,-30.762,-39.062,-54.688,-71.289,-118.164
1688814818.554,-14.160,-39.062,-54.688,-47.363,134.766
1688814818.558,-26.367,-40.527,-58.105,-25.879,426.270
1688814818.561,-41.016,-40.039,-50.293,0.488,37.109
1688814818.565,-31.738,-35.645,-47.363,-26.367,-155.273
1688814818.569,-7.812,-39.062,-50.781,-46.387,60.547
1688814818.573,0.977,-40.039,-46.387,-32.715,-56.152
1688814818.577,-19.531,-31.738,-39.062,-27.344,-218.262
1688814818.594,-49.805,-28.320,-39.551,-4.395,-95.703
1688814818.598,-46.875,-34.668,-45.410,-26.367,-85.938
1688814818.602,-20.020,-36.133,-48.828,-62.012,-167.969
1688814818.606,-14.160,-36.133,-53.711,-45.410,-212.891
1688814818.610,-24.414,-36.133,-52.246,-26.367,-174.805
1688814818.614,-45.410,-33.203,-41.992,2.930,-7.812
1688814818.618,-54.688,-37.109,-42.480,-6.348,24.414
1688814818.621,-23.438,-39.062,-42.480,-32.227,-160.645
1688814818.625,-4.883,-37.109,-40.039,-16.602,-126.953
1688814818.629,-17.090,-41.016,-44.434,-0.977,174.316
1688814818.633,-42.969,-44.434,-44.434,10.254,85.938
1688814818.637,-50.293,-44.922,-47.852,-7.324,-18.555
1688814818.639,-24.414,-49.805,-50.781,-45.898,7.812
1688814818.643,-11.719,-48.828,-47.363,-30.273,-14.160
1688814818.647,-24.902,-41.504,-42.480,-13.184,-76.172
1688814818.651,-53.711,-40.039,-42.969,1.465,-39.551
1688814818.655,-61.523,-43.945,-42.480,1.465,79.102
1688814818.659,-33.203,-46.387,-45.410,-35.645,71.289
1688814818.663,-9.277,-49.805,-56.152,-34.180,-97.656
1688814818.666,-3.906,-47.852,-53.711,-15.137,-169.434
1688814818.670,-25.391,-43.945,-49.316,4.883,47.852
1688814818.674,-45.410,-45.410,-53.711,8.789,151.855
1688814818.678,-29.785,-46.387,-58.105,-40.039,-179.199
1688814818.682,-11.719,-42.480,-55.176,-44.922,-283.203
1688814818.685,-17.090,-45.898,-55.176,-32.715,-115.723
1688814818.689,-33.691,-43.457,-57.617,-20.020,-14.160
