timestamps,TP9,AF7,AF8,TP10,Right AUX
1688815130.597,-56.641,-30.762,-44.434,-67.383,-97.168
1688815130.601,-59.082,-36.621,-45.898,-54.199,-171.387
1688815130.605,-86.426,-28.809,-39.551,-48.340,-193.359
1688815130.609,-120.117,-30.273,-34.180,-31.250,-116.699
1688815130.613,-112.305,-33.691,-38.086,-52.246,-139.160
1688815130.617,-78.613,-32.227,-41.992,-76.172,-158.203
1688815130.621,-63.477,-31.250,-40.527,-60.059,-152.344
1688815130.624,-65.918,-32.715,-40.527,-45.898,-104.980
1688815130.628,-93.262,-33.203,-41.992,-31.738,176.270
1688815130.632,-95.703,-30.273,-44.434,-54.688,78.125
1688815130.636,-70.801,-34.180,-44.434,-77.637,-165.039
1688815130.640,-65.430,-30.762,-42.969,-58.594,6.348
1688815130.641,-77.148,-28.320,-41.504,-46.875,81.055
1688815130.645,-110.352,-34.180,-42.969,-42.969,-62.500
1688815130.649,-113.281,-35.156,-39.551,-57.617,-129.883
1688815130.653,-79.590,-38.574,-38.574,-75.684,-11.230
1688815130.657,-64.941,-41.992,-41.992,-58.105,-22.949
1688815130.661,-71.289,-39.551,-39.062,-44.434,-168.945
1688815130.665,-96.191,-36.133,-35.645,-28.320,-18.066
1688815130.668,-107.422,-35.156,-37.109,-31.250,148.438
1688815130.672,-76.660,-36.133,-38.086,-44.922,164.062
1688815130.676,-56.152,-35.645,-37.598,-40.039,-64.453
1688815130.680,-65.430,-32.227,-40.039,-32.227,-118.652
1688815130.684,-91.309,-33.203,-42.480,-20.996,-61.523
1688815130.689,-107.422,-29.785,-43.945,-29.785,-103.516
1688815130.693,-78.125,-29.785,-41.504,-58.105,-122.559
1688815130.697,-57.617,-37.598,-41.992,-46.875,-43.945
1688815130.701,-66.895,-36.621,-43.457,-30.273,12.695
1688815130.705,-83.984,-30.762,-46.387,-33.203,-48.340
1688815130.709,-101.562,-34.668,-54.688,-42.969,-30.762
1688815130.713,-68.848,-32.715,-49.805,-61.035,31.738
1688815130.716,-29.785,-32.227,-42.969,-44.922,190.430
1688815130.720,-31.250,-36.621,-45.410,-40.527,67.871
1688815130.724,-59.082,-33.203,-43.457,-36.621,-125.488
1688815130.728,-90.332,-31.738,-43.457,-30.273,-20.508
1688815130.732,-62.988,-33.203,-46.387,-57.617,-50.781
1688815130.731,-22.949,-35.156,-47.852,-50.781,-167.480
1688815130.735,-23.438,-36.133,-38.086,-29.785,-179.199
1688815130.739,-48.340,-40.039,-35.156,-20.020,-135.742
1688815130.743,-70.801,-38.086,-40.527,-14.648,49.316
1688815130.747,-51.758,-35.645,-36.621,-41.504,56.152
1688815130.751,-20.508,-39.062,-37.598,-47.363,-46.387
1688815130.755,-18.066,-38.086,-41.992,-28.809,204.102
1688815130.758,-31.738,-33.203,-40.527,-19.531,477.539
1688815130.762,-51.758,-41.504,-38.574,-21.484,232.422
1688815130.766,-30.762,-41.504,-39.551,-49.805,-130.371
1688815130.770,12.695,-32.227,-38.574,-53.711,-148.438
1688815130.774,22.461,-31.738,-38.086,-29.785,-103.027
1688815130.778,5.371,-37.598,-44.434,-19.531,-111.328
1688815130.782,-24.902,-36.621,-44.434,-9.766,-41.992
1688815130.786,-16.113,-31.738,-44.434,-24.902,-30.762
