timestamps,TP9,AF7,AF8,TP10,Right AUX
1688815449.349,-52.246,-32.715,-40.527,-34.180,-151.855
1688815449.353,-22.949,-33.203,-39.062,-59.570,-104.004
1688815449.357,-20.020,-33.691,-40.039,-49.805,-27.832
1688815449.361,-45.898,-35.156,-43.457,-41.504,-127.930
1688815449.365,-100.098,-38.086,-47.852,-23.438,-88.379
1688815449.369,-113.770,-33.691,-45.898,-22.461,59.570
1688815449.373,-86.426,-32.227,-39.551,-65.918,-53.711
1688815449.376,-83.008,-38.574,-40.039,-68.848,-179.199
1688815449.380,-99.121,-36.133,-43.457,-42.480,-144.043
1688815449.384,-139.648,-32.227,-46.387,-13.184,207.520
1688815449.388,-155.273,-30.273,-47.852,-18.066,316.406
1688815449.392,-130.859,-37.598,-51.270,-44.434,-58.594
1688815449.395,-116.699,-41.992,-53.711,-31.250,-128.418
1688815449.399,-123.535,-34.180,-49.316,-32.715,18.066
1688815449.403,-154.297,-33.203,-44.434,-35.156,67.383
1688815449.407,-159.180,-34.668,-45.410,-47.852,-31.250
1688815449.411,-105.469,-35.156,-52.246,-83.008,6.836
1688815449.415,-67.871,-35.645,-53.711,-75.684,93.262
1688815449.419,-64.941,-33.691,-47.852,-64.453,-75.684
1688815449.422,-77.637,-35.156,-47.363,-56.152,-176.758
1688815449.426,-89.355,-32.715,-47.852,-42.480,38.086
1688815449.430,-62.988,-30.762,-43.945,-62.500,135.254
1688815449.434,-45.898,-31.738,-43.945,-55.664,-130.371
1688815449.438,-72.266,-34.180,-42.969,-50.293,-249.512
1688815449.439,-112.793,-38.574,-43.457,-47.363,-172.852
1688815449.443,-146.973,-36.621,-44.434,-34.180,-100.098
1688815449.447,-145.996,-33.691,-37.598,-59.570,-263.184
1688815449.451,-120.605,-42.969,-39.062,-52.246,-206.543
1688815449.455,-106.934,-48.340,-39.062,-28.809,-19.043
1688815449.459,-117.676,-42.480,-40.039,-26.367,-44.922
1688815449.463,-133.301,-36.133,-44.434,-20.020,-20.996
1688815449.466,-99.609,-37.109,-39.551,-40.527,-118.164
1688815449.470,-64.453,-41.016,-42.969,-57.617,134.766
1688815449.474,-70.801,-39.062,-44.434,-44.922,348.145
1688815449.478,-85.449,-37.598,-44.922,-33.691,-22.949
1688815449.482,-115.234,-41.016,-49.316,-33.203,-38.574
1688815449.484,-113.770,-41.992,-48.828,-61.523,-59.082
1688815449.488,-67.383,-35.645,-46.387,-71.289,-182.617
1688815449.492,-43.457,-32.715,-48.828,-50.293,-163.086
1688815449.496,-49.805,-33.203,-52.246,-44.922,-86.914
1688815449.500,-65.430,-31.738,-47.363,-33.691,-7.812
1688815449.504,-48.340,-32.227,-44.434,-49.316,-57.129
1688815449.508,-6.836,-33.203,-46.875,-68.848,-136.230
1688815449.511,3.906,-37.598,-48.828,-52.734,103.027
1688815449.515,-7.324,-38.086,-50.293,-43.945,336.426
1688815449.519,-35.156,-33.203,-50.293,-39.062,117.676
1688815449.523,-34.180,-35.645,-50.781,-61.035,-104.004
1688815449.527,2.441,-36.621,-51.758,-80.566,-175.781
1688815449.529,14.648,-38.574,-49.805,-76.172,-120.605
1688815449.533,-1.953,-41.504,-44.922,-74.219,-91.309
1688815449.537,-42.480,-40.527,-44.434,-51.758,-129.883
1688815449.541,-60.059,-40.527,-44.922,-59.082,-146.484
1688815449.545,-36.133,-36.133,-43.945,-80.566,-126.465
1688815449.549,-38.574,-37.109,-49.805,-70.312,-110.840
1688815449.553,-64.941,-41.504,-49.805,-56.152,-25.391
1688815449.556,-102.539,-36.133,-47.363,-25.391,265.625
1688815449.560,-129.883,-35.156,-46.875,-26.855,213.379
1688815449.564,-95.215,-38.086,-46.875,-50.293,-48.828
1688815449.568,-70.312,-40.039,-50.293,-39.551,-27.832
1688815449.572,-86.914,-37.598,-51.758,-34.668,71.777
1688815449.574,-124.512,-37.598,-56.152,-33.203,-18.555
1688815449.578,-145.996,-38.574,-55.664,-35.645,-123.047
1688815449.582,-112.305,-37.109,-54.688,-62.988,-94.727
1688815449.586,-87.402,-35.156,-54.688,-58.594,-141.602
1688815449.590,-89.355,-33.691,-54.199,-41.016,-189.941
1688815449.594,-108.398,-29.785,-53.223,-28.809,-111.816
1688815449.598,-130.859,-29.785,-50.781,-20.996,110.352
1688815449.601,-105.957,-34.180,-48.828,-42.969,139.160
1688815449.605,-62.500,-36.133,-46.875,-42.969,-121.582
1688815449.609,-63.477,-38.574,-44.922,-30.762,-145.508
1688815449.613,-103.027,-38.574,-46.387,-18.555,-16.113
1688815449.617,-150.879,-40.527,-48.828,-15.137,47.363
1688815449.618,-148.926,-42.969,-50.781,-45.898,-128.418
1688815449.622,-127.441,-41.504,-52.734,-48.828,-250.977
1688815449.626,-125.488,-41.992,-50.781,-26.367,-124.023
1688815449.630,-156.738,-39.551,-48.340,-15.137,-106.934
1688815449.634,-203.613,-34.180,-48.340,-7.324,-116.211
1688815449.638,-195.312,-41.992,-53.711,-36.133,-41.504
1688815449.642,-161.133,-45.410,-56.641,-45.410,164.551
1688815449.645,-157.715,-38.574,-47.852,-30.273,73.242
1688815449.649,-176.270,-41.992,-48.828,-32.715,-146.973
1688815449.653,-196.777,-38.086,-54.199,-19.043,20.020
