timestamps,TP9,AF7,AF8,TP10,Right AUX
1688814060.669,-15.625,-26.855,-42.969,-95.215,99.609
1688814060.673,-33.691,-31.250,-41.504,-95.703,-44.922
1688814060.677,-146.484,-34.180,-33.691,-48.828,-11.230
1688814060.681,-299.805,-32.715,-32.227,13.672,291.016
1688814060.685,-226.074,-36.621,-39.551,-40.039,55.176
1688814060.689,-79.590,-41.016,-41.992,-106.934,-194.824
1688814060.693,-85.938,-37.598,-37.598,-86.914,54.688
1688814060.696,-179.199,-40.527,-40.039,-43.945,188.965
1688814060.700,-311.035,-40.527,-39.551,-0.977,61.035
1688814060.704,-232.422,-41.016,-32.715,-37.598,-73.730
1688814060.708,-51.270,-42.480,-36.133,-94.238,-136.230
1688814060.712,-26.855,-41.016,-41.016,-80.566,-136.719
1688814060.713,-101.562,-41.992,-44.922,-45.410,-129.395
1688814060.717,-231.934,-43.457,-42.480,15.137,-20.996
1688814060.721,-186.523,-41.504,-41.992,-1.465,11.230
1688814060.725,-14.648,-40.527,-51.758,-72.266,-12.695
1688814060.729,17.090,-40.527,-54.199,-71.777,-114.746
1688814060.733,-44.434,-40.527,-53.223,-36.133,-5.859
1688814060.737,-185.059,-38.574,-47.852,25.391,245.605
1688814060.740,-182.129,-37.598,-46.387,17.090,135.742
1688814060.744,-2.930,-39.062,-50.293,-52.734,-108.887
1688814060.748,48.340,-40.039,-44.434,-62.500,-109.375
1688814060.752,-11.719,-42.969,-38.086,-30.762,220.703
1688814060.756,-159.668,-46.387,-42.969,14.648,150.391
1688814060.743,-191.406,-41.504,-44.434,4.395,-131.348
1688814060.747,-17.578,-35.645,-42.969,-59.570,45.410
1688814060.751,45.898,-33.203,-45.898,-71.289,128.906
1688814060.755,-12.207,-32.715,-42.480,-55.176,-84.473
1688814060.759,-146.484,-32.227,-37.598,-7.812,-56.152
1688814060.763,-203.613,-36.133,-40.527,11.719,220.215
1688814060.767,-52.246,-37.109,-42.969,-48.828,196.289
1688814060.770,32.715,-32.227,-40.527,-72.266,-44.922
1688814060.774,-7.812,-34.180,-42.969,-58.594,-123.047
1688814060.778,-143.066,-37.109,-41.992,-3.906,76.172
1688814060.782,-229.980,-34.668,-34.180,26.855,219.238
1688814060.786,-80.566,-33.203,-34.180,-50.781,-16.602
1688814060.804,28.320,-28.809,-29.297,-81.055,-130.371
1688814060.808,-10.254,-33.691,-32.227,-57.617,-95.703
1688814060.812,-131.348,-37.109,-36.133,-10.742,7.812
1688814060.816,-227.539,-32.227,-30.762,23.438,7.812
1688814060.820,-85.938,-30.762,-28.809,-35.156,-46.875
1688814060.824,52.734,-23.438,-23.926,-70.801,48.828
1688814060.828,37.598,-20.508,-21.973,-54.199,-21.484
1688814060.831,-77.637,-27.344,-27.344,-10.254,-96.680
1688814060.835,-195.801,-32.227,-27.344,33.203,49.805
1688814060.839,-83.008,-26.855,-24.414,-16.602,255.371
1688814060.843,57.617,-24.902,-24.414,-64.453,109.863
1688814060.847,46.875,-22.461,-21.973,-53.711,-168.457
1688814060.850,-60.059,-23.438,-21.973,-13.184,-11.230
1688814060.854,-192.383,-32.715,-20.996,43.945,282.227
1688814060.858,-100.586,-30.273,-19.043,1.953,68.359
1688814060.862,52.734,-25.879,-22.461,-62.012,-183.594
1688814060.866,49.316,-29.785,-22.461,-59.570,-97.656
1688814060.870,-51.758,-33.203,-19.043,-20.020,3.418
1688814060.874,-213.867,-29.297,-14.648,34.180,56.641
1688814060.877,-173.340,-25.391,-14.160,0.977,-67.383
1688814060.881,-14.648,-24.902,-15.137,-54.199,-15.137
1688814060.885,-5.371,-24.902,-17.090,-51.758,174.805
1688814060.889,-87.891,-28.320,-19.531,-25.879,-4.395
1688814060.893,-243.652,-32.715,-21.484,17.090,-129.883
1688814060.893,-227.539,-30.762,-23.438,-9.766,-29.297
1688814060.897,-61.035,-30.273,-20.508,-70.312,-67.383
1688814060.901,-37.598,-32.227,-20.508,-68.848,-169.922
1688814060.905,-118.164,-30.762,-23.438,-44.434,-180.176
1688814060.909,-279.785,-35.156,-23.926,-1.465,2.930
1688814060.913,-289.551,-37.109,-28.809,-5.859,164.062
1688814060.917,-110.840,-34.180,-31.738,-63.965,76.172
1688814060.920,-57.617,-35.156,-28.320,-73.730,-71.289
1688814060.924,-112.305,-35.156,-30.273,-47.363,178.711
1688814060.928,-266.113,-33.203,-31.250,-2.441,239.258
1688814060.932,-296.387,-35.156,-29.297,-8.301,-56.152
1688814060.936,-111.328,-35.645,-32.227,-71.289,13.672
1688814060.938,-42.969,-35.156,-37.109,-87.402,50.781
1688814060.942,-86.914,-41.504,-40.039,-64.941,-38.574
1688814060.946,-219.727,-40.039,-35.156,-2.441,-23.926
1688814060.950,-267.578,-37.109,-30.762,26.855,161.133
1688814060.954,-99.609,-35.645,-34.668,-47.852,202.148
1688814060.958,-12.695,-36.133,-34.180,-82.031,-46.875
1688814060.962,-54.199,-35.645,-33.691,-62.500,-120.117
1688814060.965,-180.176,-34.180,-28.809,-3.418,135.254
1688814060.969,-260.742,-30.273,-22.461,41.504,279.785
1688814060.973,-105.957,-22.461,-20.996,-29.785,-41.504
1688814060.977,1.465,-25.879,-23.438,-67.383,-167.480
1688814060.981,-26.367,-26.855,-30.273,-48.828,-103.516
1688814060.985,-136.719,-31.250,-29.785,3.418,-61.035
1688814060.989,-257.324,-33.691,-25.879,30.762,-0.488
1688814060.993,-139.160,-25.391,-29.785,-47.363,-41.016
1688814060.997,-8.301,-26.855,-32.227,-87.891,-61.523
1688814061.001,-25.391,-30.273,-30.762,-83.496,-118.164
1688814061.005,-129.395,-28.809,-23.438,-52.246,-146.484
1688814061.009,-245.605,-23.926,-20.508,-6.348,64.453
1688814061.012,-143.066,-24.414,-26.367,-58.105,249.023
1688814061.016,-2.441,-28.320,-24.414,-115.234,-6.348
1688814061.020,2.441,-24.902,-20.508,-98.633,-197.266
1688814061.024,-90.820,-29.785,-21.973,-48.340,-56.641
1688814061.028,-226.074,-32.227,-24.902,2.930,179.199
1688814061.043,-145.020,-31.738,-31.250,-41.992,200.684
1688814061.047,13.672,-33.691,-32.227,-103.027,-10.254
1688814061.051,12.695,-38.086,-36.133,-97.656,67.383
1688814061.055,-76.172,-38.574,-41.504,-62.012,193.848
1688814061.059,-208.984,-37.109,-37.109,-5.371,29.785
1688814061.063,-156.738,-41.504,-41.504,-26.855,-42.969
1688814061.067,3.906,-41.504,-45.898,-81.543,137.695
1688814061.070,15.625,-42.969,-39.551,-78.613,307.617
1688814061.074,-61.523,-43.457,-37.598,-53.223,56.152
1688814061.078,-214.355,-44.434,-35.645,2.441,13.184
1688814061.082,-196.777,-40.527,-29.785,-12.207,28.320
1688814061.086,-10.254,-38.574,-32.715,-76.172,-117.676
1688814061.073,25.879,-42.969,-35.156,-76.660,-150.879
1688814061.077,-40.039,-46.387,-34.668,-45.898,-104.492
1688814061.081,-177.734,-47.852,-33.203,10.254,35.156
1688814061.085,-184.570,-48.828,-34.180,2.441,40.527
1688814061.089,-18.555,-51.270,-35.156,-69.336,-85.938
1688814061.093,28.809,-51.270,-32.715,-78.613,3.418
1688814061.097,-28.809,-46.875,-31.250,-56.641,137.695
1688814061.100,-170.410,-40.039,-32.227,-8.301,99.121
1688814061.104,-209.473,-36.133,-35.156,3.418,10.742
1688814061.108,-41.016,-39.551,-41.992,-67.871,-14.648
1688814061.112,34.180,-45.898,-47.852,-84.961,269.531
1688814061.116,-1.953,-42.480,-44.434,-54.688,236.328
1688814061.134,-125.488,-41.504,-39.551,-12.695,18.555
1688814061.138,-192.871,-48.340,-40.039,6.836,131.348
1688814061.142,-29.785,-46.875,-39.551,-43.945,139.160
1688814061.146,73.730,-44.434,-38.086,-74.219,-143.066
1688814061.150,44.434,-39.551,-43.457,-64.453,-269.531
1688814061.154,-77.148,-40.527,-43.457,-16.113,-22.949
1688814061.158,-173.828,-48.828,-44.434,15.625,146.484
1688814061.161,-30.273,-50.293,-48.340,-56.641,-102.539
1688814061.165,85.938,-49.805,-42.480,-95.215,-200.195
1688814061.169,45.898,-56.152,-42.480,-65.918,121.094
1688814061.173,-84.473,-56.641,-41.992,-17.090,216.309
1688814061.177,-187.988,-49.805,-33.691,22.949,-10.742
1688814061.178,-57.617,-51.270,-29.785,-29.297,-125.488
