timestamps,TP9,AF7,AF8,TP10,Right AUX
1688816001.338,114.258,-25.879,-12.695,-127.441,-151.367
1688816001.342,61.523,-26.367,-16.113,-101.562,-106.934
1688816001.346,-113.281,-23.438,-19.531,11.719,-115.723
1688816001.350,-202.148,-23.438,-23.926,66.406,-102.051
1688816001.354,-10.254,-24.902,-19.043,-60.059,-146.484
1688816001.358,121.094,-28.320,-15.625,-132.812,-129.883
1688816001.362,84.961,-24.902,-17.578,-101.074,-184.570
1688816001.365,-77.148,-18.555,-20.020,0.000,-80.566
1688816001.369,-199.707,-21.484,-20.508,76.660,329.590
1688816001.373,-37.109,-20.508,-15.137,-26.855,38.574
1688816001.377,121.094,-21.973,-15.137,-119.629,-278.809
1688816001.381,99.609,-29.785,-19.043,-108.398,-94.727
1688816001.397,-55.176,-28.809,-25.391,-17.090,5.371
1688816001.401,-200.195,-25.879,-27.344,79.102,2.441
1688816001.405,-63.965,-27.832,-22.949,-15.625,-125.977
1688816001.409,102.539,-29.785,-24.414,-129.395,-282.227
1688816001.413,93.262,-28.809,-27.832,-118.164,-285.645
1688816001.417,-42.969,-26.367,-32.715,-23.438,-66.406
1688816001.421,-194.336,-31.250,-36.621,83.008,151.855
1688816001.424,-94.238,-36.133,-32.715,11.719,146.484
1688816001.428,85.938,-35.156,-31.250,-114.746,-62.988
1688816001.432,105.469,-32.715,-34.180,-124.023,-218.262
1688816001.436,-16.602,-31.250,-38.086,-50.293,-193.359
1688816001.440,-202.637,-32.227,-40.527,74.219,224.121
1688816001.429,-135.254,-27.344,-32.227,29.297,302.246
1688816001.433,66.895,-25.391,-28.809,-100.098,-135.254
1688816001.437,100.586,-31.738,-34.668,-117.188,-242.188
1688816001.441,-10.742,-36.621,-36.621,-51.270,-90.820
1688816001.445,-200.684,-35.156,-36.621,69.336,-51.270
1688816001.449,-154.297,-32.227,-26.855,42.969,-76.660
1688816001.453,61.035,-32.715,-16.113,-79.590,-8.789
1688816001.456,104.980,-29.297,-17.090,-102.539,44.922
1688816001.460,12.695,-25.879,-23.926,-57.129,-125.977
1688816001.464,-171.387,-30.273,-33.203,61.523,-92.773
1688816001.468,-167.480,-33.203,-26.855,65.430,33.203
1688816001.472,48.340,-29.297,-11.719,-59.570,103.027
1688816001.488,125.000,-24.414,-13.184,-109.375,-140.137
1688816001.492,51.270,-24.902,-18.066,-65.918,-252.441
1688816001.496,-137.207,-27.344,-21.973,57.129,43.945
1688816001.500,-162.109,-20.996,-18.066,78.613,103.516
1688816001.504,49.805,-17.578,-9.277,-43.457,-181.152
1688816001.508,138.184,-22.949,-2.930,-97.168,-249.512
1688816001.512,74.707,-23.926,-1.465,-61.523,71.289
1688816001.515,-106.445,-25.879,-11.230,57.617,312.012
1688816001.519,-162.109,-23.926,-12.695,96.191,56.152
1688816001.523,22.461,-19.043,-0.488,-24.902,-147.461
1688816001.527,128.418,-23.926,0.000,-95.215,-85.938
1688816001.531,94.727,-26.855,-0.977,-65.918,-158.691
1688816001.535,-77.637,-25.879,-6.348,40.527,-150.391
1688816001.539,-181.641,-27.832,-13.672,101.562,30.762
1688816001.543,-14.160,-23.438,-7.812,-24.902,-65.430
1688816001.547,102.051,-17.578,-14.160,-134.766,-261.719
1688816001.551,75.684,-11.230,-22.949,-115.723,-227.051
1688816001.555,-69.336,-9.277,-27.344,-7.324,-20.020
1688816001.559,-194.824,-2.441,-34.668,80.566,112.793
1688816001.562,-47.852,6.836,-35.645,-26.367,-20.020
1688816001.566,111.816,12.207,-36.133,-126.465,-249.023
1688816001.570,93.262,13.672,-43.457,-113.770,-231.934
1688816001.574,-52.246,12.207,-56.641,-31.250,-22.461
1688816001.578,-191.895,17.090,-62.988,62.500,73.242
1688816001.578,-54.688,20.996,-55.664,-24.414,-45.898
1688816001.582,122.559,17.578,-51.758,-134.277,-93.262
1688816001.586,117.676,18.555,-61.035,-112.305,-95.703
1688816001.590,-5.859,26.855,-68.359,-26.855,-175.293
1688816001.594,-187.500,20.996,-74.707,62.012,22.461
1688816001.598,-83.984,17.090,-74.707,-4.395,227.051
1688816001.602,117.188,30.762,-67.383,-126.953,92.285
1688816001.605,127.930,30.273,-65.918,-136.719,-132.324
1688816001.609,22.949,26.855,-73.242,-63.477,-103.516
1688816001.613,-159.180,20.996,-83.008,56.641,345.215
1688816001.617,-88.379,16.602,-79.590,22.949,591.797
1688816001.621,109.863,22.461,-75.684,-122.070,97.168
1688816001.637,139.160,22.461,-72.754,-136.719,-248.535
1688816001.641,54.688,18.555,-66.895,-59.082,12.207
1688816001.645,-132.324,20.020,-65.430,61.523,98.145
1688816001.649,-105.469,22.949,-57.129,40.527,-62.500
1688816001.653,110.352,16.113,-46.387,-97.168,-165.527
1688816001.657,142.090,7.324,-46.387,-123.535,-153.809
1688816001.661,58.594,2.930,-49.316,-68.848,-103.516
1688816001.664,-120.605,-0.488,-53.711,47.363,-103.027
1688816001.668,-135.742,-0.977,-47.363,66.406,-27.832
1688816001.672,64.941,-6.348,-39.062,-63.965,92.285
1688816001.676,141.113,-8.789,-44.434,-125.488,-137.207
1688816001.680,76.172,-8.301,-45.898,-85.449,-233.398
1688816001.714,-117.676,-16.113,-44.434,29.785,7.812
1688816001.718,-177.734,-17.090,-45.410,52.246,122.070
1688816001.722,36.133,-8.301,-37.109,-65.430,-150.391
1688816001.726,142.578,-2.930,-30.273,-109.375,-215.820
1688816001.730,81.543,-3.906,-33.203,-69.336,-78.125
1688816001.734,-95.703,-10.742,-45.898,27.832,65.430
1688816001.738,-170.410,-8.789,-48.340,67.383,59.570
1688816001.741,24.902,-2.441,-36.621,-47.363,-138.184
1688816001.745,145.508,-8.789,-32.227,-113.770,-91.797
1688816001.749,103.516,-12.695,-38.574,-82.520,-113.281
1688816001.753,-60.547,-8.301,-45.410,25.879,-169.922
1688816001.757,-179.688,-11.719,-46.387,104.004,-46.387
1688816001.728,-18.066,-17.578,-35.156,-0.977,148.438
1688816001.732,122.070,-17.578,-32.227,-99.121,-33.691
1688816001.736,96.680,-20.996,-37.598,-87.891,-314.453
1688816001.740,-55.176,-26.367,-42.969,7.812,-133.789
1688816001.744,-204.590,-25.879,-44.434,98.633,128.906
1688816001.748,-59.082,-22.461,-39.062,12.207,30.273
1688816001.752,105.469,-20.996,-37.109,-101.074,-192.871
1688816001.755,86.426,-23.438,-43.457,-90.820,-118.652
1688816001.759,-54.199,-29.785,-50.293,-1.953,79.102
1688816001.763,-206.543,-27.344,-58.105,83.496,70.312
1688816001.767,-83.496,-26.855,-52.734,10.254,-140.625
1688816001.771,93.750,-27.832,-36.621,-97.656,-144.531
1688816001.773,93.262,-24.902,-31.250,-101.562,-5.859
1688816001.777,-22.949,-22.949,-37.598,-21.973,-116.211
1688816001.781,-190.918,-25.879,-47.852,81.543,-78.125
1688816001.785,-111.328,-29.297,-48.340,20.996,107.422
1688816001.789,85.938,-24.902,-37.598,-98.633,-20.020
1688816001.793,113.770,-24.414,-41.016,-120.605,-205.566
1688816001.797,0.488,-24.902,-52.734,-54.199,-84.961
1688816001.800,-185.547,-21.484,-53.711,74.219,147.949
1688816001.804,-129.883,-16.113,-46.387,46.875,389.160
1688816001.808,58.594,-14.160,-42.480,-91.309,120.605
1688816001.812,99.609,-19.043,-43.945,-125.977,-241.699
1688816001.816,9.277,-25.391,-45.410,-54.199,49.805
1688816001.803,-180.176,-25.391,-47.363,79.590,404.785
1688816001.807,-157.715,-23.926,-48.340,63.965,98.145
1688816001.811,50.781,-31.250,-42.480,-76.660,-257.812
1688816001.815,104.980,-40.527,-43.945,-117.188,-284.180
1688816001.819,34.180,-37.109,-47.852,-71.289,-201.660
1688816001.823,-145.996,-34.668,-53.711,44.922,30.273
1688816001.827,-179.199,-33.203,-55.176,61.035,157.715
1688816001.830,28.320,-28.809,-48.340,-76.172,-31.738
1688816001.834,120.117,-26.855,-43.457,-134.766,-245.117
1688816001.838,55.176,-25.879,-46.387,-91.309,-215.332
