timestamps,TP9,AF7,AF8,TP10,Right AUX
1688816313.193,-20.020,3.906,-83.984,-78.613,-168.457
1688816313.197,86.914,8.789,-85.938,-140.137,-271.973
1688816313.201,60.059,12.207,-79.590,-123.535,-54.199
1688816313.205,-67.383,10.254,-83.008,-54.688,147.949
1688816313.209,-172.852,4.395,-91.309,15.137,42.480
1688816313.213,-31.250,2.930,-86.426,-55.664,-74.219
1688816313.217,84.473,-1.465,-84.961,-126.465,139.160
1688816313.220,70.801,-1.465,-92.285,-115.723,267.090
1688816313.224,-35.645,4.395,-88.379,-56.641,-71.777
1688816313.228,-159.180,4.395,-87.402,31.250,-36.133
1688816313.232,-46.387,3.906,-85.449,-22.949,94.727
1688816313.236,88.867,0.977,-78.613,-102.539,-122.070
1688816313.250,88.379,-3.418,-78.125,-104.980,-245.605
1688816313.254,-0.488,-6.348,-74.219,-42.480,-166.016
1688816313.258,-143.555,-9.277,-63.477,56.641,-20.996
1688816313.262,-71.289,-8.301,-62.988,-1.953,-30.273
1688816313.266,81.543,-10.254,-56.641,-103.027,-144.043
1688816313.270,88.867,-18.066,-49.316,-101.562,-165.039
1688816313.274,6.348,-24.902,-49.316,-39.062,155.273
1688816313.277,-164.062,-29.785,-52.734,53.711,335.938
1688816313.281,-135.742,-28.809,-55.176,2.441,0.000
1688816313.285,45.898,-21.484,-51.270,-100.098,-170.410
1688816313.289,75.684,-16.113,-48.340,-109.375,-196.777
1688816313.293,2.441,-21.484,-45.410,-63.477,-230.957
1688816313.295,-148.926,-27.832,-44.434,31.250,-85.938
1688816313.299,-123.535,-23.438,-43.457,28.320,13.672
1688816313.303,49.805,-16.113,-41.992,-60.547,-10.254
1688816313.307,83.496,-19.043,-47.363,-91.797,-95.215
1688816313.311,27.832,-23.926,-49.316,-64.453,-164.062
1688816313.315,-126.953,-23.926,-45.410,41.992,132.812
1688816313.319,-152.344,-21.973,-42.969,56.641,298.340
1688816313.322,27.832,-24.902,-43.945,-44.434,49.316
1688816313.326,99.609,-27.832,-41.992,-82.031,-103.027
1688816313.330,36.621,-34.668,-40.527,-59.082,80.566
1688816313.334,-113.770,-31.738,-41.016,39.062,324.219
