timestamps,TP9,AF7,AF8,TP10,Right AUX
1688816660.382,-77.637,-31.738,-50.293,-103.027,-99.121
1688816660.386,66.895,-28.809,-50.293,-42.969,-141.113
1688816660.390,65.918,-35.156,-47.852,8.301,-162.109
1688816660.394,-37.598,-35.156,-46.875,-20.020,-130.859
1688816660.398,-181.152,-30.762,-49.316,-102.051,-92.285
1688816660.402,-113.770,-31.738,-50.781,-128.418,-100.586
1688816660.406,30.762,-32.715,-53.711,-58.105,-127.930
1688816660.409,54.688,-36.621,-55.664,-8.301,-39.551
1688816660.413,-23.438,-37.109,-53.223,-18.555,219.727
1688816660.417,-161.621,-35.645,-53.223,-67.383,150.879
1688816660.421,-117.188,-32.715,-53.223,-105.469,-121.582
1688816660.425,31.738,-33.691,-50.293,-52.734,-114.258
1688816660.425,31.738,-33.691,-50.293,-52.734,-114.258
1688816660.428,69.336,-40.039,-50.781,12.207,26.367
1688816660.432,4.395,-39.551,-46.387,0.000,-92.285
1688816660.436,-143.066,-34.668,-40.039,-48.340,-152.344
1688816660.440,-139.648,-35.645,-37.109,-94.238,-104.980
1688816660.444,15.625,-37.109,-40.527,-56.152,-121.094
1688816660.448,72.754,-36.133,-40.527,13.184,-2.930
1688816660.452,25.391,-36.133,-38.086,13.184,107.910
1688816660.455,-127.930,-32.715,-37.109,-23.926,72.266
1688816660.459,-165.527,-30.273,-34.180,-77.148,116.699
1688816660.463,-1.465,-28.320,-35.645,-52.734,-45.898
1688816660.467,65.430,-31.738,-40.039,8.789,-52.734
1688816660.471,16.113,-34.668,-33.691,17.578,38.086
1688816660.472,-108.887,-28.320,-26.855,-17.090,-11.719
1688816660.476,-162.109,-20.020,-26.855,-85.938,-71.289
1688816660.480,-15.137,-24.902,-29.785,-74.707,-110.840
1688816660.484,76.660,-29.297,-28.320,9.277,-100.586
1688816660.488,49.316,-23.926,-24.414,25.879,-129.883
1688816660.492,-87.891,-27.344,-21.973,-10.254,-22.949
1688816660.496,-178.223,-28.320,-20.020,-62.988,51.270
1688816660.499,-30.762,-23.438,-20.020,-60.059,139.648
1688816660.503,90.820,-17.090,-21.973,15.625,22.949
1688816660.507,71.777,-14.160,-22.461,37.598,-97.656
1688816660.511,-60.059,-20.508,-23.438,-1.465,25.391
1688816660.515,-164.551,-21.973,-24.414,-69.336,-43.945
1688816660.519,-48.340,-31.738,-22.461,-82.031,-142.090
1688816660.523,78.613,-35.156,-27.832,0.977,-140.625
1688816660.527,81.543,-26.367,-30.273,37.109,-62.500
1688816660.531,-31.738,-22.949,-32.715,-0.977,147.461
1688816660.535,-167.969,-24.414,-39.062,-68.848,-6.348
1688816660.539,-73.730,-26.367,-47.363,-86.914,-179.688
1688816660.543,69.336,-25.391,-54.688,-15.137,83.984
1688816660.546,65.918,-26.367,-50.293,20.996,208.008
1688816660.550,-30.273,-28.809,-50.293,-9.766,-97.168
1688816660.554,-160.156,-27.832,-49.805,-62.988,-150.391
1688816660.558,-98.633,-28.320,-45.898,-91.797,-105.957
1688816660.562,56.641,-30.762,-50.781,-27.832,-177.246
1688816660.578,68.359,-33.691,-52.246,20.020,-169.922
1688816660.582,-18.555,-32.227,-49.805,-2.930,-112.305
1688816660.586,-151.855,-34.180,-48.340,-48.828,-38.574
1688816660.590,-125.000,-33.203,-47.852,-88.379,11.230
1688816660.594,26.855,-29.785,-43.945,-41.504,-109.375
1688816660.598,66.406,-34.180,-40.039,22.949,-31.250
1688816660.602,2.930,-30.762,-39.551,25.391,391.113
