timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767263.965,-64.453,-23.438,-53.223,41.016,-109.863
1687767263.969,-56.641,-19.531,-53.223,25.879,-99.121
1687767263.973,-47.363,-19.531,-61.035,20.020,-120.605
1687767263.977,-44.434,-23.926,-66.895,29.297,-142.090
1687767263.981,-50.781,-20.508,-56.152,49.316,-52.734
1687767263.985,-59.570,-20.508,-55.664,28.809,72.266
1687767263.989,-64.453,-22.461,-62.988,3.418,16.113
1687767263.992,-38.574,-23.438,-64.941,4.395,-107.910
1687767263.996,-52.246,-25.391,-56.641,17.578,141.113
1687767264.000,-73.730,-26.855,-55.664,36.133,169.434
1687767264.004,-61.523,-29.785,-62.500,27.832,-140.625
1687767264.008,-67.383,-27.832,-62.988,17.090,-59.082
1687767264.010,-68.359,-28.809,-57.617,29.785,-41.992
1687767264.014,-62.012,-30.762,-59.570,32.227,-105.469
1687767264.018,-45.410,-27.832,-61.035,9.766,-125.000
1687767264.022,-26.855,-25.879,-59.570,5.371,-76.660
1687767264.026,-31.738,-29.297,-62.988,33.691,101.562
1687767264.030,-47.363,-41.016,-61.523,27.344,82.031
1687767264.034,-46.875,-38.574,-58.594,18.066,11.230
1687767264.037,-48.340,-39.551,-63.965,16.113,116.699
1687767264.041,-70.801,-50.781,-63.965,8.301,268.555
1687767264.045,-73.242,-51.270,-57.617,7.812,-43.945
1687767264.049,-43.945,-47.852,-56.641,-21.973,-293.457
1687767264.053,-48.828,-48.828,-51.758,-1.465,-176.270
1687767264.055,-39.062,-52.246,-47.363,18.066,-101.562
1687767264.059,-27.832,-49.805,-48.340,2.930,-163.574
1687767264.063,-46.875,-50.293,-48.340,-1.953,-173.828
1687767264.067,-57.617,-51.758,-52.246,-15.625,-93.750
1687767264.071,-68.359,-52.734,-54.199,-10.254,-104.004
1687767264.075,-57.129,-53.223,-41.992,-14.160,-93.750
1687767264.079,-45.410,-53.223,-37.598,-35.156,-93.750
1687767264.082,-61.035,-53.711,-49.805,-27.832,146.484
1687767264.086,-46.875,-52.734,-48.828,-21.484,189.453
1687767264.090,-39.062,-56.641,-41.016,-22.949,0.977
1687767264.094,-55.664,-58.594,-40.527,-9.277,80.566
1687767264.098,-48.340,-58.105,-38.086,1.953,6.348
1687767264.100,-50.293,-62.500,-38.574,-39.551,-166.504
1687767264.104,-56.152,-64.453,-42.969,-54.688,-134.277
1687767264.108,-29.297,-64.453,-37.598,-31.250,13.672
1687767264.112,-31.738,-63.477,-37.598,-35.156,-6.836
1687767264.116,-66.895,-60.059,-50.293,-31.738,-104.492
1687767264.120,-60.547,-68.848,-58.105,-25.879,-174.316
1687767264.124,-19.043,-74.219,-56.641,-41.504,53.711
1687767264.127,-37.109,-72.266,-47.363,-31.250,209.473
1687767264.131,-42.480,-71.289,-41.504,-34.668,-125.977
1687767264.135,-17.578,-67.383,-43.945,-42.969,-159.180
1687767264.139,-37.109,-57.617,-40.039,-33.203,-70.312
1687767264.143,-43.457,-60.059,-45.410,-45.898,-79.590
1687767264.146,-21.973,-70.801,-50.781,-42.480,-21.973
1687767264.150,-18.555,-66.406,-48.340,-34.180,-80.078
1687767264.154,-38.574,-67.383,-49.805,-41.016,17.090
1687767264.158,-11.719,-69.336,-52.246,-32.715,15.625
1687767264.162,-14.648,-69.824,-51.270,-23.438,-141.602
1687767264.166,-13.672,-73.242,-49.805,-30.762,-41.504
1687767264.170,-12.207,-65.430,-50.293,-32.227,277.832
1687767264.173,2.441,-60.059,-52.246,-36.133,234.863
1687767264.177,14.160,-62.012,-58.594,-64.453,-122.070
1687767264.181,-15.625,-62.988,-50.781,-57.129,-152.344
1687767264.185,-16.602,-65.430,-51.270,-51.758,-125.000
1687767264.189,-8.301,-63.965,-60.059,-55.664,-157.715
1687767264.198,-17.578,-66.895,-54.199,-46.875,-183.594
1687767264.202,-20.996,-61.523,-49.805,-55.664,-56.152
1687767264.206,-7.812,-55.664,-52.246,-37.598,144.043
1687767264.210,3.906,-61.523,-53.711,-47.852,-11.230
1687767264.214,16.602,-59.570,-50.293,-48.340,-164.062
1687767264.218,0.488,-60.547,-50.781,-52.734,51.270
1687767264.222,-20.508,-68.359,-59.082,-70.312,411.621
1687767264.225,-27.344,-62.988,-63.965,-59.570,153.809
1687767264.229,-21.973,-61.523,-57.129,-71.777,-169.922
1687767264.233,-17.578,-65.918,-52.246,-78.613,-20.508
1687767264.237,-16.113,-62.012,-56.641,-52.734,-63.477
1687767264.241,-1.953,-53.223,-58.594,-55.176,-206.055
1687767264.236,-9.277,-49.805,-53.223,-58.594,-195.801
1687767264.240,-13.672,-53.711,-58.105,-49.316,-134.766
1687767264.244,-22.949,-54.199,-63.477,-58.594,-66.895
1687767264.248,-28.809,-50.781,-54.688,-61.523,-111.328
1687767264.252,-19.531,-56.152,-51.758,-49.316,-62.988
1687767264.256,-18.066,-61.035,-55.664,-40.527,199.707
1687767264.260,-21.484,-56.152,-55.664,-35.645,192.871
1687767264.263,-5.859,-49.805,-53.711,-43.457,-88.867
1687767264.267,-7.812,-43.945,-51.270,-45.898,-102.051
1687767264.271,-29.297,-53.711,-53.711,-36.621,70.312
1687767264.275,-32.227,-52.734,-55.664,-47.852,8.301
1687767264.279,-36.133,-47.852,-55.176,-54.199,-146.484
1687767264.295,-25.391,-55.664,-56.152,-42.969,-109.375
1687767264.299,-10.254,-56.152,-51.758,-53.223,-10.254
1687767264.303,-17.578,-46.875,-51.270,-63.477,-59.082
1687767264.307,-35.645,-43.945,-51.270,-62.988,-261.230
1687767264.311,-40.527,-46.387,-51.270,-62.012,-83.984
1687767264.315,-32.715,-43.945,-53.223,-54.688,217.285
1687767264.319,-21.973,-45.410,-48.340,-58.594,-3.418
1687767264.322,-25.879,-49.316,-43.945,-51.270,-90.332
1687767264.326,-47.363,-51.270,-41.016,-47.363,21.484
1687767264.330,-35.645,-51.270,-42.969,-59.082,125.000
1687767264.334,-29.785,-44.922,-43.457,-60.547,-54.199
1687767264.338,-43.457,-37.109,-45.898,-70.312,-153.320
1687767264.340,-46.387,-42.969,-49.805,-53.223,-105.469
1687767264.344,-34.180,-52.246,-53.223,-38.086,-96.680
1687767264.348,-42.480,-44.434,-53.711,-47.363,-107.910
1687767264.352,-50.781,-37.109,-46.875,-56.641,-86.914
1687767264.356,-46.387,-32.227,-42.969,-70.801,-33.691
1687767264.360,-73.242,-32.227,-43.457,-67.871,-28.809
1687767264.364,-66.406,-35.645,-48.828,-62.988,-22.461
1687767264.367,-67.871,-37.598,-50.293,-78.125,-122.559
1687767264.371,-79.102,-37.598,-47.363,-68.848,107.910
1687767264.375,-71.289,-40.527,-50.293,-73.242,169.434
1687767264.379,-77.148,-43.945,-46.875,-72.754,-132.812
1687767264.383,-77.148,-42.480,-36.621,-60.059,-59.570
1687767264.385,-66.406,-38.086,-37.109,-74.707,29.785
1687767264.389,-63.477,-34.668,-50.781,-67.383,-28.320
1687767264.393,-86.914,-37.109,-54.199,-71.289,-28.809
1687767264.397,-88.379,-36.621,-50.293,-59.082,32.715
1687767264.401,-68.848,-41.504,-54.688,-55.176,135.742
1687767264.405,-60.059,-42.969,-44.434,-85.449,86.426
