timestamps,TP9,AF7,AF8,TP10,Right AUX
1687768944.659,-45.898,-45.410,-16.602,-51.758,-117.188
1687768944.663,-49.805,-56.152,-14.648,-38.574,-189.453
1687768944.667,-21.973,-56.641,-16.602,-9.277,-85.938
1687768944.671,-19.043,-45.898,-20.020,-16.113,-32.715
1687768944.675,-30.762,-35.156,-32.227,-55.176,-116.699
1687768944.679,-36.621,-36.621,-44.434,-82.520,-83.984
1687768944.683,-43.945,-40.039,-41.016,-79.102,200.684
1687768944.686,-50.781,-32.715,-38.086,-75.195,278.809
1687768944.690,-64.453,-30.273,-46.387,-90.820,-67.383
1687768944.694,-66.406,-26.855,-58.105,-99.121,-203.613
1687768944.698,-75.195,-28.320,-65.430,-102.051,-28.320
1687768944.702,-75.684,-26.855,-68.848,-102.051,-35.645
1687768944.704,-70.801,-23.438,-71.777,-112.305,-161.621
1687768944.708,-83.496,-22.461,-78.125,-132.324,-177.246
1687768944.712,-90.820,-17.578,-79.590,-141.602,-138.672
1687768944.716,-82.520,-12.695,-75.195,-133.789,-133.301
1687768944.720,-83.008,-8.789,-75.195,-129.395,-155.762
1687768944.724,-87.891,-5.859,-78.125,-139.648,26.855
1687768944.728,-85.449,-7.324,-77.148,-144.043,350.586
1687768944.731,-71.289,-3.418,-78.125,-144.043,121.582
1687768944.735,-60.547,-0.977,-83.008,-140.625,-163.574
1687768944.739,-62.012,-1.953,-85.938,-143.066,-49.805
1687768944.743,-59.082,1.465,-89.355,-134.766,146.484
1687768944.747,-54.199,7.812,-96.191,-122.559,118.652
1687768944.750,-47.852,7.324,-97.656,-121.094,-61.523
1687768944.754,-36.621,4.395,-103.027,-122.070,-29.785
1687768944.758,-26.855,10.254,-106.934,-114.258,103.027
1687768944.762,-19.043,12.695,-105.469,-116.211,-64.453
1687768944.766,-13.184,14.648,-106.934,-117.188,-135.254
1687768944.770,-11.719,12.695,-110.840,-104.492,115.723
1687768944.774,-6.348,16.113,-111.816,-93.750,168.945
1687768944.777,0.977,21.973,-115.723,-96.680,-105.957
1687768944.781,11.230,20.996,-115.234,-84.473,-193.848
1687768944.785,11.230,22.949,-115.234,-79.102,-14.648
1687768944.789,6.348,18.066,-119.629,-83.008,-23.438
1687768944.793,16.113,12.695,-116.699,-66.406,-81.543
1687768944.809,21.973,10.742,-111.328,-57.617,49.316
1687768944.813,15.625,12.695,-107.910,-58.594,162.598
1687768944.817,15.137,16.602,-103.027,-62.500,40.039
1687768944.821,9.766,15.137,-101.562,-74.219,-159.668
1687768944.825,10.254,9.766,-94.727,-67.383,-128.906
1687768944.829,34.180,5.859,-82.031,-48.340,121.094
1687768944.833,36.133,1.465,-75.684,-48.340,140.625
1687768944.836,21.484,-1.953,-67.871,-50.781,-29.785
1687768944.840,16.113,-3.906,-69.336,-50.781,-33.203
1687768944.844,12.695,-6.348,-76.660,-51.758,147.461
1687768944.848,3.418,-8.789,-68.848,-53.223,20.508
1687768944.852,6.348,-13.184,-57.617,-53.711,-60.059
1687768944.854,3.906,-15.625,-54.199,-58.594,72.754
1687768944.858,-8.301,-16.602,-55.664,-52.734,125.488
1687768944.862,-9.277,-20.020,-60.547,-52.246,3.906
1687768944.866,-10.254,-22.461,-59.570,-60.547,-146.484
1687768944.870,-5.371,-21.973,-53.223,-49.805,-37.598
1687768944.874,-3.418,-25.879,-50.293,-42.969,72.754
1687768944.878,-7.812,-26.367,-47.852,-44.434,-6.836
1687768944.881,-13.672,-27.344,-54.199,-41.992,-112.305
1687768944.885,-18.555,-34.180,-53.711,-37.598,-2.441
1687768944.889,-12.207,-32.227,-41.992,-37.598,90.820
1687768944.893,-13.672,-26.367,-38.086,-38.574,-153.320
1687768944.897,-27.344,-27.344,-37.109,-39.551,-217.285
1687768944.898,-28.320,-30.273,-32.715,-43.945,-137.695
1687768944.902,-16.602,-26.367,-30.762,-36.133,-138.184
1687768944.906,-14.648,-21.484,-29.785,-31.250,-117.188
1687768944.910,-20.508,-20.996,-32.715,-33.203,-73.730
1687768944.914,-21.973,-24.902,-29.297,-27.344,-6.348
1687768944.918,-19.043,-26.367,-26.367,-30.762,10.742
1687768944.922,-12.695,-26.367,-34.180,-26.855,-46.387
1687768944.925,-10.742,-28.809,-33.691,-23.926,-61.035
1687768944.929,-17.578,-29.785,-30.762,-18.555,199.219
1687768944.933,-13.184,-25.879,-22.461,-19.043,116.211
1687768944.937,-7.812,-23.926,-21.484,-29.785,-152.344
1687768944.941,-10.254,-25.391,-27.832,-32.227,-9.277
1687768944.943,-13.672,-31.738,-25.879,-30.762,132.812
1687768944.947,-11.719,-25.391,-24.414,-37.109,-17.090
1687768944.951,-21.484,-25.391,-24.414,-41.016,-122.070
1687768944.955,-24.414,-28.320,-22.461,-36.133,-39.062
1687768944.959,-19.043,-25.391,-23.926,-39.062,-70.312
1687768944.963,-12.695,-33.203,-23.926,-30.762,-1.953
1687768944.967,-11.719,-35.156,-20.020,-21.484,-20.508
1687768944.970,-22.461,-30.762,-18.066,-23.438,82.520
1687768944.974,-28.320,-30.273,-17.090,-23.926,302.734
1687768944.978,-21.484,-29.785,-18.066,-28.809,-52.246
1687768944.982,-18.555,-27.344,-12.695,-27.832,-151.367
1687768944.986,-24.414,-34.180,-10.254,-38.574,-9.277
1687768944.988,-21.484,-36.133,-15.137,-36.621,-87.891
1687768944.992,-23.926,-30.273,-17.090,-30.762,-180.664
1687768944.996,-21.484,-29.785,-17.090,-26.855,-160.156
1687768945.000,-13.672,-30.273,-19.043,-13.184,-74.219
1687768945.004,-17.090,-30.762,-22.461,-16.113,-30.273
1687768945.008,-14.160,-27.344,-18.555,-17.090,-29.785
1687768945.012,-11.230,-26.367,-11.719,-19.043,-9.277
1687768945.015,-22.949,-27.832,-13.184,-27.344,223.633
1687768945.019,-16.602,-24.902,-10.254,-25.391,50.293
1687768945.023,-6.836,-23.438,-12.695,-22.461,-154.297
1687768945.027,-18.555,-26.855,-18.555,-19.043,-81.543
1687768945.031,-29.785,-29.785,-20.508,-23.926,134.277
1687768945.033,-25.391,-27.832,-18.555,-44.434,-33.691
1687768945.037,-21.973,-33.691,-25.391,-42.480,-216.797
1687768945.041,-17.090,-38.574,-25.879,-34.180,-107.910
1687768945.045,-20.020,-36.621,-25.391,-38.086,-95.215
1687768945.049,-36.621,-32.715,-28.320,-39.551,-140.137
1687768945.053,-40.527,-31.738,-20.508,-51.270,-100.098
1687768945.057,-41.016,-33.203,-15.625,-54.199,163.574
1687768945.060,-27.832,-27.344,-21.484,-34.180,250.977
1687768945.064,4.395,-20.996,-22.461,-15.625,-82.031
1687768945.068,-23.438,-27.832,-15.625,-25.879,-194.336
1687768945.072,-59.570,-32.227,-9.766,-47.363,-114.258
1687768945.076,-42.480,-31.250,-5.371,-39.551,-71.289
1687768945.079,-26.855,-31.738,0.488,-28.320,-126.465
1687768945.083,-27.832,-33.203,-2.441,-24.414,-79.102
1687768945.087,-30.273,-37.109,-6.836,-21.973,80.566
1687768945.091,-30.273,-34.668,-2.441,-24.902,-52.734
1687768945.095,-27.344,-33.691,-3.418,-31.738,-187.988
1687768945.099,-18.066,-34.180,-10.254,-32.715,-55.176
1687768945.103,-23.438,-38.574,-9.766,-27.344,201.660
1687768945.106,-36.133,-42.480,-6.836,-33.691,21.484
1687768945.110,-38.574,-41.504,-9.277,-31.738,-149.902
1687768945.114,-39.551,-41.992,-3.418,-24.414,-127.930
1687768945.118,-39.062,-40.039,0.977,-19.043,-107.910
