timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767006.790,-58.594,-42.480,-49.805,-42.969,75.684
1687767006.794,-59.570,-41.504,-36.133,-40.039,-9.766
1687767006.798,-55.664,-41.992,-38.574,-32.715,-126.465
1687767006.802,-46.387,-36.621,-39.551,-18.066,-108.398
1687767006.806,-31.250,-37.598,-38.086,-20.020,-20.508
1687767006.810,-34.180,-37.598,-42.969,-35.645,-38.574
1687767006.814,-26.855,-39.062,-44.434,-43.457,2.441
1687767006.817,-9.766,-38.574,-41.992,-37.109,66.406
1687767006.821,-20.996,-39.551,-52.734,-31.738,303.223
1687767006.825,-27.344,-50.781,-56.152,-44.434,337.891
1687767006.829,-35.645,-58.594,-46.387,-46.875,-62.012
1687767006.833,-39.062,-51.758,-38.574,-40.039,-33.691
1687767006.836,-46.387,-35.645,-38.086,-23.926,97.168
1687767006.840,-48.828,-32.715,-44.922,-27.832,67.871
1687767006.844,-42.480,-29.785,-41.016,-29.785,-22.949
1687767006.848,-61.523,-44.922,-51.758,-31.738,35.156
1687767006.851,-69.336,-54.688,-56.152,-36.133,53.223
1687767006.855,-61.523,-54.199,-40.039,-36.621,-24.414
1687767006.859,-69.336,-48.340,-32.227,-29.297,-74.219
1687767006.863,-72.266,-38.086,-40.527,-21.484,-123.047
1687767006.867,-80.566,-35.156,-44.434,-27.832,110.840
1687767006.865,-97.656,-37.598,-46.387,-35.156,189.941
1687767006.869,-106.445,-32.715,-46.387,-29.297,-32.715
1687767006.873,-105.469,-35.156,-36.621,-28.320,-5.859
1687767006.877,-109.863,-42.480,-37.598,-40.527,-69.824
1687767006.881,-131.836,-33.203,-51.270,-46.875,14.648
1687767006.885,-151.855,-37.598,-51.270,-61.035,25.879
1687767006.889,-154.785,-50.293,-40.527,-48.340,21.484
1687767006.892,-153.320,-50.781,-48.340,-38.574,412.109
1687767006.896,-155.273,-49.316,-53.223,-44.922,415.527
1687767006.900,-155.273,-43.457,-49.805,-43.945,-17.090
1687767006.904,-143.066,-49.805,-52.246,-51.270,-124.512
1687767006.908,-131.836,-53.711,-42.480,-55.176,-116.699
1687767006.912,-109.375,-37.109,-33.691,-54.688,-143.555
1687767006.916,-79.590,-36.621,-41.016,-60.547,-101.562
1687767006.920,-78.125,-45.898,-50.293,-61.035,-75.684
1687767006.924,-75.195,-50.293,-55.664,-58.594,-74.707
1687767006.928,-72.266,-62.988,-49.805,-61.035,-4.395
