timestamps,TP9,AF7,AF8,TP10,Right AUX
1687530675.902,-34.180,-16.113,-25.879,-31.738,-71.777
1687530675.906,-19.531,-16.113,-23.438,-24.902,37.109
1687530675.910,-27.344,-15.625,-23.926,-34.668,60.059
1687530675.914,-35.645,-17.090,-25.391,-38.574,66.895
1687530675.918,-30.762,-17.090,-20.508,-37.598,-26.855
1687530675.922,-26.367,-19.531,-22.461,-37.109,8.789
1687530675.926,-20.508,-22.949,-26.855,-39.551,118.164
1687530675.929,-19.043,-21.484,-23.926,-36.133,40.527
1687530675.933,-32.715,-22.461,-23.438,-34.180,-43.945
1687530675.937,-40.039,-21.973,-20.996,-35.645,22.949
1687530675.941,-36.621,-21.484,-20.996,-30.273,108.887
1687530675.945,-38.574,-22.461,-25.879,-28.809,63.965
1687530675.962,-33.203,-19.043,-20.020,-23.438,87.891
1687530675.966,-38.086,-18.066,-16.113,-23.926,221.191
1687530675.970,-47.363,-19.043,-19.043,-39.062,118.652
1687530675.974,-37.598,-20.020,-19.043,-49.805,-47.852
1687530675.978,-27.344,-19.531,-20.020,-42.480,-36.621
1687530675.982,-35.645,-18.555,-20.508,-40.039,124.023
1687530675.986,-50.781,-25.879,-22.461,-48.340,122.070
1687530675.989,-54.688,-27.344,-23.926,-52.734,-42.480
1687530675.993,-44.922,-22.461,-21.484,-49.316,-27.344
1687530675.997,-27.344,-15.625,-17.090,-32.715,304.199
1687530676.001,-20.508,-19.043,-17.578,-29.297,236.816
1687530676.005,-30.273,-22.949,-20.508,-34.668,-4.883
1687530676.007,-35.645,-20.996,-20.508,-33.691,-9.766
1687530676.011,-30.762,-22.949,-20.020,-41.016,15.137
1687530676.015,-23.926,-20.020,-17.090,-43.457,-8.301
1687530676.019,-18.555,-20.508,-16.113,-37.598,-17.578
1687530676.023,-28.320,-20.508,-17.578,-42.480,60.059
1687530676.027,-45.410,-20.020,-18.066,-50.781,169.434
1687530676.031,-42.969,-17.578,-18.066,-43.945,143.555
1687530676.034,-35.156,-16.602,-18.066,-41.016,-59.570
1687530676.038,-32.715,-19.531,-22.949,-39.062,102.051
1687530676.042,-41.016,-23.438,-27.832,-27.832,296.387
1687530676.046,-51.758,-24.902,-23.926,-37.598,44.922
1687530676.050,-48.828,-24.902,-21.484,-46.875,52.734
1687530676.052,-41.016,-24.414,-18.066,-38.574,297.363
1687530676.056,-31.738,-21.484,-19.531,-35.156,265.625
1687530676.060,-32.715,-22.949,-22.949,-39.551,55.664
1687530676.064,-43.457,-26.855,-19.043,-38.086,38.574
1687530676.068,-40.527,-26.855,-18.555,-40.527,53.223
1687530676.072,-29.785,-24.902,-15.137,-39.551,39.551
1687530676.076,-21.973,-23.926,-17.578,-34.180,52.246
1687530676.079,-21.484,-20.996,-22.949,-31.738,47.363
1687530676.083,-34.668,-20.996,-21.973,-30.273,253.906
1687530676.087,-43.945,-23.438,-23.438,-43.457,154.785
1687530676.091,-37.109,-23.926,-26.855,-52.734,-97.168
1687530676.095,-31.250,-22.949,-23.438,-43.457,-25.879
1687530676.098,-32.715,-25.391,-22.461,-45.410,20.996
1687530676.102,-44.922,-28.809,-25.391,-57.617,-18.066
1687530676.106,-50.293,-29.785,-28.320,-62.500,44.434
1687530676.110,-44.434,-30.762,-28.320,-62.500,22.949
1687530676.114,-39.062,-25.879,-25.879,-53.223,26.367
1687530676.118,-33.691,-20.996,-19.531,-40.527,34.668
1687530676.122,-50.781,-22.949,-22.461,-51.270,16.113
1687530676.125,-65.430,-23.438,-25.879,-61.523,149.902
1687530676.129,-53.223,-20.508,-19.531,-49.316,255.859
1687530676.133,-40.527,-20.020,-19.531,-39.062,-30.273
1687530676.137,-37.109,-15.137,-19.043,-36.133,-93.750
1687530676.141,-45.898,-16.602,-17.090,-37.598,230.957
1687530676.142,-48.828,-21.973,-24.902,-42.969,132.324
1687530676.146,-41.504,-20.508,-27.832,-49.805,-101.562
1687530676.150,-29.297,-18.066,-20.508,-44.922,-93.750
1687530676.154,-20.508,-17.578,-20.996,-41.016,8.789
1687530676.158,-35.156,-18.066,-24.414,-44.434,126.953
1687530676.162,-46.387,-17.578,-26.367,-40.527,95.215
1687530676.166,-33.203,-19.043,-22.949,-37.109,15.625
1687530676.169,-27.832,-20.020,-18.066,-27.344,278.320
1687530676.173,-23.438,-20.508,-21.484,-23.926,245.117
1687530676.177,-24.414,-17.578,-21.484,-36.621,-10.254
1687530676.181,-38.086,-18.066,-20.020,-41.016,24.414
1687530676.185,-33.203,-22.461,-20.508,-36.621,-3.418
1687530676.202,-26.855,-22.461,-22.949,-29.297,-46.875
1687530676.206,-27.344,-20.020,-25.391,-25.391,-42.480
1687530676.210,-36.621,-20.996,-22.949,-32.227,30.762
1687530676.214,-45.898,-19.531,-16.113,-39.551,8.301
1687530676.218,-44.922,-20.020,-20.020,-48.340,-20.996
1687530676.222,-34.668,-16.113,-21.484,-42.969,27.344
1687530676.226,-22.949,-11.719,-16.113,-32.227,182.617
1687530676.229,-26.855,-16.602,-19.531,-26.367,427.734
1687530676.233,-42.969,-21.484,-18.555,-32.715,182.129
1687530676.237,-40.527,-21.484,-17.090,-40.527,-45.410
1687530676.241,-27.832,-21.484,-18.066,-40.039,72.754
1687530676.245,-25.391,-22.461,-17.090,-37.109,117.676
1687530676.232,-33.691,-22.949,-21.484,-44.922,-39.062
1687530676.236,-44.922,-24.902,-28.809,-54.199,-78.613
1687530676.240,-40.039,-25.391,-31.250,-50.293,125.000
1687530676.244,-25.879,-25.391,-28.320,-50.293,83.984
1687530676.248,0.488,-23.438,-21.484,-35.156,-65.430
1687530676.252,-2.441,-19.043,-24.414,-34.180,68.359
1687530676.256,-30.273,-14.648,-29.297,-51.758,153.809
1687530676.259,-23.438,-10.254,-31.738,-50.293,39.551
1687530676.263,0.488,-7.324,-37.109,-37.109,19.531
1687530676.267,4.883,-8.301,-30.762,-31.250,46.875
1687530676.271,-1.953,-7.812,-22.949,-24.902,266.113
1687530676.275,-11.230,-9.277,-26.367,-25.391,256.348
1687530676.277,-18.555,-14.648,-26.367,-31.738,-20.020
1687530676.281,-12.695,-15.625,-22.461,-20.508,-24.414
1687530676.285,-10.254,-14.648,-21.484,-13.672,28.809
1687530676.289,-16.602,-17.578,-23.438,-20.996,-18.066
1687530676.293,-31.738,-20.996,-26.855,-34.668,-105.469
1687530676.297,-37.598,-20.508,-26.367,-38.574,42.480
1687530676.301,-31.250,-16.602,-24.414,-33.691,213.379
1687530676.304,-18.555,-12.695,-23.926,-28.320,64.453
1687530676.308,-13.672,-9.766,-22.949,-28.809,-77.148
1687530676.312,-26.855,-11.230,-25.879,-34.180,3.906
1687530676.316,-34.668,-10.254,-29.785,-36.133,24.414
1687530676.320,-27.832,-14.160,-31.250,-37.598,-16.602
1687530676.337,-15.625,-13.184,-27.832,-35.645,27.832
1687530676.341,-19.043,-15.625,-25.391,-26.367,183.105
1687530676.345,-35.156,-22.461,-24.902,-20.996,217.285
1687530676.349,-41.504,-17.090,-20.020,-30.273,-27.344
1687530676.353,-37.598,-17.090,-21.484,-29.785,-55.664
1687530676.357,-35.645,-24.902,-23.926,-29.785,152.832
1687530676.361,-33.203,-22.461,-23.926,-29.785,219.238
