timestamps,TP9,AF7,AF8,TP10,Right AUX
1687530578.781,-38.086,-44.434,-41.504,-27.832,66.406
1687530578.785,-26.855,-41.016,-41.992,-29.785,53.223
1687530578.789,-16.113,-40.527,-39.551,-30.273,61.523
1687530578.793,-21.484,-45.410,-42.480,-26.855,152.344
1687530578.797,-38.574,-47.852,-40.527,-19.043,90.332
1687530578.801,-42.969,-42.969,-39.551,-28.320,75.684
1687530578.805,-27.344,-38.086,-40.527,-31.250,297.852
1687530578.808,-11.230,-35.645,-36.621,-22.461,331.055
1687530578.812,-2.441,-37.598,-31.738,-21.973,84.961
1687530578.816,-2.441,-40.039,-27.832,-18.066,-18.555
1687530578.820,-9.766,-38.574,-26.367,-15.137,2.441
1687530578.824,-3.906,-42.969,-27.832,-20.508,40.039
1687530578.826,4.395,-41.504,-33.691,-31.738,14.648
1687530578.830,9.277,-39.551,-38.086,-26.367,0.488
1687530578.834,0.000,-41.016,-35.645,-13.672,60.059
1687530578.838,-20.996,-41.504,-33.203,-17.090,242.676
1687530578.842,-21.484,-42.480,-33.691,-24.414,138.184
1687530578.846,-9.277,-37.109,-34.180,-23.438,-4.395
1687530578.850,-6.836,-38.086,-36.133,-19.531,328.125
1687530578.853,-12.695,-42.969,-41.992,-13.672,533.203
1687530578.857,-25.391,-40.527,-41.992,-10.742,260.742
1687530578.861,-30.762,-37.109,-41.016,-20.020,104.980
1687530578.865,-22.461,-35.645,-41.504,-29.297,39.551
1687530578.869,-21.484,-39.551,-43.945,-27.344,18.555
1687530578.868,-31.250,-42.969,-41.016,-20.020,42.480
1687530578.872,-45.410,-38.086,-33.691,-24.902,52.734
1687530578.876,-49.316,-36.621,-35.645,-40.039,62.012
1687530578.880,-38.086,-37.598,-36.133,-33.691,3.906
1687530578.884,-27.344,-36.133,-35.645,-24.902,-12.207
1687530578.888,-23.926,-35.156,-37.598,-22.949,206.543
1687530578.892,-35.645,-39.551,-36.133,-27.344,364.258
1687530578.895,-40.527,-43.457,-41.016,-37.598,127.441
1687530578.899,-25.391,-44.434,-42.480,-44.922,8.789
1687530578.903,-25.391,-40.527,-39.062,-42.480,230.469
1687530578.907,-31.250,-35.645,-41.992,-32.715,304.688
1687530578.911,-33.203,-35.645,-41.016,-35.156,108.887
1687530578.927,-45.898,-42.480,-43.457,-46.387,79.102
1687530578.931,-36.133,-40.039,-40.039,-40.039,82.031
1687530578.935,-18.555,-38.086,-36.621,-33.691,78.125
1687530578.939,-21.973,-39.551,-37.598,-36.133,151.367
1687530578.943,-35.156,-37.598,-41.016,-33.691,109.863
1687530578.947,-43.945,-41.016,-42.480,-29.297,277.832
1687530578.951,-25.391,-42.969,-34.180,-23.926,406.250
1687530578.954,-12.207,-40.039,-33.203,-21.973,150.391
1687530578.958,-10.254,-40.039,-33.203,-16.113,102.539
1687530578.962,-15.137,-40.039,-33.203,-12.207,248.047
1687530578.966,-25.391,-41.504,-38.574,-21.973,121.582
1687530578.970,-25.391,-40.527,-37.109,-39.062,-45.410
1687530578.972,-22.949,-38.574,-38.574,-45.410,23.438
1687530578.976,-19.531,-38.086,-41.992,-38.574,93.750
1687530578.980,-27.344,-34.180,-35.156,-33.203,102.051
1687530578.984,-42.480,-32.715,-35.156,-43.457,72.266
1687530578.988,-39.551,-36.621,-41.504,-52.734,91.797
1687530578.992,-32.227,-40.527,-45.898,-50.781,107.422
1687530578.996,-26.367,-49.316,-40.527,-42.969,134.766
1687530578.999,-29.785,-52.246,-35.156,-39.062,27.344
1687530579.003,-43.457,-48.340,-35.156,-32.227,127.930
1687530579.007,-40.039,-51.270,-31.738,-24.902,360.352
1687530579.011,-22.461,-48.340,-32.227,-28.809,139.160
1687530579.015,-11.719,-47.852,-31.738,-25.391,-15.625
1687530579.017,-18.066,-44.922,-29.785,-19.531,124.512
1687530579.021,-28.809,-38.574,-33.691,-24.902,132.324
1687530579.025,-25.391,-39.062,-36.133,-37.598,51.270
1687530579.029,-15.137,-36.133,-37.598,-45.898,52.246
1687530579.033,-10.742,-35.645,-35.645,-34.668,174.805
1687530579.037,-16.602,-40.527,-33.203,-29.785,200.684
1687530579.041,-33.691,-37.109,-36.133,-39.062,89.844
1687530579.044,-35.645,-34.180,-33.203,-43.945,51.758
1687530579.048,-20.020,-35.156,-26.367,-37.598,199.219
1687530579.052,-13.184,-37.598,-32.715,-33.203,157.715
1687530579.056,-20.996,-41.016,-37.598,-41.016,-84.961
1687530579.060,-34.180,-37.598,-35.156,-41.992,108.398
1687530579.062,-37.109,-40.039,-30.762,-51.758,174.316
1687530579.066,-24.902,-41.992,-26.367,-53.223,-20.996
1687530579.070,-16.602,-40.039,-26.855,-37.598,-0.488
1687530579.074,-22.949,-43.945,-25.879,-33.691,92.285
1687530579.078,-36.133,-45.898,-25.879,-30.762,139.648
1687530579.082,-43.945,-43.457,-29.785,-29.785,71.777
1687530579.086,-34.180,-40.527,-32.227,-36.621,34.668
1687530579.089,-22.461,-39.062,-34.668,-34.668,187.988
1687530579.093,-26.367,-46.387,-34.668,-24.902,326.660
1687530579.097,-39.551,-49.805,-36.621,-25.879,92.285
1687530579.101,-42.480,-41.504,-34.668,-32.715,-24.414
1687530579.105,-30.273,-32.227,-32.715,-39.551,58.105
1687530579.107,-14.648,-32.715,-34.668,-34.180,68.848
1687530579.111,-16.602,-39.062,-32.227,-29.785,30.273
1687530579.115,-34.180,-43.457,-33.691,-30.273,-12.695
1687530579.119,-33.203,-36.621,-37.109,-20.996,266.113
1687530579.123,-19.531,-33.691,-33.203,-22.949,416.992
1687530579.127,-20.020,-42.969,-24.902,-38.574,171.387
1687530579.131,-26.855,-40.527,-23.438,-34.180,133.789
1687530579.134,-27.832,-33.203,-21.484,-18.555,370.605
1687530579.138,-35.156,-35.156,-21.484,-16.113,340.332
1687530579.142,-29.785,-34.668,-25.879,-29.297,8.301
1687530579.146,-12.207,-35.645,-25.879,-29.785,102.051
1687530579.150,-9.277,-39.062,-24.902,-17.578,195.312
1687530579.153,-21.973,-43.457,-29.785,-19.531,127.441
1687530579.157,-36.133,-41.992,-29.297,-28.809,98.633
1687530579.161,-24.902,-34.668,-25.879,-28.320,117.188
1687530579.165,-11.230,-32.715,-31.250,-38.086,80.566
1687530579.169,-10.742,-34.668,-32.715,-38.574,116.699
1687530579.173,-28.320,-38.086,-34.180,-30.762,203.125
1687530579.177,-47.363,-38.086,-35.156,-32.715,365.723
1687530579.180,-42.969,-39.551,-38.086,-32.227,503.906
1687530579.184,-34.180,-43.945,-40.039,-40.527,174.316
1687530579.188,-28.809,-44.434,-40.527,-36.621,3.906
1687530579.192,-33.691,-43.457,-43.945,-27.344,92.285
1687530579.196,-45.898,-43.457,-41.504,-35.645,104.004
1687530579.197,-44.434,-43.457,-35.645,-41.504,102.539
1687530579.201,-36.133,-42.969,-41.016,-41.504,16.113
1687530579.205,-27.832,-43.945,-44.434,-42.969,123.047
1687530579.209,-30.762,-43.457,-43.457,-40.039,207.031
1687530579.213,-47.852,-41.016,-43.457,-42.969,65.918
1687530579.217,-48.828,-40.039,-41.016,-51.758,81.055
1687530579.221,-39.062,-35.645,-38.574,-45.898,407.715
1687530579.224,-30.762,-36.133,-37.109,-40.527,474.609
1687530579.228,-30.762,-40.039,-39.062,-37.598,66.406
1687530579.232,-47.852,-42.969,-38.086,-39.551,43.945
1687530579.236,-45.410,-39.551,-31.250,-43.945,152.344
1687530579.240,-36.133,-37.598,-31.250,-45.410,49.805
1687530579.243,-33.691,-41.504,-31.738,-41.992,7.812
1687530579.247,-31.738,-41.016,-26.855,-26.367,50.293
1687530579.251,-51.758,-41.504,-32.715,-26.855,152.344
1687530579.255,-54.199,-41.504,-34.668,-35.156,171.387
1687530579.259,-39.551,-37.109,-29.297,-46.875,67.383
1687530579.263,-34.180,-37.109,-34.180,-44.434,300.781
1687530579.267,-34.180,-39.551,-41.016,-33.203,402.832
1687530579.270,-46.387,-38.086,-38.086,-35.156,105.957
1687530579.274,-49.805,-36.621,-36.621,-42.480,62.988
1687530579.278,-44.434,-38.086,-41.504,-48.340,261.230
1687530579.282,-31.738,-41.992,-42.969,-42.969,261.230
1687530579.286,-24.414,-44.922,-41.504,-37.109,29.297
1687530579.301,-41.992,-43.945,-36.133,-33.203,39.551
1687530579.305,-44.922,-40.039,-34.668,-31.250,75.195
1687530579.309,-28.320,-37.109,-37.598,-32.715,106.445
1687530579.313,-15.625,-37.109,-36.133,-31.738,78.125
1687530579.317,-13.184,-41.992,-35.156,-22.461,-0.977
1687530579.321,-30.762,-41.504,-35.645,-20.996,309.082
1687530579.325,-41.504,-41.016,-34.180,-29.297,393.555
1687530579.328,-22.949,-42.969,-35.645,-36.133,-34.668
1687530579.332,-14.648,-41.992,-42.969,-31.250,-28.320
1687530579.336,-15.137,-44.922,-45.410,-29.785,74.707
1687530579.340,-23.438,-41.504,-43.457,-28.320,-14.160
1687530579.344,-40.039,-38.086,-44.922,-28.320,30.273
1687530579.347,-38.086,-41.992,-46.387,-34.180,156.738
1687530579.351,-22.949,-40.039,-40.527,-34.180,155.273
1687530579.355,-14.648,-39.062,-36.133,-28.320,56.152
1687530579.359,-24.414,-39.551,-36.621,-19.531,-3.906
1687530579.363,-42.480,-40.527,-33.691,-20.508,39.551
1687530579.367,-42.969,-41.016,-32.227,-28.320,140.137
1687530579.371,-25.879,-44.434,-34.180,-30.273,105.469
1687530579.374,-19.043,-43.945,-32.227,-28.320,-77.637
1687530579.378,-26.855,-40.039,-34.180,-19.043,156.250
1687530579.382,-34.180,-35.156,-36.133,-14.648,348.145
1687530579.386,-27.832,-36.133,-35.156,-29.297,58.594
1687530579.390,-20.996,-41.016,-37.598,-40.527,4.395
1687530579.392,-19.043,-39.551,-42.969,-38.574,34.668
1687530579.396,-19.043,-39.062,-42.480,-39.062,80.566
1687530579.400,-30.273,-39.062,-37.598,-41.016,144.531
1687530579.404,-29.297,-36.621,-35.645,-42.969,57.129
1687530579.408,-16.602,-35.645,-31.738,-32.715,202.637
1687530579.412,-6.836,-31.738,-24.902,-20.996,292.969
1687530579.416,-6.836,-34.180,-20.508,-16.113,80.566
1687530579.419,-27.344,-38.574,-29.785,-20.020,67.871
1687530579.423,-32.227,-41.504,-34.668,-24.902,278.320
1687530579.427,-20.508,-43.457,-37.109,-36.133,207.520
1687530579.431,-13.672,-41.504,-40.039,-42.969,-13.184
1687530579.435,-16.113,-35.645,-34.668,-23.438,121.094
1687530579.437,-38.574,-29.297,-36.133,-26.367,141.602
1687530579.441,-41.504,-27.344,-34.668,-35.645,-17.090
1687530579.445,-25.879,-32.715,-36.133,-34.668,-26.855
1687530579.449,-19.043,-36.621,-39.551,-34.668,151.855
1687530579.453,-19.043,-34.180,-37.598,-33.691,156.738
1687530579.457,-32.715,-28.809,-38.574,-37.109,163.086
1687530579.461,-42.480,-25.391,-36.621,-41.504,171.387
1687530579.464,-36.621,-28.809,-39.062,-37.598,157.715
1687530579.468,-23.926,-30.273,-39.062,-22.461,349.121
1687530579.472,-19.531,-30.762,-33.203,-22.461,197.754
1687530579.476,-27.344,-31.738,-29.785,-22.949,18.555
1687530579.480,-41.504,-37.109,-30.273,-27.344,104.980
1687530579.481,-37.598,-36.133,-30.762,-35.645,86.426
1687530579.485,-25.879,-34.668,-32.227,-40.527,-77.148
1687530579.489,-29.785,-40.527,-34.180,-41.504,-12.207
1687530579.493,-42.480,-44.922,-38.086,-28.809,229.980
1687530579.497,-52.734,-41.504,-35.645,-30.273,140.625
1687530579.501,-44.434,-41.016,-32.715,-36.621,37.109
1687530579.505,-33.203,-43.457,-34.668,-41.016,70.312
1687530579.508,-22.461,-43.945,-33.203,-31.738,300.781
1687530579.512,-25.879,-35.156,-32.715,-17.578,351.074
1687530579.516,-39.551,-31.250,-31.738,-27.344,1.465
1687530579.520,-24.902,-33.691,-36.133,-29.297,-54.199
1687530579.524,-6.348,-29.785,-39.062,-42.480,-26.855
1687530579.528,-12.695,-31.738,-38.574,-56.152,-51.758
1687530579.532,-23.926,-30.762,-46.387,-53.223,4.883
1687530579.536,-31.250,-27.344,-46.387,-47.852,88.379
1687530579.540,-28.320,-30.273,-41.504,-48.828,69.336
1687530579.544,-22.949,-32.715,-39.062,-59.082,-39.062
1687530579.548,-26.367,-33.691,-39.062,-59.082,0.000
1687530579.552,-34.668,-32.715,-40.527,-43.457,305.664
1687530579.555,-50.781,-35.645,-42.480,-52.246,448.242
1687530579.559,-49.805,-34.180,-37.109,-72.266,137.207
1687530579.563,-34.180,-28.809,-31.738,-76.660,-10.742
1687530579.567,-25.391,-30.273,-37.109,-79.102,143.555
1687530579.571,-29.297,-36.133,-44.922,-84.473,166.016
1687530579.573,-39.551,-35.645,-43.457,-85.449,61.523
1687530579.577,-37.598,-35.156,-41.992,-82.520,62.012
1687530579.581,-24.414,-38.086,-39.551,-80.566,106.445
1687530579.585,-6.836,-36.621,-33.691,-73.242,13.672
1687530579.589,-4.883,-33.203,-32.227,-63.477,0.977
1687530579.593,-27.344,-35.156,-32.715,-54.199,111.816
1687530579.597,-45.410,-38.574,-34.180,-47.852,300.293
