timestamps,TP9,AF7,AF8,TP10,Right AUX
1687769987.657,-58.105,-68.359,-6.836,-19.531,-112.305
1687769987.661,-48.340,-73.730,-7.324,-8.789,-167.480
1687769987.665,-45.898,-89.844,-8.301,-28.320,-58.594
1687769987.669,-52.246,-76.172,-36.621,-46.387,-34.180
1687769987.673,-33.691,-51.270,-48.340,-36.133,-93.262
1687769987.677,-25.391,-55.176,-24.414,-20.996,26.367
1687769987.681,-30.762,-57.617,-25.879,-3.418,236.328
1687769987.684,-39.062,-44.434,-31.250,-3.906,265.137
1687769987.688,-38.574,-54.688,-32.715,-29.785,-70.801
1687769987.692,-31.250,-64.941,-15.137,-25.391,-257.812
1687769987.696,-27.832,-46.875,-0.488,-14.648,-85.449
1687769987.700,-33.691,-39.551,-16.602,-13.672,-4.883
1687769987.718,-41.016,-42.969,-21.973,-17.090,-116.699
1687769987.722,-28.809,-44.922,-26.367,-20.996,-116.211
1687769987.726,-22.949,-48.340,-18.066,-12.695,-62.500
1687769987.730,-17.090,-39.062,4.395,-7.812,-64.941
1687769987.734,-15.137,-53.223,-3.906,-9.277,-91.309
1687769987.738,-24.902,-72.754,-13.672,-14.648,-37.598
1687769987.742,-28.809,-58.594,-20.996,-26.367,148.438
1687769987.745,-29.785,-39.062,-29.785,-33.691,63.477
1687769987.749,-23.438,-36.133,-17.090,-18.555,-78.613
1687769987.753,-19.531,-46.387,-8.301,-0.977,-23.438
1687769987.757,-15.625,-50.781,-16.602,-0.977,-33.691
1687769987.761,-22.949,-59.570,-38.086,-15.625,-95.215
1687769987.747,-30.273,-55.664,-28.320,-33.203,-167.480
1687769987.751,-17.578,-59.570,-12.207,-23.438,-26.367
1687769987.755,-8.301,-54.688,-29.297,-5.859,97.656
1687769987.759,-18.555,-47.852,-40.039,-7.812,12.207
1687769987.763,-20.996,-44.434,-19.531,-20.508,-115.234
1687769987.767,-5.859,-33.203,-11.719,-24.414,-31.250
1687769987.771,4.395,-41.992,-22.461,-18.066,111.328
1687769987.774,1.465,-51.758,-24.902,-1.953,63.965
