timestamps,TP9,AF7,AF8,TP10,Right AUX
1687767055.287,-63.477,-47.363,-24.414,-37.598,-83.008
1687767055.291,-44.922,-50.293,-20.020,-41.992,-117.676
1687767055.295,-33.691,-50.293,-24.902,-25.879,-88.379
1687767055.299,-31.250,-50.781,-25.391,-25.391,9.277
1687767055.303,-29.297,-44.434,-23.926,-55.176,14.160
1687767055.307,-31.738,-40.039,-24.414,-40.527,-42.480
1687767055.311,-37.109,-39.062,-22.949,-36.621,-104.492
1687767055.314,-36.133,-43.457,-18.066,-36.621,-57.129
1687767055.318,-42.480,-50.781,-20.508,-18.555,257.324
1687767055.322,-50.293,-42.480,-19.531,-27.832,97.168
1687767055.326,-42.969,-34.668,-17.090,-43.945,-187.012
1687767055.330,-35.156,-33.203,-19.043,-42.480,-75.684
1687767055.330,-32.227,-38.086,-20.996,-39.551,-131.836
1687767055.334,-23.926,-44.434,-25.879,-43.945,-172.363
1687767055.338,-21.484,-41.016,-33.203,-47.852,-112.793
1687767055.342,-46.387,-36.621,-37.109,-45.410,-107.910
1687767055.346,-53.223,-44.434,-32.227,-28.320,-31.738
1687767055.350,-50.293,-44.434,-22.949,-24.414,70.801
1687767055.354,-72.266,-51.270,-10.742,-43.457,20.508
1687767055.357,-72.266,-55.664,-7.324,-48.828,231.934
1687767055.361,-84.961,-61.035,-14.160,-49.316,494.141
1687767055.365,-84.961,-59.082,-2.441,-49.805,167.969
1687767055.369,-60.547,-44.922,27.832,-23.926,-84.961
1687767055.373,-62.988,-54.688,12.695,-35.645,-70.312
1687767055.377,-67.871,-66.406,-14.160,-50.781,-136.230
1687767055.381,-70.801,-69.336,-8.301,-50.293,-111.816
1687767055.385,-58.105,-68.848,-8.301,-60.547,-51.758
1687767055.389,-41.504,-70.312,-12.695,-50.781,-87.402
1687767055.393,-18.555,-71.289,-8.789,-43.457,-151.367
1687767055.397,-7.812,-67.383,-5.859,-33.691,-97.656
1687767055.401,-42.969,-59.082,-8.301,-33.203,107.910
1687767055.404,-61.523,-62.500,-16.113,-35.156,339.355
1687767055.408,-28.809,-64.941,-12.207,-12.207,196.289
1687767055.412,6.836,-52.246,4.883,-2.441,15.137
1687767055.416,5.371,-39.062,3.906,-9.277,31.738
1687767055.420,-26.855,-53.223,-16.602,-26.367,-45.898
1687767055.435,-34.180,-65.918,-20.996,-41.992,-130.859
1687767055.439,-27.832,-64.453,-17.090,-43.457,-110.840
1687767055.443,-33.691,-60.059,-18.555,-42.480,-53.711
1687767055.447,-32.715,-51.270,-10.254,-26.367,-84.961
1687767055.451,-17.578,-47.852,-6.836,-21.484,-86.426
1687767055.455,-32.227,-49.316,-12.207,-39.551,-55.664
1687767055.459,-70.312,-50.293,-18.555,-33.203,210.938
1687767055.462,-68.848,-55.664,-11.719,-10.254,462.402
1687767055.466,-45.898,-45.410,-5.859,-13.672,50.293
