timestamps,TP9,AF7,AF8,TP10,Right AUX
1687768798.378,-47.852,-23.926,-39.551,-44.922,-213.379
1687768798.382,-50.781,-25.391,-43.457,-45.898,-103.027
1687768798.386,-62.012,-24.902,-44.434,-60.547,-101.074
1687768798.390,-63.477,-27.344,-44.434,-49.805,-176.270
1687768798.394,-67.871,-31.250,-42.969,-40.039,-154.297
1687768798.398,-62.988,-34.180,-50.781,-41.992,39.551
1687768798.402,-49.316,-35.645,-55.176,-44.434,73.242
1687768798.405,-44.434,-34.668,-56.641,-47.852,-48.828
1687768798.409,-41.992,-32.715,-58.105,-52.246,-53.711
1687768798.413,-52.246,-30.273,-53.711,-51.758,179.688
1687768798.417,-57.617,-24.414,-50.781,-51.758,107.422
1687768798.421,-44.434,-25.879,-52.246,-44.434,-165.039
1687768798.427,-52.246,-31.250,-51.270,-33.691,-109.375
1687768798.431,-61.035,-30.762,-45.410,-37.109,36.133
1687768798.435,-59.570,-31.738,-45.898,-46.387,-52.734
1687768798.439,-57.129,-37.109,-45.410,-56.641,-149.902
1687768798.443,-44.922,-34.180,-44.922,-60.547,-20.508
1687768798.447,-45.410,-33.691,-50.781,-61.523,185.547
1687768798.451,-55.664,-34.668,-52.246,-53.223,92.773
1687768798.454,-54.199,-34.180,-47.852,-39.551,-92.285
1687768798.458,-47.852,-31.250,-39.062,-34.668,-40.527
1687768798.462,-33.203,-31.250,-35.156,-19.531,193.359
1687768798.466,-21.973,-30.762,-34.180,-8.301,-51.270
1687768798.470,-26.367,-28.320,-33.203,-18.555,-216.309
1687768798.468,-29.297,-22.461,-34.668,-20.508,-86.914
1687768798.472,-33.203,-20.020,-38.574,-26.367,-172.363
1687768798.476,-32.715,-25.391,-33.691,-37.109,-171.387
1687768798.480,-24.414,-32.715,-15.137,-30.273,-52.734
1687768798.484,-26.367,-37.109,-1.953,-37.598,-56.152
1687768798.488,-32.715,-39.551,15.137,-35.645,-69.336
1687768798.492,-37.109,-32.715,35.645,-32.227,-48.828
1687768798.495,-32.715,-32.227,55.664,-35.156,-37.598
1687768798.499,-15.625,-33.203,76.172,-23.926,168.945
1687768798.503,-21.973,-30.762,85.449,-30.762,185.059
1687768798.507,-38.574,-30.762,80.566,-37.598,24.902
1687768798.511,-26.367,-34.180,71.777,-35.645,-42.480
1687768798.512,-25.391,-32.715,70.801,-38.574,-42.969
1687768798.516,-34.668,-25.879,67.871,-31.250,13.672
1687768798.520,-32.227,-30.273,66.406,-22.461,-74.707
1687768798.524,-37.598,-33.203,64.941,-37.598,-56.152
1687768798.528,-44.434,-33.203,65.918,-44.434,212.891
1687768798.532,-39.551,-39.062,73.242,-40.527,103.516
1687768798.536,-33.203,-34.180,68.359,-41.016,-92.773
1687768798.539,-27.344,-31.738,63.965,-36.133,25.879
1687768798.543,-22.461,-33.203,66.406,-33.203,171.387
1687768798.547,-21.973,-30.273,62.988,-36.621,-80.566
1687768798.551,-29.785,-30.762,65.430,-31.250,-207.520
1687768798.555,-36.133,-36.133,62.012,-21.484,-115.234
1687768798.557,-33.203,-39.062,55.664,-20.508,-129.883
1687768798.561,-21.973,-35.156,58.594,-30.273,-270.508
1687768798.565,-24.414,-34.668,58.594,-29.785,-253.906
1687768798.569,-24.414,-38.086,62.012,-27.832,-61.035
1687768798.573,-5.859,-29.297,64.941,-23.926,-104.492
1687768798.577,-9.277,-18.066,62.500,-27.832,-144.531
1687768798.581,-20.020,-26.367,58.105,-37.109,-15.137
1687768798.584,-22.949,-28.809,55.664,-23.438,200.684
1687768798.588,-17.578,-18.555,63.477,-13.184,98.633
1687768798.592,-14.160,-13.672,71.777,-38.086,-147.949
1687768798.596,-22.949,-20.020,72.754,-35.645,-116.211
1687768798.600,-27.832,-25.391,65.430,-8.301,-86.426
1687768798.604,-41.992,-23.926,62.988,-25.391,-94.238
1687768798.608,-42.480,-25.391,64.453,-37.109,-45.410
1687768798.612,-35.645,-28.320,61.035,-24.414,110.840
1687768798.616,-37.598,-33.203,58.594,-14.160,301.758
1687768798.620,-30.762,-32.227,57.129,-20.996,58.594
1687768798.624,-27.344,-33.691,54.688,-34.180,-158.203
1687768798.628,-39.062,-31.250,53.223,-33.691,9.766
1687768798.631,-43.457,-28.320,56.152,-22.949,197.266
1687768798.635,-40.039,-27.832,61.523,-16.602,-73.242
1687768798.639,-44.922,-34.180,63.965,-31.250,-243.164
1687768798.643,-40.039,-38.574,55.664,-36.621,-170.410
1687768798.647,-36.133,-31.250,49.316,-20.020,-171.387
1687768798.647,-41.016,-26.367,55.664,-13.672,-199.219
1687768798.651,-29.297,-31.738,49.805,-0.977,-148.926
1687768798.655,-17.090,-34.668,41.992,1.465,-57.129
1687768798.659,-18.555,-36.621,39.062,0.488,-124.512
1687768798.663,-14.648,-35.645,41.992,-1.465,-108.398
1687768798.667,-6.348,-27.832,49.316,-3.418,55.176
1687768798.671,-17.090,-29.297,56.152,3.418,315.918
1687768798.674,-16.113,-26.855,47.852,4.883,285.645
