timestamps,TP9,AF7,AF8,TP10,Right AUX
1687769793.517,-41.992,-47.852,-49.805,-45.898,-32.715
1687769793.521,-39.062,-40.527,-44.434,-48.828,-187.012
1687769793.525,-44.922,-39.551,-42.969,-43.457,-55.664
1687769793.529,-46.875,-44.922,-50.781,-30.273,119.141
1687769793.533,-43.457,-37.109,-47.363,-36.621,1.953
1687769793.537,-42.969,-35.645,-46.387,-49.805,-67.383
1687769793.541,-41.992,-52.246,-45.410,-53.223,58.105
1687769793.544,-44.922,-43.945,-48.340,-42.480,162.109
1687769793.548,-42.969,-34.668,-55.664,-26.855,50.781
1687769793.552,-40.527,-46.387,-49.805,-25.879,-82.520
1687769793.556,-41.016,-39.551,-37.598,-41.992,-90.820
1687769793.560,-39.062,-34.668,-38.574,-43.457,169.922
1687769793.562,-45.410,-49.316,-46.387,-49.805,-135.254
1687769793.566,-37.598,-54.688,-28.809,-41.992,-10.254
1687769793.570,-28.809,-28.809,-30.273,-24.414,127.441
1687769793.573,-38.086,-40.039,-39.062,-20.508,251.465
1687769793.577,-37.109,-50.781,-36.133,-36.621,-14.160
1687769793.581,-28.809,-39.062,-31.738,-50.781,-217.773
1687769793.585,-31.738,-44.434,-44.434,-45.410,-122.070
1687769793.589,-34.668,-43.457,-50.293,-36.621,-73.730
1687769793.604,-38.086,-47.363,-40.039,-31.250,-32.715
1687769793.608,-45.410,-50.781,-35.156,-50.293,-81.543
1687769793.612,-54.199,-47.852,-35.645,-56.152,-36.133
1687769793.616,-44.434,-36.621,-41.504,-37.598,-37.598
1687769793.620,-38.574,-34.180,-47.852,-26.855,-94.727
1687769793.624,-47.363,-44.434,-49.805,-26.855,41.504
1687769793.628,-45.410,-49.316,-54.199,-27.832,306.641
1687769793.631,-40.527,-43.945,-59.082,-45.410,199.219
1687769793.635,-32.227,-37.598,-53.223,-51.758,-119.141
1687769793.639,-25.879,-41.016,-44.922,-31.250,-119.141
1687769793.643,-31.738,-39.062,-37.598,-17.578,22.949
1687769793.647,-36.621,-35.156,-40.039,-28.320,-60.059
1687769793.631,-30.273,-35.645,-46.875,-45.898,-216.797
1687769793.635,-30.762,-31.738,-52.734,-43.457,-166.016
1687769793.639,-29.785,-28.320,-47.363,-27.832,52.734
1687769793.643,-28.809,-30.273,-43.457,-23.438,13.672
1687769793.647,-34.180,-22.949,-49.805,-35.645,-121.582
1687769793.651,-33.691,-26.367,-48.828,-41.992,-85.938
1687769793.655,-36.133,-42.969,-49.805,-31.738,272.949
1687769793.658,-41.992,-44.434,-50.781,-30.273,190.430
1687769793.662,-45.898,-44.434,-48.340,-31.250,-86.914
1687769793.666,-41.992,-37.598,-41.992,-35.156,-32.715
1687769793.670,-48.340,-27.832,-42.969,-54.688,-61.035
1687769793.674,-49.805,-24.902,-51.758,-54.688,-128.418
1687769793.679,-39.551,-21.484,-53.711,-34.668,-108.398
1687769793.683,-40.527,-29.297,-43.457,-25.391,15.137
1687769793.687,-39.551,-22.949,-35.645,-19.531,5.371
1687769793.691,-52.246,-22.949,-41.504,-27.832,-78.125
1687769793.695,-56.152,-36.133,-51.270,-34.668,-47.363
1687769793.699,-39.551,-38.086,-53.223,-25.391,53.223
1687769793.703,-38.574,-31.250,-41.016,-16.602,88.867
1687769793.706,-45.410,-25.391,-41.016,-22.949,-4.395
1687769793.710,-43.457,-30.273,-41.992,-39.062,-79.590
1687769793.714,-44.434,-44.922,-34.180,-44.434,111.328
1687769793.718,-47.363,-44.922,-40.527,-39.062,58.105
1687769793.722,-42.480,-41.504,-45.898,-31.250,-49.316
1687769793.737,-42.480,-39.551,-52.246,-27.344,-17.090
1687769793.741,-42.480,-33.691,-49.805,-30.762,54.688
1687769793.745,-45.898,-41.016,-50.781,-41.992,22.461
1687769793.749,-54.199,-33.691,-49.316,-50.293,-99.121
1687769793.753,-47.852,-36.133,-32.715,-35.645,-12.207
1687769793.757,-53.223,-50.781,-36.133,-29.297,226.074
1687769793.761,-70.801,-49.316,-58.105,-54.199,144.043
1687769793.764,-65.918,-52.246,-51.758,-66.406,-102.051
1687769793.768,-54.199,-51.758,-40.039,-52.246,-102.051
1687769793.772,-48.340,-34.668,-56.152,-37.598,57.617
1687769793.776,-45.898,-41.504,-47.363,-31.250,-19.043
1687769793.780,-50.293,-44.434,-27.344,-46.387,-99.609
1687769793.781,-49.805,-30.762,-32.715,-68.359,-38.574
