timestamps,TP9,AF7,AF8,TP10,Right AUX
1687530991.160,-61.523,2.441,-57.617,-77.148,-139.648
1687530991.164,-57.129,0.977,-67.871,-82.520,9.766
1687530991.168,-54.688,4.883,-73.242,-78.125,45.410
1687530991.172,-56.152,10.742,-81.055,-76.172,-138.184
1687530991.176,-77.148,13.184,-85.449,-80.078,-140.625
1687530991.180,-83.496,12.695,-91.309,-87.891,1.953
1687530991.184,-61.523,14.648,-100.098,-95.215,113.770
1687530991.187,-49.805,18.066,-102.539,-96.191,-43.457
1687530991.191,-43.945,20.996,-103.027,-89.844,-239.746
1687530991.195,-51.270,24.902,-106.445,-78.613,75.195
1687530991.199,-58.105,28.320,-108.887,-77.148,346.680
1687530991.203,-43.945,31.250,-105.957,-86.914,-29.785
1687531053.904,-37.598,-29.297,-28.809,-41.992,-126.465
1687531053.908,-29.785,-33.203,-28.320,-42.480,-11.230
1687531053.912,-32.227,-30.273,-30.273,-34.668,-80.078
1687531053.916,-50.781,-28.809,-27.832,-30.762,-176.758
1687531053.920,-50.293,-26.367,-23.926,-36.133,-112.793
1687531053.924,-29.297,-24.414,-26.855,-37.598,-20.020
1687531053.928,-18.066,-29.785,-29.297,-38.086,-28.809
1687531053.931,-24.902,-28.809,-29.785,-38.574,-117.188
1687531053.935,-45.410,-25.879,-31.738,-45.410,-117.676
1687531053.939,-41.504,-22.461,-41.992,-42.969,230.469
1687531053.943,-3.418,-16.113,-41.992,-26.367,187.012
1687531053.947,13.672,-21.484,-23.438,-16.113,-153.809
1687531137.231,-22.949,-24.902,-42.480,-77.148,-190.430
1687531137.235,-26.855,-26.367,-41.504,-66.406,-195.801
1687531137.239,-35.645,-24.902,-37.109,-62.988,-28.809
1687531137.243,-48.340,-26.855,-38.086,-63.477,15.137
1687531137.247,-30.273,-34.668,-32.227,-31.250,-67.383
1687531137.251,-10.254,-30.273,-30.762,-19.531,-18.555
1687531137.255,-17.090,-28.809,-34.180,-19.531,217.773
1687531137.258,-25.879,-28.320,-39.062,-13.184,438.477
1687531137.262,-33.203,-20.508,-48.340,-23.438,122.070
1687531137.266,-29.785,-20.508,-54.688,-24.902,-120.605
1687531137.270,-18.066,-19.043,-53.223,-16.113,-102.051
1687531137.274,-11.230,-22.461,-53.223,-14.160,-100.586
1687531137.277,-9.277,-23.926,-56.641,-14.160,-113.770
1687531137.281,-15.137,-16.602,-55.664,-15.625,-70.312
1687531137.285,-14.160,-18.555,-53.223,-17.578,-69.824
1687531137.289,-6.836,-19.531,-54.199,-24.902,-138.184
1687531137.293,-4.395,-18.066,-57.617,-36.621,-139.648
1687531137.297,-22.461,-24.414,-56.641,-36.133,167.480
1687531137.301,-33.203,-25.391,-53.711,-34.668,318.359
1687531137.304,-25.391,-24.902,-53.223,-39.551,-65.430
1687531137.308,-19.531,-26.367,-55.176,-36.133,-215.332
1687531137.312,-17.578,-22.461,-55.176,-41.016,-77.637
1687531137.316,-19.531,-18.066,-52.246,-48.340,-46.387
1687531137.320,-23.438,-14.648,-46.875,-45.410,-79.590
1687531137.336,-34.668,-20.996,-45.410,-47.363,-131.348
