timestamps,TP9,AF7,AF8,TP10,Right AUX
1687530755.042,-5.859,-28.320,-32.715,-14.648,-6.348
1687530755.046,42.480,-28.320,-25.879,16.113,158.203
1687530755.050,15.137,-26.367,-24.902,-10.742,116.699
1687530755.054,-63.965,-26.367,-29.297,-55.664,-28.320
1687530755.058,-93.262,-24.902,-25.879,-59.082,-91.309
1687530755.062,-19.043,-23.438,-28.320,-35.645,66.406
1687530755.066,56.641,-19.531,-27.344,7.812,257.812
1687530755.069,13.672,-21.484,-22.949,0.000,332.520
1687530755.073,-68.848,-23.926,-25.391,-46.387,93.262
1687530755.077,-87.891,-28.320,-25.391,-58.105,-253.906
1687530755.081,-33.203,-33.691,-26.855,-24.902,-66.895
1687530755.085,49.316,-29.785,-24.902,29.785,248.047
1687530765.951,-66.406,-18.555,-22.461,-63.477,257.812
1687530765.955,-64.941,-20.508,-22.461,-60.547,-63.965
1687530765.959,-76.172,-23.438,-20.020,-69.824,-61.523
1687530765.963,-87.402,-20.020,-18.555,-73.242,-33.691
1687530765.967,-79.102,-26.367,-20.020,-77.148,-91.309
1687530765.971,-65.918,-31.250,-19.531,-76.172,-88.379
1687530765.975,-65.918,-24.414,-20.508,-62.500,26.367
1687530765.978,-80.078,-23.926,-19.531,-52.246,251.465
1687530765.982,-85.938,-25.391,-16.602,-59.082,123.047
1687530765.986,-76.660,-30.273,-18.066,-68.359,-129.883
1687530765.990,-68.359,-31.738,-14.648,-66.406,-64.453
1687530765.994,-62.988,-28.809,-12.207,-56.641,41.992
1687530765.997,-82.520,-26.855,-10.742,-66.895,-114.746
1687530766.001,-75.195,-25.391,-15.625,-69.824,11.719
1687530766.005,-61.523,-25.391,-14.648,-56.152,74.219
1687530766.009,-50.781,-19.531,-8.789,-52.734,-85.449
1687530766.013,-59.570,-19.043,-7.812,-60.059,5.859
1687530766.017,-75.684,-20.508,-6.836,-57.617,209.473
1687530766.020,-68.848,-20.996,-11.719,-57.617,220.703
1687530766.024,-55.176,-23.438,-11.719,-62.500,-76.172
1687530766.028,-54.199,-26.367,-11.719,-60.059,-107.422
1687530766.032,-63.965,-24.902,-15.137,-58.105,35.645
1687530766.036,-76.660,-22.461,-12.695,-61.523,-21.484
1687530766.048,-72.266,-24.414,-11.230,-62.012,-151.367
1687530766.052,-67.871,-29.297,-16.113,-68.359,-106.445
1687530766.056,-73.242,-30.273,-21.484,-74.219,178.711
1687530766.060,-79.590,-25.879,-19.043,-62.012,185.547
1687530766.064,-89.355,-26.367,-12.207,-64.453,-64.453
1687530766.068,-83.496,-24.902,-11.230,-74.219,-29.785
1687530766.072,-67.871,-20.996,-15.137,-71.289,172.852
1687530766.075,-50.781,-14.160,-14.648,-60.547,78.125
1687530766.079,-57.129,-18.066,-15.625,-62.988,-95.703
1687530766.083,-86.426,-26.855,-17.578,-82.031,-20.996
1687530766.087,-84.961,-21.973,-19.043,-81.543,16.113
1687530766.091,-65.918,-17.578,-15.625,-81.055,-116.699
1687530766.048,-72.266,-24.414,-11.230,-62.012,-151.367
1687530766.052,-67.871,-29.297,-16.113,-68.359,-106.445
1687530766.056,-73.242,-30.273,-21.484,-74.219,178.711
1687530766.060,-79.590,-25.879,-19.043,-62.012,185.547
1687530766.064,-89.355,-26.367,-12.207,-64.453,-64.453
1687530766.068,-83.496,-24.902,-11.230,-74.219,-29.785
1687530766.072,-67.871,-20.996,-15.137,-71.289,172.852
1687530766.075,-50.781,-14.160,-14.648,-60.547,78.125
1687530766.079,-57.129,-18.066,-15.625,-62.988,-95.703
1687530766.083,-86.426,-26.855,-17.578,-82.031,-20.996
1687530766.087,-84.961,-21.973,-19.043,-81.543,16.113
1687530766.091,-65.918,-17.578,-15.625,-81.055,-116.699
1687530766.048,-72.266,-24.414,-11.230,-62.012,-151.367
1687530766.052,-67.871,-29.297,-16.113,-68.359,-106.445
1687530766.056,-73.242,-30.273,-21.484,-74.219,178.711
1687530766.060,-79.590,-25.879,-19.043,-62.012,185.547
1687530766.064,-89.355,-26.367,-12.207,-64.453,-64.453
1687530766.068,-83.496,-24.902,-11.230,-74.219,-29.785
1687530766.072,-67.871,-20.996,-15.137,-71.289,172.852
1687530766.075,-50.781,-14.160,-14.648,-60.547,78.125
1687530766.079,-57.129,-18.066,-15.625,-62.988,-95.703
1687530766.083,-86.426,-26.855,-17.578,-82.031,-20.996
1687530766.087,-84.961,-21.973,-19.043,-81.543,16.113
1687530766.091,-65.918,-17.578,-15.625,-81.055,-116.699
1687530766.048,-72.266,-24.414,-11.230,-62.012,-151.367
1687530766.052,-67.871,-29.297,-16.113,-68.359,-106.445
1687530766.056,-73.242,-30.273,-21.484,-74.219,178.711
1687530766.060,-79.590,-25.879,-19.043,-62.012,185.547
1687530766.064,-89.355,-26.367,-12.207,-64.453,-64.453
1687530766.068,-83.496,-24.902,-11.230,-74.219,-29.785
1687530766.072,-67.871,-20.996,-15.137,-71.289,172.852
1687530766.075,-50.781,-14.160,-14.648,-60.547,78.125
1687530766.079,-57.129,-18.066,-15.625,-62.988,-95.703
1687530766.083,-86.426,-26.855,-17.578,-82.031,-20.996
1687530766.087,-84.961,-21.973,-19.043,-81.543,16.113
1687530766.091,-65.918,-17.578,-15.625,-81.055,-116.699
1687530766.048,-72.266,-24.414,-11.230,-62.012,-151.367
1687530766.052,-67.871,-29.297,-16.113,-68.359,-106.445
1687530766.056,-73.242,-30.273,-21.484,-74.219,178.711
1687530766.060,-79.590,-25.879,-19.043,-62.012,185.547
1687530766.064,-89.355,-26.367,-12.207,-64.453,-64.453
1687530766.068,-83.496,-24.902,-11.230,-74.219,-29.785
1687530766.072,-67.871,-20.996,-15.137,-71.289,172.852
1687530766.075,-50.781,-14.160,-14.648,-60.547,78.125
1687530766.079,-57.129,-18.066,-15.625,-62.988,-95.703
1687530766.083,-86.426,-26.855,-17.578,-82.031,-20.996
1687530766.087,-84.961,-21.973,-19.043,-81.543,16.113
1687530766.091,-65.918,-17.578,-15.625,-81.055,-116.699
1687530774.488,-42.969,-39.062,-32.227,-43.457,128.906
1687530774.492,-54.199,-34.180,-32.715,-41.504,43.457
1687530774.496,-69.824,-31.738,-32.227,-54.199,-58.594
1687530774.500,-62.988,-31.738,-32.715,-51.270,-10.742
1687530774.504,-46.387,-34.668,-31.738,-39.062,-5.859
1687530774.508,-45.410,-37.109,-30.273,-42.480,22.461
1687530774.512,-48.828,-35.645,-29.785,-41.504,76.172
1687530774.515,-54.688,-34.668,-30.762,-39.551,35.156
1687530774.519,-48.340,-29.785,-32.715,-41.992,244.141
1687530774.523,-27.344,-29.785,-37.109,-54.688,45.898
1687530774.527,-17.090,-27.832,-37.109,-57.617,-132.812
1687530774.531,-23.438,-24.414,-34.668,-50.293,0.977
1687530774.531,-39.551,-29.785,-39.062,-58.105,-48.828
1687530774.535,-44.922,-32.227,-39.551,-68.359,-119.629
1687530774.539,-29.785,-30.273,-33.203,-62.500,-127.441
1687530774.543,-21.484,-29.297,-36.133,-51.758,-87.891
1687530774.547,-30.762,-31.250,-44.434,-51.758,2.441
1687530774.551,-39.551,-35.156,-42.969,-49.316,24.902
1687530774.555,-40.527,-36.133,-38.574,-45.898,8.789
1687530774.558,-24.902,-40.527,-37.109,-39.551,208.008
1687530774.562,-16.602,-37.109,-36.133,-30.762,269.531
